"source","target","id","developer_comments"
"balloon#e8dc585672cc4ac71df975d7b66ac8e7","在意的事啊……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]在那之前，我有件事想问[emb exp='tf.names.NPC.itsuki']。","balloon#e8dc585672cc4ac71df975d7b66ac8e7","机翻辅助：

在意的事啊……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]在那之前，我有件事想问[emb exp='tf.names.NPC.itsuki']。

在意的事啊……在那之前，我有件事想问[emb exp='tf.names.NPC.itsuki']。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]

在那之前，我想问一下[emb exp='tf.names.NPC.itsuki']。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]"
"balloon#f80f411e9754d265160fa5d53820bad3","有事想问我？","balloon#f80f411e9754d265160fa5d53820bad3","机翻辅助：

有事想问我？

想听的事？

你想听什么？"
"balloon#ded8af706cfbd4f0af4fcbac5129fed9","没错……[l][chara_mod time=""@f1"" name=""NPC"" face=""smile""]我想[emb exp='tf.names.NPC.itsuki']应该都看到了，所以先说一下。","balloon#ded8af706cfbd4f0af4fcbac5129fed9","机翻辅助：

没错……[l][chara_mod time=""@f1"" name=""NPC"" face=""smile""]我想[emb exp='tf.names.NPC.itsuki']应该都看到了，所以先说一下。

是的……[l][chara_mod time=""@f1"" name=""NPC"" face=""smile""]我觉得[emb exp='tf.names.NPC.itsuki']已经看过了，所以先说吧。

是吗……我想应该被[emb exp='tf.names.NPC.itsuki']看到了，所以先说一下。[l][chara_mod time=""@f1"" name=""NPC"" face=""smile""]"
"balloon#24822e19258392c4903b1c61ed85584d","[emb exp='tf.names.NPC.me']是[font color=@3]进出厨房[resetfont]的。","balloon#24822e19258392c4903b1c61ed85584d","机翻辅助：

[emb exp='tf.names.NPC.me']是[font color=@3]进出厨房[resetfont]的。

[emb exp='tf.names.NPC.me']，[font color=@3]出入厨房[resetfont]的。

[emb exp='tf.names.NPC.me']进出了厨房。[font color=@3][resetfont]"
"balloon#4f49952d86f8690c6e2df69452c8d557","[font color=@3]记得当时在看时钟，所以还记得，[resetfont]是在14:38左右。","balloon#4f49952d86f8690c6e2df69452c8d557","机翻辅助：

[font color=@3]记得当时在看时钟，所以还记得，[resetfont]是在14:38左右。

因为看了表所以记得，确实是14:38左右的事。[font color=@3][resetfont]

因为看了表所以记得，应该是14:38左右的事。[font color=@3][resetfont]"
"balloon#d353da935d0e3f81fc231ef2d1ede73d","没错，[emb exp='tf.names.itsuki.me']从客厅目击到[font color=@3]14:38[resetfont]左右[font color=@3]从厨房走出来的[emb exp='f.npc_nickname'][resetfont]。","balloon#d353da935d0e3f81fc231ef2d1ede73d","机翻辅助：

没错，[emb exp='tf.names.itsuki.me']从客厅目击到[font color=@3]14:38[resetfont]左右[font color=@3]从厨房走出来的[emb exp='f.npc_nickname'][resetfont]。

是的，[emb exp='tf.names.itsuki.me']在14:38左右从客厅看到[emb exp='f.npc_nickname']从厨房出来。[font color=@3][resetfont][font color=@3][resetfont]

没错，[emb exp='tf.names.itsuki.me']在起居室里看到了从厨房出来的[emb exp='f.npc_nickname']。[font color=@3][resetfont][font color=@3][resetfont]"
"balloon#48e285f2b1a8978b439f37993b1d57d2","[emb exp='tf.names.itsuki.me']也亲眼看过，所以这个情报不会有错。","balloon#48e285f2b1a8978b439f37993b1d57d2","机翻辅助：

[emb exp='tf.names.itsuki.me']也亲眼看过，所以这个情报不会有错。

[emb exp='tf.names.itsuki.me']也看到了，所以这个信息不会错。

[emb exp='tf.names.itsuki.me']也看到了，这个信息没错。"
"balloon#c5b7dc76e4d455b18b94a1e0de7a4769","只要像这样写在推理笔记上，
随时都可以重新检视线索。","balloon#c5b7dc76e4d455b18b94a1e0de7a4769","机翻辅助：

只要像这样写在推理笔记上，
随时都可以重新检视线索。

这样记在推理笔记上的话，
随时都可以重新审视线索。

像这样写在推理笔记上，
随时都能找到线索。"
"balloon#545d2b8e8267046635a1c23a15431a9a","然后，有件事让[emb exp='tf.names.NPC.me']很在意……","balloon#545d2b8e8267046635a1c23a15431a9a","机翻辅助：

然后，有件事让[emb exp='tf.names.NPC.me']很在意……

所以，[emb exp='tf.names.NPC.me']很在意一件事……

所以，[emb exp='tf.names.NPC.me']很在意……"
"balloon#e7f812c4d1574f7afcfb29fc56124359","西瓜在[emb exp='tf.names.NPC.chiyo']拿过来之前，一直都放在厨房里。","balloon#e7f812c4d1574f7afcfb29fc56124359","机翻辅助：

西瓜在[emb exp='tf.names.NPC.chiyo']拿过来之前，一直都放在厨房里。

西瓜在[emb exp='tf.names.NPC.chiyo']拿来之前一直放在厨房里。

西瓜在[emb exp='tf.names.NPC.chiyo']拿来之前，一直放在厨房里吧。"
"balloon#1830e8a53fa9b68561faa5c1c0d3de53","所以她才会认为[font color=@3]在[emb exp='tf.names.NPC.me']之后进入厨房的人就是犯人[resetfont]！","balloon#1830e8a53fa9b68561faa5c1c0d3de53","机翻辅助：

所以她才会认为[font color=@3]在[emb exp='tf.names.NPC.me']之后进入厨房的人就是犯人[resetfont]！

所以在[emb exp='tf.names.NPC.me']之后，我觉得进入厨房的人中有犯人！[font color=@3][resetfont]

所以在[emb exp='tf.names.NPC.me']之后，我想进厨房的人里面就是犯人！[font color=@3][resetfont]"
"balloon#4fda6593f0e30a14f21d832ec54dee27","的确，[font color=@3]应该会很在意[resetfont]在自己之后进入放西瓜的厨房的人。","balloon#4fda6593f0e30a14f21d832ec54dee27","机翻辅助：

的确，[font color=@3]应该会很在意[resetfont]在自己之后进入放西瓜的厨房的人。

确实，比自己晚一点进入有西瓜的厨房的人会在意吧。[font color=@3][resetfont]

确实，会在意比自己更晚进入有西瓜的厨房的人。[font color=@3][resetfont]"
"balloon#60416de892ee3f85af93a30e78c7a744","我把[emb exp='f.npc_nickname']的疑问写在笔记本上了。","balloon#60416de892ee3f85af93a30e78c7a744","机翻辅助：

我把[emb exp='f.npc_nickname']的疑问写在笔记本上了。

我把[emb exp='f.npc_nickname']的疑问记在笔记本上了。"
"balloon#72d59e943eee0394d31f03ee64072330","可是，要怎么回答这个疑问呢……","balloon#72d59e943eee0394d31f03ee64072330","机翻辅助：

可是，要怎么回答这个疑问呢……

但是，如何回答疑问呢……

但是，要怎么回答这个疑问呢……"
"balloon#9fe601651b6ecd08421317a2a9ceaaf4","在[emb exp='tf.names.NPC.me']之后，应该还有其他人进过厨房。","balloon#9fe601651b6ecd08421317a2a9ceaaf4","机翻辅助：

在[emb exp='tf.names.NPC.me']之后，应该还有其他人进过厨房。

在[emb exp='tf.names.NPC.me']之后，应该有人进过厨房。

在[emb exp='tf.names.NPC.me']之后，应该有人进厨房了。"
"balloon#ed64cea52d3b84a129e37b6dc5e61c1d","要是知道答案的话，记得告诉[emb exp='tf.names.NPC.me']哦！","balloon#ed64cea52d3b84a129e37b6dc5e61c1d","机翻辅助：

要是知道答案的话，记得告诉[emb exp='tf.names.NPC.me']哦！

如果知道答案的话，请告诉[emb exp='tf.names.NPC.me']哦！

知道答案的话，告诉[emb exp='tf.names.NPC.me']哦！"
"balloon#e790a2c6c17c0fe0a701a8223d51d397","我知道了，[emb exp='f.npc_nickname']。","balloon#e790a2c6c17c0fe0a701a8223d51d397","机翻辅助：

我知道了，[emb exp='f.npc_nickname']。

好吧，[emb exp='f.npc_nickname']。"
"balloon#989ba984724f7855e15dba66789f062a","谢谢你，[emb exp='tf.names.NPC.itsuki']！","balloon#989ba984724f7855e15dba66789f062a","机翻辅助：

谢谢你，[emb exp='tf.names.NPC.itsuki']！

谢谢，[emb exp='tf.names.NPC.itsuki']！

谢谢啦，[emb exp='tf.names.NPC.itsuki']！"
"balloon#10eeadde56d22aa472d18940b68db283","还有，为了保险起见……","balloon#10eeadde56d22aa472d18940b68db283","机翻辅助：

还有，为了保险起见……

还有，为了慎重起见说……

另外，为了保险起见，我说一下……"
"balloon#fd5b99d8f814853f7ab4ed277454b51b","[emb exp='tf.names.NPC.me']绝对不是犯人哦！","balloon#fd5b99d8f814853f7ab4ed277454b51b","机翻辅助：

[emb exp='tf.names.NPC.me']绝对不是犯人哦！

[emb exp='tf.names.NPC.me']绝对不是犯人！

[emb exp='tf.names.NPC.me']绝对不是凶手！"
