"source","target","id","developer_comments"
"[0]/title","【　ミステリーパート・攻略の流れ　】","[0]/title",""
"[0]/text","ミステリーパートでは、3つのフェーズを順番に攻略していきます。<br>1. <font color=""@3"">調査</font>フェーズ　　 … 会話を通じて、事件の真相に迫る。<br>2. <font color=""@3"">全体議論</font>フェーズ … 容疑者全員で、推理を披露し合う。<br>3. <font color=""@3"">投票</font>フェーズ　　… 容疑者全員で、犯人投票を行う。","[0]/text",""
"[1]/title","【　調査フェーズ　】","[1]/title",""
"[1]/text","“調査フェーズ”では、<font color=""@3"">事件の真相にたどり着くチャンス</font>が与えられます。<br>必ずフェーズ内に真相までたどり着けるよう、<br>攻略を進めていってください。","[1]/text",""
"[2]/title","【　調査フェーズ　】","[2]/title",""
"[2]/text","まずは二人きりでの会話<font color=""@3"">“密談”</font>を通じて、<br>相手が<font color=""@3"">事件に対し抱いている疑問</font>を、<br>探ってみましょう！","[2]/text",""
"[3]/title","【　密談　】","[3]/title",""
"[3]/text","密談中は、以下の<font color=""@3"">4種類の行動</font>を選択できます。<br>疑問を探る／推理する／推理を伝える／質問する","[3]/text",""
"[4]/title","【　密談　】","[4]/title",""
"[4]/text","密談相手に対し、そのとき有効な行動がいくつあるかは、<br><font color=""@3"">赤いアイコン上の数字</font>で確認できます。","[4]/text",""
"[5]/title","【　密談　】","[5]/title",""
"[5]/text","まずは<font color=""@3"">“疑問を探る”</font>を選んで、<br>事件に対する疑問を聞き出してみましょう！","[5]/text",""
"[6]/title","【　疑問・推理・手がかり　】","[6]/title",""
"[6]/text","調査フェーズでは、容疑者たちの抱く疑問を解決していくことで、<br><font color=""@3"">事件の真相へ</font>と徐々に近づいていきます。","[6]/text",""
"[7]/title","【　疑問・推理・手がかり　】","[7]/title",""
"[7]/text","疑問解決には、あなたがその答えを<font color=""@3"">“推理する”</font>必要があります。<br>推理にはまず、推理の材料となる<font color=""@3"">“手がかり”</font>を集める必要があります。","[7]/text",""
"[8]/title","【　疑問・推理・手がかり　】","[8]/title",""
"[8]/text","手がかりは、密談を通じて集めることができます。<br>まずは先ほど手に入れた手がかりの話を、<br><font color=""@3"">他の相手に“質問”</font>してみましょう！","[8]/text",""
"[9]/title","【　質問　】","[9]/title",""
"[9]/text","質問を通じて、ある手がかりに対する<font color=""@3"">相手の反応</font>を伺うことができます。<br>所持している手がかりの中から1つ選んで、<br>その内容について相手に問いかけます。<br>","[9]/text",""
"[10]/title","【　質問　】","[10]/title",""
"[10]/text","質問には、以下の<font color=""@3"">ルール</font>があります。<br>・本人から得た手がかりは、本人には質問できない。<br>・一度質問したら、同じ手がかりを同じ相手に質問できない。<br>・疑いが向くような質問は、相手からの信用度を下げる可能性がある。","[10]/text",""
"[11]/title","【　質問　】","[11]/title",""
"[11]/text","まずは選択肢から<font color=""@3"">“質問する”</font>を選び、<br>さきほど手にいれた手がかりを選んで、<br>相手に質問してみましょう！","[11]/text",""
"[12]/title","【　推理する　】","[12]/title",""
"[12]/text","新たな手がかりを得たことで、疑問の答えを推理する準備が整いました。<br>推理は密談中の行動選択肢<font color=""@3"">“推理する”</font>か、<br>画面下部の<font color=""@3"">“推理ノート”</font>から行うことができます。","[12]/text",""
"[13]/title","【　推理する　】","[13]/title",""
