"source","target","id","developer_comments"
"balloon#db3a5a2f417faa2dfb0abcd95a444c28","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki.chiyo']を……？","balloon#db3a5a2f417faa2dfb0abcd95a444c28","主人公"
"balloon#133b88e511f5150c01e64f62c0a17916","いや、いまはとにかく[emb exp='tf.names.itsuki_p.NPC']が協力者と考えるしかない。","balloon#133b88e511f5150c01e64f62c0a17916","主人公"
"balloon#b92ccd3e1dde3cf418b8ce19ce52d566","どうしてそんなことしたんだ、[emb exp='tf.names.yohei.NPC']……？","balloon#b92ccd3e1dde3cf418b8ce19ce52d566","陽平"
"balloon#e545fdd4eaa564fd885d313a176f1a97","お、[emb exp='tf.names.NPC.me']はやってねぇ！","balloon#e545fdd4eaa564fd885d313a176f1a97","NPC"
"balloon#da5aaa8f09e829e9bb9760406064b649","まさか[emb exp='tf.names.makino.NPC']が、協力者とは……。","balloon#da5aaa8f09e829e9bb9760406064b649","牧野"
"balloon#50abe3dccad419e5e133e10c7e1dbf3f","本当に違うんだ……。","balloon#50abe3dccad419e5e133e10c7e1dbf3f","NPC"
"balloon#2019d1d35b007917d6f73ed7d4b8bc26","どうしてそんなことを……？","balloon#2019d1d35b007917d6f73ed7d4b8bc26","日下部"
"balloon#3bc6cb89e7568ee33c03e03cb0e87e88","みんな、信じてくれよ……。","balloon#3bc6cb89e7568ee33c03e03cb0e87e88","NPC"
"balloon#0273940428969852ed28d321d5696ffa","[emb exp='tf.names.itsuki_p.NPC']、[emb exp='tf.names.itsuki.chiyo']の居場所を教えてください！","balloon#0273940428969852ed28d321d5696ffa","主人公"
"balloon#2cd123c9b131c30ac911192fc86c9122","[emb exp='tf.names.NPC.me']だって知りてぇよぉ……。","balloon#2cd123c9b131c30ac911192fc86c9122","NPC"
"message10#114e29945ced3d8021b0ba051fe38468","千世の協力者として、最も疑われたのは[font color=@1]大助[resetfont]だった。","message10#114e29945ced3d8021b0ba051fe38468",""
"message10#3926ce5c24974ddb57564f7429a0c5db","しかし大助は、決して千世の行方を話すことはなかった。[l]
樹たちは協力して、千世の行方を探すことにした。","message10#3926ce5c24974ddb57564f7429a0c5db",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_陽平","陽平","speaker_陽平",""
"speaker_牧野","牧野","speaker_牧野",""
"speaker_日下部","日下部","speaker_日下部",""
