"source","target","id","developer_comments"
"balloon#82713707b4f42ab8579a3a1b52a5aba7","よしっ、[emb exp='tf.names.NPC.me']が話そうかな！","balloon#82713707b4f42ab8579a3a1b52a5aba7","NPC"
"message10#1f24e88f6e2374f69a0ffea539ccfb6a","- 陽平の主張 -","message10#1f24e88f6e2374f69a0ffea539ccfb6a",""
"balloon#09c39844876aa0594881cbf289f0a0e7","やっぱりどうしても、[font color=@3]アレ[resetfont]がまだ引っかかるんだよなぁ。","balloon#09c39844876aa0594881cbf289f0a0e7","NPC"
"balloon#c6b673684b30d8dbba451a367060c79d","台所から出てきたあと、口元に何かをつけてたやつがいたんだ。","balloon#c6b673684b30d8dbba451a367060c79d","NPC"
"balloon#58caa12d1e4415ab2099fda30f0604e3","それは……[l][chara_mod time=""@f1"" name=""NPC"" face=""badsurprise""][emb exp='tf.names.NPC.utaha']だ！","balloon#58caa12d1e4415ab2099fda30f0604e3","NPC"
"balloon#3cbb68548eacec9a3d06306f4bbb4cd9","ってことはよ……","balloon#3cbb68548eacec9a3d06306f4bbb4cd9","NPC"
"balloon#88e930913cdc0cf29a457e0137aeb5d5","台所でなんか食べたあとに、それの残りが口元についたままだったんじゃないのか？","balloon#88e930913cdc0cf29a457e0137aeb5d5","NPC"
"balloon#e51fb45707dcc5a51da4f3ba4b4eef27","それはもちろん……[l][chara_mod time=""@f1"" name=""NPC"" face=""badsurprise""]台所にあったスイカだ！","balloon#e51fb45707dcc5a51da4f3ba4b4eef27","NPC"
"balloon#82ff27712214ae2480d95088171613f2","つまり……","balloon#82ff27712214ae2480d95088171613f2","NPC"
"balloon#ae6330475ccd603800832057da048bc8","スイカは、[font color=@3][emb exp='tf.names.NPC.utaha']が食べた[resetfont]んだろ！？","balloon#ae6330475ccd603800832057da048bc8","NPC"
"TALK_WINDOW_SELECT_CHOICES/talk_window_text#9d5efdc1195d75e804a82525c13dceb0","<font color='@3'>${itsuki.utaha}</font>に対する、${itsuki.me}の考えは……","TALK_WINDOW_SELECT_CHOICES/talk_window_text#9d5efdc1195d75e804a82525c13dceb0",""
"TALK_WINDOW_SELECT_CHOICES/talk_window_choice1_text#9460562477badf47a52b6b465dc006fd","うん、${itsuki.utaha}は怪しい！","TALK_WINDOW_SELECT_CHOICES/talk_window_choice1_text#9460562477badf47a52b6b465dc006fd",""
"TALK_WINDOW_SELECT_CHOICES/talk_window_choice2_text#6ee9602ba522cca6413842a574e82f8f","いや、${itsuki.utaha}は怪しくない！","TALK_WINDOW_SELECT_CHOICES/talk_window_choice2_text#6ee9602ba522cca6413842a574e82f8f",""
"TALK_WINDOW_SELECT_CHOICES/talk_window_choice3_text#af98b4f672a96226fd79a31467b5918a","そういう${itsuki.NPC}こそ、怪しい！","TALK_WINDOW_SELECT_CHOICES/talk_window_choice3_text#af98b4f672a96226fd79a31467b5918a",""
"message10#a00f30952df15176f60788a11db6a8d6","樹は陽平の主張に、[font color=@1]同調[resetfont]した。","message10#a00f30952df15176f60788a11db6a8d6",""
"message10#936e76a64e85e16f2158b2c02d81812e","樹は陽平の主張に、[font color=@1]同調しなかった[resetfont]。","message10#936e76a64e85e16f2158b2c02d81812e",""
"message10#ccb33f58186fedd1db713d6f2182150f","樹は陽平の主張を、[font color=@1]否定[resetfont]した。","message10#ccb33f58186fedd1db713d6f2182150f",""
