"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","養護施設で育った捨て子。<br>2003年に養父母である天沢 仁と久美子に引き取られた。<br>この夏初めて、久美子の出身である式音島を訪れた。","[0]/memo",""
"[1]/director","義理の再従姉妹","[1]/director",""
"[1]/memo","千世の妹の孫で、彩葉の妹。<br>陽平と同じ島の学校に通っている。<br>樹は台所から出てきた歌葉のことを目撃している。","[1]/memo",""
"[2]/director","養祖母","[2]/director",""
"[2]/memo","樹の養母である天沢 久美子の母。<br>式音島で写真館を営んでいる。<br>千世は消えたスイカは自分の分だと言っている。","[2]/memo",""
"[3]/director","義理の再従姉妹","[3]/director",""
"[3]/memo","千世の妹の孫で、歌葉の姉。<br>陽平と同じ島の学校に通っている。<br>彩葉は、今日は樹がいるのでスイカは五切れ必要だと言っていた。","[3]/memo",""
"[4]/director","義理の従兄弟","[4]/director",""
"[4]/memo","千世の孫。<br>島の学校に通っている。<br>親しい友人からは陽ちゃんと呼ばれている。","[4]/memo",""
