"source","target","id","developer_comments"
"balloon#d3c53862f5abcf9b2404a4e218de9347","叫[emb exp='tf.names.NPC.tetsuo']出来的纸条！？","balloon#d3c53862f5abcf9b2404a4e218de9347","机翻辅助：

叫[emb exp='tf.names.NPC.tetsuo']出来的纸条！？

把[emb exp='tf.names.NPC.tetsuo']叫出来的笔记！？

是召唤[emb exp='tf.names.NPC.tetsuo']的笔记！？"
"balloon#ab9b28e53d4307f1bff0fc097354a41c","喂喂喂，真的假的……","balloon#ab9b28e53d4307f1bff0fc097354a41c","机翻辅助：

喂喂喂，真的假的……

喂喂，真的吗……"
"balloon#e8d58bc90aceb986cdd054be27585678","而且，寄件人是[emb exp='tf.names.NPC.me']，喂喂喂……","balloon#e8d58bc90aceb986cdd054be27585678","机翻辅助：

而且，寄件人是[emb exp='tf.names.NPC.me']，喂喂喂……

而且，寄信人是[emb exp='tf.names.NPC.me']，喂喂喂……

而且寄信人是[emb exp='tf.names.NPC.me']，喂喂喂……"
"balloon#36dd5bb4914daf5b4fbb5e20e1e42fae","你发现什么了吗？","balloon#36dd5bb4914daf5b4fbb5e20e1e42fae","机翻辅助：

你发现什么了吗？

有什么发现吗？"
"balloon#47d6069bb5509e3f06b7b3adc0cf744b","哎呀，我说啊……","balloon#47d6069bb5509e3f06b7b3adc0cf744b","机翻辅助：

哎呀，我说啊……

呀，那个啊……

哎呀，那个啊……"
"balloon#66aaa9cca5aa06ad2cf124d46c4d76b9","我藏得很隐密，没让任何人看到……","balloon#66aaa9cca5aa06ad2cf124d46c4d76b9","机翻辅助：

我藏得很隐密，没让任何人看到……

我一直没给任何人看，一直藏着……

这个谁都没给看就藏起来了……"
"balloon#4809d8b93b4936c1165869656c3634d1","看到那张便条，也只能说了。","balloon#4809d8b93b4936c1165869656c3634d1","机翻辅助：

看到那张便条，也只能说了。

看了那个笔记，只能说了。

看到那张便条，就只能说了。"
"balloon#709928d00b9730210830884ac84e36ab","你们看这家伙……！","balloon#709928d00b9730210830884ac84e36ab","机翻辅助：

你们看这家伙……！

看看这家伙……！

你看看这家伙……！"
"balloon#09304b7bb0d53651990c310ac6d24ff0","咦，还有别的便条！？","balloon#09304b7bb0d53651990c310ac6d24ff0","机翻辅助：

咦，还有别的便条！？

啊，还有别的笔记！？

咦，还有别的笔记！？"
"balloon#5e03bb9bec6872a8e653873bdb6d8f6d","啊啊……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]这是[emb exp='tf.names.NPC.me']今天早上收到的。","balloon#5e03bb9bec6872a8e653873bdb6d8f6d","机翻辅助：

啊啊……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]这是[emb exp='tf.names.NPC.me']今天早上收到的。

今天早上送到[emb exp='tf.names.NPC.me']身边的东西。[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]

啊……是今天早上送到[emb exp='tf.names.NPC.me']这里的东西。[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]"
"balloon#ef667bed1c203fcf15bf8ba5f8054cba","[font color=@3]是[emb exp='tf.names.NPC.tetsuo']叫[emb exp='tf.names.NPC.me'][resetfont]出来的纸条。","balloon#ef667bed1c203fcf15bf8ba5f8054cba","机翻辅助：

[font color=@3]是[emb exp='tf.names.NPC.tetsuo']叫[emb exp='tf.names.NPC.me'][resetfont]出来的纸条。

[font color=@3]是[emb exp='tf.names.NPC.tetsuo']把[emb exp='tf.names.NPC.me']叫出来的[resetfont]笔记。

[font color=@3]这是[emb exp='tf.names.NPC.tetsuo']把[emb exp='tf.names.NPC.me']叫出来的纸条。[resetfont]"
"balloon#93c6ac93f77702149796173be70de9c0","[font color=@3]15:00[resetfont]来打。","balloon#93c6ac93f77702149796173be70de9c0","机翻辅助：

[font color=@3]15:00[resetfont]来打。

[font color=@3]15:00[resetfont]来啊。

[font color=@3]15:00[resetfont]来了。"
"balloon#283e1ba60eba116642f23c5b5ef00768","[font color=@3]是[emb exp='tf.names.itsuki.tetsuo']叫[emb exp='tf.names.itsuki.ebihara'][resetfont]出来的吗！？","balloon#283e1ba60eba116642f23c5b5ef00768","机翻辅助：

[font color=@3]是[emb exp='tf.names.itsuki.tetsuo']叫[emb exp='tf.names.itsuki.ebihara'][resetfont]出来的吗！？

[font color=@3][emb exp='tf.names.itsuki.tetsuo']，召唤[emb exp='tf.names.itsuki.ebihara'][resetfont]吗！？

[font color=@3][emb exp='tf.names.itsuki.tetsuo']把[emb exp='tf.names.itsuki.ebihara']叫出来了吗！？[resetfont]"
"balloon#05edcfe6a9365330ee2f398b1262c74d","[emb exp='tf.names.NPC.me']急急忙忙出门，结果迟到了一分钟，也就是15:01才到……","balloon#05edcfe6a9365330ee2f398b1262c74d","机翻辅助：

[emb exp='tf.names.NPC.me']急急忙忙出门，结果迟到了一分钟，也就是15:01才到……

因为慌忙出来了，结果[emb exp='tf.names.NPC.me']晚了一分钟到达了15:01……

因为匆匆忙忙地出门，结果[emb exp='tf.names.NPC.me']迟到了1分钟，15:01到的……"
"balloon#b6ec774e7e29277490ac864242663aae","结果我看到[emb exp='tf.names.NPC.tetsuo']倒在地上，心想不妙，就立刻逃走了。","balloon#b6ec774e7e29277490ac864242663aae","机翻辅助：

结果我看到[emb exp='tf.names.NPC.tetsuo']倒在地上，心想不妙，就立刻逃走了。

然后，因为[emb exp='tf.names.NPC.tetsuo']倒下了，所以突然逃跑了。

结果[emb exp='tf.names.NPC.tetsuo']倒在地上，我吓了一跳，赶紧逃走了。"
"balloon#39136994f38b47dbf5802a54c5bd619a","原来是这种状况啊……","balloon#39136994f38b47dbf5802a54c5bd619a","机翻辅助：

原来是这种状况啊……

原来是这样的状况啊……

是那样的状况吗……"
"balloon#70552ba3171c343246834fae38e33816","不过，我拿这张纸和笔记比对……","balloon#70552ba3171c343246834fae38e33816","机翻辅助：

不过，我拿这张纸和笔记比对……

不过，和这张纸条一比较……

但是，和这边的笔记相比……"
"balloon#171bc3ae958bf457f90934ecad5a9dba","总觉得笔迹很像呢。","balloon#171bc3ae958bf457f90934ecad5a9dba","机翻辅助：

总觉得笔迹很像呢。

好像笔迹很像。"
"balloon#2236ae6f69eed71b222325a65caa2c66","对，所以我才把东西寄放在[emb exp='tf.names.NPC.itsuki']那里。","balloon#2236ae6f69eed71b222325a65caa2c66","机翻辅助：

对，所以我才把东西寄放在[emb exp='tf.names.NPC.itsuki']那里。

啊，所以才给[emb exp='tf.names.NPC.itsuki']看的。

啊，所以我给[emb exp='tf.names.NPC.itsuki']看了。"
"balloon#425907e6f103f480edab977387d8ed24","只要看过这两张便条纸就能明白，这是同一个人写的。","balloon#425907e6f103f480edab977387d8ed24","机翻辅助：

只要看过这两张便条纸就能明白，这是同一个人写的。

看两个笔记就明白了吧，这是同一个家伙写的。

看两张便条就知道了，这是同一个人写的。"
"balloon#e81bcffe5efa9f812d3b107506452121","也就是说，[emb exp='tf.names.NPC.me']根本就没有叫出[emb exp='tf.names.NPC.tetsuo']！","balloon#e81bcffe5efa9f812d3b107506452121","机翻辅助：

也就是说，[emb exp='tf.names.NPC.me']根本就没有叫出[emb exp='tf.names.NPC.tetsuo']！

也就是说，[emb exp='tf.names.NPC.me']并没有把[emb exp='tf.names.NPC.tetsuo']叫出来！

也就是说，[emb exp='tf.names.NPC.me']没有叫[emb exp='tf.names.NPC.tetsuo']！"
"balloon#898f92572544d32135250773af689c25","的确……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]写下这些话的既不是[emb exp='tf.names.itsuki.tetsuo']也不是[emb exp='tf.names.itsuki.ebihara']？","balloon#898f92572544d32135250773af689c25","机翻辅助：

的确……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]写下这些话的既不是[emb exp='tf.names.itsuki.tetsuo']也不是[emb exp='tf.names.itsuki.ebihara']？

确实……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]写这个的不是[emb exp='tf.names.itsuki.tetsuo']也不是[emb exp='tf.names.itsuki.ebihara']吗？

的确……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]写这个的不是[emb exp='tf.names.itsuki.tetsuo']也不是[emb exp='tf.names.itsuki.ebihara']吗？"
"speaker_主人公","主人公","speaker_主人公",""
