"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#c78e8ab4fc77e08edabeddc172f23b6e","いいね、その推理なら[font color=@3]納得できる[resetfont]よ！","balloon#c78e8ab4fc77e08edabeddc172f23b6e","NPC"
"balloon#f44aaa6b4bc88437fb186bafa6c5f6ba","そうなると、[emb exp='tf.names.NPC.utaha']がいなくなった時間がだいぶ絞られたね。","balloon#f44aaa6b4bc88437fb186bafa6c5f6ba","NPC"
"balloon#6dbf72861969b14b5cb8c0ac1bfeb420","[emb exp='tf.names.NPC.me']が14:57までは確認しているから、それよりあとの……","balloon#6dbf72861969b14b5cb8c0ac1bfeb420","NPC"
"balloon#9dd98ac5fd4fe493a6aefa8bc8dd8634","[font color=@3]14:58から15:02の間にいなくなった[resetfont]可能性が高いということだね。","balloon#9dd98ac5fd4fe493a6aefa8bc8dd8634","NPC"
"balloon#cf56a27bfd56ec8f1684bc0d94122e4c","そう、[emb exp='tf.names.itsuki.utaha']は[font color=@3]14:58から15:02の間[resetfont]にいなくなった可能性が高そうだ。","balloon#cf56a27bfd56ec8f1684bc0d94122e4c","主人公"
"balloon#24e65c6100bd8428ae2912647bef52fa","[emb exp='tf.names.NPC.me']だけじゃ、わからなかったよ。","balloon#24e65c6100bd8428ae2912647bef52fa","NPC"
"balloon#ee51e5ff20ab90e2bd1cfc6e9f155709","ありがとう、[emb exp='tf.names.NPC.itsuki']。","balloon#ee51e5ff20ab90e2bd1cfc6e9f155709","NPC"
"balloon#0b6aec61cec8b9d34a0c8c649fad895e","[emb exp='tf.names.itsuki_p.NPC']のお役に立ててよかったです！","balloon#0b6aec61cec8b9d34a0c8c649fad895e","主人公"
"balloon#45c2ed045223b4c5079b1cad9ab73ce1","また気になることが、あったら相談させてほしい。","balloon#45c2ed045223b4c5079b1cad9ab73ce1","NPC"
"balloon#734618aedb2c4d9919811d85ccba8fc8","それ、本当かい？","balloon#734618aedb2c4d9919811d85ccba8fc8","NPC"
"balloon#8e6ba8d73bd7f716d70d4a3082cd3bcd","その推理は、[font color=@3]ちょっと違う[resetfont]と思うな……。","balloon#8e6ba8d73bd7f716d70d4a3082cd3bcd","NPC"
"balloon#0712fd0d86d74b1a8b4889e19d76fa10","その推理は、[font color=@3]まったく違う[resetfont]と思うな……。","balloon#0712fd0d86d74b1a8b4889e19d76fa10","NPC"
"balloon#1e1cf5cccd0db3c354cfe8155bc07842","[emb exp='tf.names.itsuki_p.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1e1cf5cccd0db3c354cfe8155bc07842","主人公"
"balloon#958590be5e1c54d867bebc118b328014","いいんだ、考えてくれてありがとう。","balloon#958590be5e1c54d867bebc118b328014","NPC"
"balloon#2fc9da6d6bb8c96da0f51a3e3f179e90","この件だけど……","balloon#2fc9da6d6bb8c96da0f51a3e3f179e90","NPC"
"balloon#e218559bfc3612e3f7369528db0306ff","[font color=@3][emb exp='tf.names.NPC.utaha']の目撃情報[resetfont]を、明らかにする必要がありそうだね。","balloon#e218559bfc3612e3f7369528db0306ff","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#6e208cd4718e64ff878196d7a31f6ac2","[font color=@3][emb exp='tf.names.itsuki_p.utaha']の目撃情報[resetfont]がないか、もう一度手がかりを見直してみよう。","balloon#6e208cd4718e64ff878196d7a31f6ac2","主人公"
"speaker_主人公","主人公","speaker_主人公",""
