"source","target","id","developer_comments"
"balloon#a0c3d22fc32e31fe55bdb7e3e7bce30d","本当に、[emb exp='tf.names.itsuki.NPC']がぼや騒ぎを……？","balloon#a0c3d22fc32e31fe55bdb7e3e7bce30d","主人公"
"balloon#37815cc965f3eeb46323e29fa48c55fd","でも今はとにかく、[emb exp='tf.names.itsuki.NPC']を犯人だと考えるしかない。","balloon#37815cc965f3eeb46323e29fa48c55fd","主人公"
"balloon#f27f349c5adb300d52b2d58c3ab8665c","みなさん、[emb exp='tf.names.itsuki.NPC']を拘束してください。","balloon#f27f349c5adb300d52b2d58c3ab8665c","主人公"
"balloon#6cf321954e67ec33f18ff63e871719e2","そうしなければ、きっとこのあと新たな火事が起きてしまいます！","balloon#6cf321954e67ec33f18ff63e871719e2","主人公"
"balloon#515e6c335c9b964658fd5671b0ec27ed","[emb exp='tf.names.kumiko_p.NPC']……[l][chara_mod time=""@f1"" name=""久美子"" face=""sad"" position=""left""]あなたがうちに火を着けたの？","balloon#515e6c335c9b964658fd5671b0ec27ed","久美子"
"balloon#5e5527aafe9c93722d94c10fe1a99f20","結局、そういうことでしたか。","balloon#5e5527aafe9c93722d94c10fe1a99f20","神代"
"balloon#b7a728cd2d831ae6077ceab7d2e09ae8","ここはひとつ警官らしく、潔く行こうぜ。","balloon#b7a728cd2d831ae6077ceab7d2e09ae8","海老原"
"balloon#e61ec5ce38569ceb954eaf7ea0b0ca93","[emb exp='tf.names.ebihara_p.NPC']よ。","balloon#e61ec5ce38569ceb954eaf7ea0b0ca93","海老原"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","真島"
"balloon#598517a9e9601e6209920d817c424d59","わかりました。","balloon#598517a9e9601e6209920d817c424d59","真島"
"balloon#e6739bab35f513eb2edb29852eb40306","ここは[emb exp='tf.names.NPC.itsuki']の提案に従いましょう。","balloon#e6739bab35f513eb2edb29852eb40306","真島"
"balloon#eeeb549f6df8a0d4e75e3a0f7442200f","明日には本土から応援が来ます。","balloon#eeeb549f6df8a0d4e75e3a0f7442200f","真島"
"balloon#3dea1525cd8371ffd85d9aad51ca3df8","それですべて明らかになるでしょうから。","balloon#3dea1525cd8371ffd85d9aad51ca3df8","真島"
"message10#d5f47fb1998e52075f3a07d2214cff69","樹たちは、[font color=@1]真島[resetfont]をぼや騒ぎの容疑者に選んだ。[l]
４人は本土から警察が来る明日までの間、真島を拘束することにした。","message10#d5f47fb1998e52075f3a07d2214cff69",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_久美子","久美子","speaker_久美子",""
"speaker_神代","神代","speaker_神代",""
"speaker_海老原","海老原","speaker_海老原",""
"speaker_真島","真島","speaker_真島",""
