"source","target","id","developer_comments"
"[0]/title","鉄男の話題で口論になった","[0]/title",""
"[0]/desc","“式音島の神隠し”を調査する日下部は、電話口で千世に<font color='@1'>鉄男の話題を尋ね口論となった</font>可能性が高い。","[0]/desc",""
"[1]/title","日下部は犯行に関わってない","[1]/title",""
"[1]/desc","“神隠しの印”を描き、小窓を使って外へ抜け出したのは千世自身だ。つまり<font color='@1'>日下部は何ら犯行に関わってない</font>可能性が高い。","[1]/desc",""
"[2]/title","千世に“神隠しの印”は置けない","[2]/title",""
"[2]/desc","“神隠しの印”が描かれてから発見されるまでの間、千世は一度も玄関に行っていない。千世自身で<font color='@1'>“神隠しの印”を玄関前に置くのは不可能</font>だ。","[2]/desc",""
"[3]/title","牧野が“神隠しの印”を置いた","[3]/title",""
"[3]/desc","“神隠しの印”が描かれてから発見されるまでの間、台所と玄関前を行き来した人物は<font color='@1'>牧野だけ</font>だ。","[3]/desc",""
"[4]/title","千世が外出した形跡はない","[4]/title",""
"[4]/desc","玄関近くには大助が、縁側近くには陽平がいたが、2人とも千世が外に出る姿を見ていない。千世が出入り口から<font color='@1'>写真館の外に出た可能性はない</font>。","[4]/desc",""
"[5]/title","千世は小窓から自分で外へ出た","[5]/title",""
"[5]/desc","鍵の開いて小窓の外には、人の行き来を示す足跡が残されていた。不審な物音もなかったことから、千世は<font color='@1'>自らの意思で小窓から抜け出した</font>可能性が高い。","[5]/desc",""
"[6]/title","“神隠しの印”が一致していない","[6]/title",""
"[6]/desc","死体の傍に血で残されてきた“神隠しの印”が、メモ用紙に絵の具で描かれ玄関前に置かれていた。“式音島の神隠し”とは<font color='@1'>特徴が一致していない</font>。","[6]/desc",""
"[7]/title","千世が“神隠しの印”を描いた","[7]/title",""
"[7]/desc","千世が台所に絵の具を持ち込み、台所にはサクラ写真館のメモ帳が残されていた。その後見つかった、メモ用紙に絵の具で描かれた<font color='@1'>“神隠しの印”は千世が描いた</font>可能性が高い。","[7]/desc",""
"[8]/title","協力者は牧野だ","[8]/title",""
"[8]/desc","“神隠しの印”を台所から玄関前に運んで置くことができた人物、<font color='@1'>牧野が千世の協力者</font>だ。","[8]/desc",""
