"source","target","id","developer_comments"
"balloon#baf840636d5ff51216cc710a58c9244e","[emb exp='tf.names.NPC.kamishiro']が、まさかなにか事件に関係しているのかしら？","balloon#baf840636d5ff51216cc710a58c9244e","NPC"
"balloon#c3f6c7f0022e8ad37c90061ca3275627","[emb exp='tf.names.NPC.itsuki']は知らないと思うけど、だいぶ前に島からいなくなった人よ。","balloon#c3f6c7f0022e8ad37c90061ca3275627","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#1e83f66d0d909fe899f50136519dfafb","[emb exp='tf.names.itsuki.NPC']は神代と事件の関係にまったく心当たりがないようだ。","balloon#1e83f66d0d909fe899f50136519dfafb","主人公"
"balloon#2313a57e73ae5937d08070f9e01ab20e","[emb exp='tf.names.NPC.kamishiro']といえば……[l][chara_mod time=""@f1"" name=""NPC"" face=""stunned""]思い出したことがあるわ。","balloon#2313a57e73ae5937d08070f9e01ab20e","NPC"
"balloon#f7ebdf6e5709aa1a48d4663bd9ea498e","[emb exp='tf.names.NPC.kageyama']から昔聞いた話なんだけど……","balloon#f7ebdf6e5709aa1a48d4663bd9ea498e","NPC"
"balloon#92c65085880eff429b43f6458e6600ae","教師になる前、使用人として働いていたことがあるそうなの。","balloon#92c65085880eff429b43f6458e6600ae","NPC"
"balloon#6b0fcb45cf0238bdb88616df2c49b782","[font color=@3]神代家の使用人だった[resetfont]って。","balloon#6b0fcb45cf0238bdb88616df2c49b782","NPC"
"balloon#2314d71a1a1f50b6126a0963297ba458","[font color=@3][emb exp='tf.names.itsuki.kageyama']は神代の家に仕えていた[resetfont]ことがあるのか！","balloon#2314d71a1a1f50b6126a0963297ba458","主人公"
"speaker_主人公","主人公","speaker_主人公",""
