"source","target","id","developer_comments"
"balloon#cbd5829e21af284b6deb51d0fa34fd41","好，真的没时间了。","balloon#cbd5829e21af284b6deb51d0fa34fd41","机翻辅助：

好，真的没时间了。

那么，差不多真的没有时间了。

那么，真的快没有时间了。"
"balloon#e83fbb82bf4f2fe5349de61988742aa3","太阳也开始下山了……","balloon#e83fbb82bf4f2fe5349de61988742aa3","机翻辅助：

太阳也开始下山了……

太阳也开始下山了呢……"
"balloon#5fabe07a507f1095edcd0487cf38b144","真是的，这场讨论有意义吗……？","balloon#5fabe07a507f1095edcd0487cf38b144","机翻辅助：

真是的，这场讨论有意义吗……？

真是的，这个对话有意义吗……？

真是的，这次谈话有意义吗……？"
"balloon#fb4acb92c4d516bcffd0e39ae0d26453","可是，[emb exp='tf.names.ryo_p.utaha']的行踪依然不明……","balloon#fb4acb92c4d516bcffd0e39ae0d26453","机翻辅助：

可是，[emb exp='tf.names.ryo_p.utaha']的行踪依然不明……

但是，[emb exp='tf.names.ryo_p.utaha']的去向还没有……

但是，[emb exp='tf.names.ryo_p.utaha']的下落还没有确定……"
"balloon#f26c55273144b1f9351c1a7e69896aa2","呃，这个……","balloon#f26c55273144b1f9351c1a7e69896aa2","机翻辅助：

呃，这个……

呃、呃……

嗯、嗯……"
"balloon#a9a422cc9e7a4f2320562f0d013efba7","怎么办，还没有找到和[emb exp='tf.names.itsuki_p.utaha']有关的线索啊！","balloon#a9a422cc9e7a4f2320562f0d013efba7","机翻辅助：

怎么办，还没有找到和[emb exp='tf.names.itsuki_p.utaha']有关的线索啊！

怎么办，还没有得到和[emb exp='tf.names.itsuki_p.utaha']有关的线索呢！

怎么办呢，还没有得到有关[emb exp='tf.names.itsuki_p.utaha']的线索哦！"
"speaker_真島","真岛","speaker_真島","机翻辅助：

真岛"
"speaker_結城","结城","speaker_結城","机翻辅助：

结城"
"speaker_影山","影山","speaker_影山",""
"speaker_亮","亮","speaker_亮",""
"speaker_主人公","主人公","speaker_主人公",""
