"source","target","id","developer_comments"
"text#6d577356eb3fdd5d7e1d8047492e558f","……往这边，跟我来。","text#6d577356eb3fdd5d7e1d8047492e558f","机翻辅助：

……往这边，跟我来。

……这边，跟我来。

……在这里，跟我来。"
"text#be879292a3e445911661cf07c493430c","这是……","text#be879292a3e445911661cf07c493430c","机翻辅助：

这是……"
"text#e2c2f4c574b28a07749e3aa8f7dee0cb","……果然是这么回事啊。","text#e2c2f4c574b28a07749e3aa8f7dee0cb","机翻辅助：

……果然是这么回事啊。

……果然是这样啊。

……果然是这样。"
"text#c868f7ba3d76c9bf249f067858c59cab","今天是爸爸的忌日。","text#c868f7ba3d76c9bf249f067858c59cab","机翻辅助：

今天是爸爸的忌日。"
"text#75ac60d4a4425e82f444346abcd83f90","1991年的8月8日……[l]13年前的今天，我们被卷入火灾。","text#75ac60d4a4425e82f444346abcd83f90","机翻辅助：

1991年的8月8日……[l]13年前的今天，我们被卷入火灾。

1991年8月8日……[l]13年前的今天，我们被卷入了火灾。

1991年8月8日……13年前的今天，我们被卷入了一场火灾。[l]"
"text#69b84020951ba3d4d61c1c9b40f2df76","在日期刚换掉的时候，火势突然变大了。[l]
为了救在儿童房睡觉的我，爸爸冲进了火场。","text#69b84020951ba3d4d61c1c9b40f2df76","机翻辅助：

在日期刚换掉的时候，火势突然变大了。[l]
为了救在儿童房睡觉的我，爸爸冲进了火场。

日期刚变的时候，火突然蔓延开来。[l]
为了帮助在孩子房间睡觉的我，爸爸跳进了火焰中。

日期刚过，火势突然蔓延开来。为了救在孩子的房间里睡觉的我，爸爸跳入了火焰中。[l]"
"text#862efb2b6714f626f8db0101c55d4d53","虽然我得救了……[l]但是爸爸却受了严重的烧伤，
最后还是死了。","text#862efb2b6714f626f8db0101c55d4d53","机翻辅助：

虽然我得救了……[l]但是爸爸却受了严重的烧伤，
最后还是死了。

然后我得救了……爸爸受了重伤，去世了。[l]


虽然我得救了……但是爸爸却受了重伤，去世了。[l]"
"text#1abfde8d0203af3026353be4a6cd51da","爸爸最喜欢西瓜了。","text#1abfde8d0203af3026353be4a6cd51da","机翻辅助：

爸爸最喜欢西瓜了。

爸爸最喜欢吃西瓜。

爸爸最爱吃西瓜了。"
"text#57a990af0b01bbcc1cdc393cc5b7e782","所以，我想供奉西瓜给他。","text#57a990af0b01bbcc1cdc393cc5b7e782","机翻辅助：

所以，我想供奉西瓜给他。

所以我想供奉给他。

所以，我想供奉给你。"
"text#bfa135ceb5c3b40beb4b34b4d3c99f78","大家，对不起！","text#bfa135ceb5c3b40beb4b34b4d3c99f78","机翻辅助：

大家，对不起！

对不起，大家！"
"text#f4a9bfecf7d81fbb7f52e89a95a5923b","犯人果然是小阳。","text#f4a9bfecf7d81fbb7f52e89a95a5923b","机翻辅助：

犯人果然是小阳。

果然犯人是小阳。

凶手果然是小阳。"
"text#e47d4c6b2d237ba251f2a61e13ddd5e6","可是，还有事情没搞清楚……","text#e47d4c6b2d237ba251f2a61e13ddd5e6","机翻辅助：

可是，还有事情没搞清楚……

但是，还有不明白的事情……

但是，我还有不明白的事……"
"SELECT_GLINK/text#b0f81f5c9fc1f1aee3f6b9b0e11d70c3","- 为什么先供奉了西瓜？","SELECT_GLINK/text#b0f81f5c9fc1f1aee3f6b9b0e11d70c3","机翻辅助：

- 为什么先供奉了西瓜？

- 你为什么先上西瓜？

- 为什么先供奉西瓜？"
"SELECT_GLINK/text#1f527777bb34eb512c418c715885eeee","- 为什么瞒着大家？","SELECT_GLINK/text#1f527777bb34eb512c418c715885eeee","机翻辅助：

- 为什么瞒着大家？

- 为什么对大家保持沉默？

- 你为什么瞒着大家？"
"SELECT_GLINK/text#96ab07ab817125887dc32ff0eac32833","- 我没有其他想问的了。","SELECT_GLINK/text#96ab07ab817125887dc32ff0eac32833","机翻辅助：

- 我没有其他想问的了。

- 没有什么想问的了。

- 再也没有什么想问的了。"
"text#ccdae81d28179a4c4d61f431b2986061","平常都是我、彩叶、歌叶和千世奶奶各切一块就够了……","text#ccdae81d28179a4c4d61f431b2986061","机翻辅助：

平常都是我、彩叶、歌叶和千世奶奶各切一块就够了……

平时我、彩叶、歌叶和千世奶奶的四片就够了……

平时我和彩叶、歌叶和千世奶奶的四片就足够了……"
"text#691c0fae358e6cb1e11a60705f78ed56","……他误以为有多，就先供奉了。","text#691c0fae358e6cb1e11a60705f78ed56","机翻辅助：

……他误以为有多，就先供奉了。

……我误以为是多余的，就先供奉了。

……误以为是多余的，所以先供奉了。"
"text#4bd1898ccdd6e36206e48c05da2ea4ff","真像阳平会做的事。","text#4bd1898ccdd6e36206e48c05da2ea4ff","机翻辅助：

真像阳平会做的事。

很像阳平。

好像是阳平。"
"text#0c9426b97fc6d87257c953f434a2e8b2","对不起，是我误会了！","text#0c9426b97fc6d87257c953f434a2e8b2","机翻辅助：

对不起，是我误会了！

对不起，是我搞错了！"
"text#df9d960062d6a284093b3588b137f832","那是因为……[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]难得树来了，我们玩得很开心，那个……","text#df9d960062d6a284093b3588b137f832","机翻辅助：

那是因为……[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]难得树来了，我们玩得很开心，那个……

那是……好不容易树来了，我玩得很开心，可是……[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]

那是因为……树好不容易来了，我们过得很开心，可是……[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]"
"text#723b1c0492ab960c4fd151c313c9fda9","……真是的，一点都没有男子气概！","text#723b1c0492ab960c4fd151c313c9fda9","机翻辅助：

……真是的，一点都没有男子气概！

……已经，真的不像男人了！

……已经不像个男子汉了！"
"text#afedc58187000ef93de940ca9923b69a","搞、搞什么啊！","text#afedc58187000ef93de940ca9923b69a","机翻辅助：

搞、搞什么啊！

啊，什么啊！

什、什么啊！"
"text#f531b949c03335be9c2a3dacbd71ebee","没办法啊……[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]很难说出口。","text#f531b949c03335be9c2a3dacbd71ebee","机翻辅助：

没办法啊……[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]很难说出口。

没办法啊……很难说出口。[l][chara_mod name=""sakura_youhei"" face=""trouble"" time=""100""]"
"text#9390bd2628f446e05cd741eb9fcddcce","那我来帮你代言。","text#9390bd2628f446e05cd741eb9fcddcce","机翻辅助：

那我来帮你代言。

那我给你代言啊。

那我替你代言吧。"
"text#fb2d5bea9439c412315edad99970baa2","难得树来岛上玩得这么开心，要是他在佛龛发现西瓜，不就扫兴了吗！","text#fb2d5bea9439c412315edad99970baa2","机翻辅助：

难得树来岛上玩得这么开心，要是他在佛龛发现西瓜，不就扫兴了吗！

树好不容易来到岛上，我们过得很开心，如果在佛龛里发现西瓜，我就泼水！

好不容易树来了岛上，我过得很开心，但是在佛龛里发现西瓜的话，就给它浇水吧！"
"text#4a4a406237fb0f9f6e048b96aa735106","只要把西瓜藏起来，假装是歌叶偷吃就好了！","text#4a4a406237fb0f9f6e048b96aa735106","机翻辅助：

只要把西瓜藏起来，假装是歌叶偷吃就好了！

把西瓜藏起来，就当作是歌叶偷吃的好了！

把西瓜的地方藏起来，让歌叶吃了下酒菜就可以了！"
"text#d490336640b662815e0f7e952153408c","这样就能笑着带过……[l][chara_mod name=""ichinose_iroha"" face=""smile"" time=""100""]好！","text#d490336640b662815e0f7e952153408c","机翻辅助：

这样就能笑着带过……[l][chara_mod name=""ichinose_iroha"" face=""smile"" time=""100""]好！

这样的话，就可以一笑而过了……[l][chara_mod name=""ichinose_iroha"" face=""smile"" time=""100""]好！

这样的话，就可以笑着解决了……[l][chara_mod name=""ichinose_iroha"" face=""smile"" time=""100""]好！"
