"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#d8e63b4e5116f097315104e25c693f24","なるほど、その推理なら[emb exp='tf.names.NPC.me']も[font color=@3]納得できる[resetfont]よ。","balloon#d8e63b4e5116f097315104e25c693f24","NPC"
"balloon#9a0a02b6470f80c6a63f48e17ac1f684","たしかに[font color=@3][emb exp='tf.names.NPC.mashima']に犯行は不可能[resetfont]ですね。","balloon#9a0a02b6470f80c6a63f48e17ac1f684","NPC"
"balloon#3f51b386c4bf5a5c5c41239ddd9104b7","疑ったのは[emb exp='tf.names.NPC.me']の思いこみだったみたいだ。","balloon#3f51b386c4bf5a5c5c41239ddd9104b7","NPC"
"balloon#e84d2c4baabc8f29371ccb6af693ae42","[emb exp='tf.names.itsuki.NPC']の疑問に答えられて、よかったです！","balloon#e84d2c4baabc8f29371ccb6af693ae42","主人公"
"balloon#960ba92c8120de05396aaa62d5f3633a","ええ、助かりましたよ。","balloon#960ba92c8120de05396aaa62d5f3633a","NPC"
"balloon#3694beb3da343e4660be84ad127f88df","君、なかなかやりますね。","balloon#3694beb3da343e4660be84ad127f88df","NPC"
"balloon#dee5e396785fd4700d139f06c2f4a830","本当にそうでしょうか？","balloon#dee5e396785fd4700d139f06c2f4a830","NPC"
"balloon#04f7f12ab2b6ade3f628ae3f1d3edcfe","その推理は、[font color=@3]ちょっと違う[resetfont]と思いますが……。","balloon#04f7f12ab2b6ade3f628ae3f1d3edcfe","NPC"
"balloon#ec11a8ed2ccfe17b201da260aaa88bd2","その推理は、[font color=@3]まったく違う[resetfont]と思いますが……。","balloon#ec11a8ed2ccfe17b201da260aaa88bd2","NPC"
"balloon#1e1cf5cccd0db3c354cfe8155bc07842","[emb exp='tf.names.itsuki_p.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1e1cf5cccd0db3c354cfe8155bc07842","主人公"
"balloon#c1c84092698aef1f95564c2e998b82de","君にそこまで期待してないですよ。","balloon#c1c84092698aef1f95564c2e998b82de","NPC"
"balloon#4d43f10d91ba20a54d20f87e28e4a2f9","しかし、この件なんですが……","balloon#4d43f10d91ba20a54d20f87e28e4a2f9","NPC"
"balloon#c28c8d7bca21d506ca8bb4c1c7db2531","[font color=@3]正確な犯行時刻とアリバイ[resetfont]がないと、はっきりしない気がしますね。","balloon#c28c8d7bca21d506ca8bb4c1c7db2531","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#247c03941dae171c7bf4981f8bfc9021","[font color=@3]正確な犯行時刻がいつだったのか[resetfont]、あらためて考えてみよう。","balloon#247c03941dae171c7bf4981f8bfc9021","主人公"
"speaker_主人公","主人公","speaker_主人公",""
