"source","target","id","developer_comments"
"balloon#7368cc099f2cbc58ee82fc742cb4c538","我说啊……你到底打算找出西瓜消失的犯人
到什么时候啊？","balloon#7368cc099f2cbc58ee82fc742cb4c538","机翻辅助：

我说啊……你到底打算找出西瓜消失的犯人
到什么时候啊？

是吧……寻找消失的西瓜的犯人，你打算持续到什么时候？


啊……寻找消失的西瓜的犯人，打算持续到什么时候？"
"balloon#76cf344185fa4d6b9f11e9f9e76e4600","的确……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]是时候了。","balloon#76cf344185fa4d6b9f11e9f9e76e4600","机翻辅助：

的确……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]是时候了。

确实……也许是时候了。[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]

的确……也许已经到了退潮的时候。[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]"
"balloon#ec34f61f4bd576fbc245082d60eb062f","好了，差不多该开始准备晚餐了。","balloon#ec34f61f4bd576fbc245082d60eb062f","机翻辅助：

好了，差不多该开始准备晚餐了。

好了，差不多该开始准备晚饭了。

那么，差不多该开始准备晚饭了。"
"balloon#43071818948bd855d02025f5053ba011","等一下，我还有事情很在意！","balloon#43071818948bd855d02025f5053ba011","机翻辅助：

等一下，我还有事情很在意！

等等，我还有在意的事！

等等，还有在意的事！"
"balloon#9353a572301c12b934cbd0ba1f0772e1","所以……","balloon#9353a572301c12b934cbd0ba1f0772e1","机翻辅助：

所以……"
"balloon#347137a0ab32dba4b91ac3a7b3305198","最后要不要大家一起讨论？","balloon#347137a0ab32dba4b91ac3a7b3305198","机翻辅助：

最后要不要大家一起讨论？

最后，大家一起讨论一下怎么样？

最后，大家一起商量一下吧？"
"balloon#512a6bb0345a8679fc9cfcbe9a3a3b92","不要说悄悄话，所有人一起……是这个意思吗？","balloon#512a6bb0345a8679fc9cfcbe9a3a3b92","机翻辅助：

不要说悄悄话，所有人一起……是这个意思吗？

不要说悄悄话，大家一起……是这样吗？

不要说悄悄话，大家一起……是这样的吗？"
"balloon#e7ef6e5c9d402a20cd12317d8f923bb1","的确……[l]大家还没一起讨论过呢。","balloon#e7ef6e5c9d402a20cd12317d8f923bb1","机翻辅助：

的确……[l]大家还没一起讨论过呢。

确实……[l]大家还没说呢。

的确……大家还没聊呢。[l]"
"balloon#34905fb8564367e3d2e6365efd2986f5","是啊。","balloon#34905fb8564367e3d2e6365efd2986f5","机翻辅助：

是啊。"
"balloon#0145b9de1f6c78feafa06de7d944dac6","大家一起讨论也很重要哦。","balloon#0145b9de1f6c78feafa06de7d944dac6","机翻辅助：

大家一起讨论也很重要哦。

大家一起商量也是很重要的。

大家一起商量也很重要。"
"balloon#15b0e690156888f510d6254a4a743fea","[emb exp='tf.names.utaha.me']啊，有件事想告诉大家！","balloon#15b0e690156888f510d6254a4a743fea","机翻辅助：

[emb exp='tf.names.utaha.me']啊，有件事想告诉大家！"
"balloon#76d93e220266146aad7819675d5b5653","我知道了，那就……","balloon#76d93e220266146aad7819675d5b5653","机翻辅助：

我知道了，那就……

我知道了，那么……

好吧，那么……"
"balloon#028b9e39a8a4a266b772dd0acaa1e354","[font color=@3]每个人轮流[resetfont]说[font color=@3]想说的话[resetfont]，然后结束吧！","balloon#028b9e39a8a4a266b772dd0acaa1e354","机翻辅助：

[font color=@3]每个人轮流[resetfont]说[font color=@3]想说的话，然后结束吧！[resetfont]

[font color=@3]每个人按顺序[resetfont]、[font color=@3]说出想说的话就结束吧！[resetfont]

[font color=@3]按照每个人的顺序，说出自己想说的话就结束吧！[resetfont][font color=@3][resetfont]"
"balloon#a7525958505647aa7af9c13619b8b2b4","[emb exp='tf.names.iroha.itsuki']，这样可以吗？","balloon#a7525958505647aa7af9c13619b8b2b4","机翻辅助：

[emb exp='tf.names.iroha.itsuki']，这样可以吗？

[emb exp='tf.names.iroha.itsuki']也可以吗？"
"balloon#3bfc8b7bed41ce3a4b758da57b0944d3","我、我知道了啦！","balloon#3bfc8b7bed41ce3a4b758da57b0944d3","机翻辅助：

我、我知道了啦！

哇，知道了！

哇，我知道了！"
"balloon#6cbcac75e280d64d51050b5348f492fc","这场讨论，说不定是找出真相的[font color=@3]最后机会[resetfont]……","balloon#6cbcac75e280d64d51050b5348f492fc","机翻辅助：

这场讨论，说不定是找出真相的[font color=@3]最后机会[resetfont]……

这次谈话，也许是找到真相的最后机会……[font color=@3][resetfont]

这一对话有可能是最后的机会……[font color=@3][resetfont]"
"balloon#a7b6dae511c3157c0126c7e832b76e2f","慎重一点……！","balloon#a7b6dae511c3157c0126c7e832b76e2f","机翻辅助：

慎重一点……！

慎重地去吧……！"
"speaker_陽平","阳平","speaker_陽平","机翻辅助：

阳平"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_千世","千世","speaker_千世",""
"speaker_歌葉","歌叶","speaker_歌葉","机翻辅助：

歌叶"
"speaker_彩葉","彩叶","speaker_彩葉","机翻辅助：

彩叶"
