"source","target","id","developer_comments"
"balloon#5bf36b625f93e06b66dab41f520c4e72","没想到，大家居然会怀疑[emb exp='tf.names.itsuki.me']！","balloon#5bf36b625f93e06b66dab41f520c4e72","机翻辅助：

没想到，大家居然会怀疑[emb exp='tf.names.itsuki.me']！

不会吧，[emb exp='tf.names.itsuki.me']竟然被怀疑是犯人！

[emb exp='tf.names.itsuki.me']怎么会被怀疑是凶手！"
"balloon#5b30ae8a1a164283acbaa40d9354c43c","……无所谓啊。","balloon#5b30ae8a1a164283acbaa40d9354c43c","机翻辅助：

……无所谓啊。

……没关系的。

……没关系。"
"balloon#aacea36c74c13419de94917ab90aab32","[emb exp='tf.names.utaha.itsuki']，你竟然会做这种事……[l][chara_mod time=""@f1"" name=""歌葉"" face=""stunned"" position=""right""]虽然有点伤心，不过我原谅你。","balloon#aacea36c74c13419de94917ab90aab32","机翻辅助：

[emb exp='tf.names.utaha.itsuki']，你竟然会做这种事……[l][chara_mod time=""@f1"" name=""歌葉"" face=""stunned"" position=""right""]虽然有点伤心，不过我原谅你。

[emb exp='tf.names.utaha.itsuki']竟然会做那样的事……[l][chara_mod time=""@f1"" name=""歌葉"" face=""stunned"" position=""right""]虽然有点悲伤，但还是原谅你。

[emb exp='tf.names.utaha.itsuki']竟然会做这种事……虽然有点难过，但我原谅你。[l][chara_mod time=""@f1"" name=""歌葉"" face=""stunned"" position=""right""]"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","不、不是啦！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","机翻辅助：

不、不是啦！

不对！

不、不对！"
"balloon#34c39933441b936737deadb28ae48a0f","[emb exp='tf.names.itsuki.me']，没有……","balloon#34c39933441b936737deadb28ae48a0f","机翻辅助：

[emb exp='tf.names.itsuki.me']，没有……

[emb exp='tf.names.itsuki.me']在做……

[emb exp='tf.names.itsuki.me']做了……"
"balloon#5f6f17716c08f3813c85420e31f29708","……好了，[emb exp='tf.names.chiyo.me']去准备晚饭了。","balloon#5f6f17716c08f3813c85420e31f29708","机翻辅助：

……好了，[emb exp='tf.names.chiyo.me']去准备晚饭了。

……好了，[emb exp='tf.names.chiyo.me']去准备晚饭。

……那么，[emb exp='tf.names.chiyo.me']去准备晚饭了。"
"balloon#da304bbc12f4e7c1bd209a843fd6bca1","等等，不要走！","balloon#da304bbc12f4e7c1bd209a843fd6bca1","机翻辅助：

等等，不要走！

等等，别走！"
"balloon#4501dd394b0ebc0763f28bf0f99203a0","啊，[emb exp='tf.names.iroha.me']也来帮忙。","balloon#4501dd394b0ebc0763f28bf0f99203a0","机翻辅助：

啊，[emb exp='tf.names.iroha.me']也来帮忙。

啊，[emb exp='tf.names.iroha.me']也帮你。"
"balloon#02b7fee150f02e7934814d08826b3366","听[emb exp='tf.names.itsuki.me']说话啊！","balloon#02b7fee150f02e7934814d08826b3366","机翻辅助：

听[emb exp='tf.names.itsuki.me']说话啊！

听[emb exp='tf.names.itsuki.me']说！"
"balloon#098788fab5f4eca79b56af03630d0201","别太沮丧了，[emb exp='tf.names.yohei.itsuki']。","balloon#098788fab5f4eca79b56af03630d0201","机翻辅助：

别太沮丧了，[emb exp='tf.names.yohei.itsuki']。

别灰心啊，[emb exp='tf.names.yohei.itsuki']。

别那么垂头丧气的，[emb exp='tf.names.yohei.itsuki']。"
"balloon#b0e563cb849a0846991c074a0fe16742","就说不是了……","balloon#b0e563cb849a0846991c074a0fe16742","机翻辅助：

就说不是了……

不、不是的……

啊，听说不一样……"
"message10#32fb38c1f5925aa000f6f4d3cfec989f","[font color=@1]树[resetfont]被选为犯人。","message10#32fb38c1f5925aa000f6f4d3cfec989f","机翻辅助：

[font color=@1]树[resetfont]被选为犯人。

被选为犯人的是[font color=@1]树[resetfont]。

树被选为犯人。[font color=@1][resetfont]"
"message10#2cf732428c689ebbd7288492b891617c","树就这样在无法和大家打成一片的情况下，度过了
岛上的剩余日子。","message10#2cf732428c689ebbd7288492b891617c","机翻辅助：

树就这样在无法和大家打成一片的情况下，度过了
岛上的剩余日子。

然后树，就这样没能和大家融洽地度过了在岛上剩下的日子。


然后，树无法和大家融洽地度过了在岛上剩下的日子。"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_歌葉","歌叶","speaker_歌葉","机翻辅助：

歌叶"
"speaker_千世","千世","speaker_千世",""
"speaker_彩葉","彩叶","speaker_彩葉","机翻辅助：

彩叶"
"speaker_陽平","阳平","speaker_陽平","机翻辅助：

阳平"
