"source","target","id","developer_comments"
"text#b3b3bdc9b69eee452e93b45a8c3d6d03","我把这次事件是千世奶奶自导自演的推理告诉大家。","text#b3b3bdc9b69eee452e93b45a8c3d6d03","机翻辅助：

我把这次事件是千世奶奶自导自演的推理告诉大家。

我向大家传达了这次的一件事是千世奶奶自导自演的推理。

我告诉大家，这件事是千世奶奶自导自演的。"
"text#c5755224fe039e5482a5236ff0e85dfd","……果然是这样啊。","text#c5755224fe039e5482a5236ff0e85dfd","机翻辅助：

……果然是这样啊。"
"text#4321255dc8920674a12dfccb9c14aefe","其实我也开始觉得应该是这样了。","text#4321255dc8920674a12dfccb9c14aefe","机翻辅助：

其实我也开始觉得应该是这样了。

其实我也开始觉得不是这样的。"
"text#25097847a2213e82f7a533373525820f","给大家添麻烦了，真的很抱歉！","text#25097847a2213e82f7a533373525820f","机翻辅助：

给大家添麻烦了，真的很抱歉！

对不起，给大家添麻烦了！

对不起给大家添麻烦了！"
"text#18dbbf9ad30204413d940da0fc41587b","我以为她失踪了，所以才会引起这么大的骚动……","text#18dbbf9ad30204413d940da0fc41587b","机翻辅助：

我以为她失踪了，所以才会引起这么大的骚动……

以为行踪不明，就闹成这样了……

以为他失踪了，才闹成这样……"
"text#9f0e32227abe20b5f246f3317bb44e8e","我完全没想到老妈是自己偷偷离开的。","text#9f0e32227abe20b5f246f3317bb44e8e","机翻辅助：

我完全没想到老妈是自己偷偷离开的。

我没想到母亲会按照自己的意愿偷偷离开。

没想到妈妈会按照自己的意思偷偷地出去。"
"text#7e1aaab3e570338ebcd0deadcb3c97af","请不要太过在意。","text#7e1aaab3e570338ebcd0deadcb3c97af","机翻辅助：

请不要太过在意。

请不要太在意。"
"text#4a0abb6198dc48cd6f9b6f06367f25f5","如果站在同样的立场，我也会担心。","text#4a0abb6198dc48cd6f9b6f06367f25f5","机翻辅助：

如果站在同样的立场，我也会担心。

如果是同样的立场，我也会担心的。"
"text#24513fa0663fabfd8fa72196e0ee4975","就算是自己离开的，还是会担心千世女士的安危。","text#24513fa0663fabfd8fa72196e0ee4975","机翻辅助：

就算是自己离开的，还是会担心千世女士的安危。

即使是自己出去了，也很在意千世女士的安危。

虽说是自己离家出走，可我还是担心千世女士的安危。"
"text#587ea8443ab757c503be42e990f03851","已经不需要讨论了吧？","text#587ea8443ab757c503be42e990f03851","机翻辅助：

已经不需要讨论了吧？

已经没有商量的必要了吧？

已经不需要再商量了吧？"
"text#3ebf9834218e562c1bda45fec5cac596","来，大家一起去找她吧！","text#3ebf9834218e562c1bda45fec5cac596","机翻辅助：

来，大家一起去找她吧！

好了，大家一起去找她吧。"
"text#b1179a62509fb8bb465b5786134a6fbc","好，我们去找她吧！","text#b1179a62509fb8bb465b5786134a6fbc","机翻辅助：

好，我们去找她吧！

好，我们去找吧！

好的，我们去找吧！"
"text#aa110ce4e9742cf07f28bf586c0a887a","……为什么没有人愿意相信千世奶奶呢？","text#aa110ce4e9742cf07f28bf586c0a887a","机翻辅助：

……为什么没有人愿意相信千世奶奶呢？

……为什么没有人相信千世奶奶呢？

……为什么没有人相信千世奶奶呢。"
"text#491b423ddc365b3ca2e5aadf8a66a0d6","我们讨论完之后，开始寻找千世奶奶。","text#491b423ddc365b3ca2e5aadf8a66a0d6","机翻辅助：

我们讨论完之后，开始寻找千世奶奶。

然后我们结束了交谈，前往千世奶奶的搜索。

我们结束对话，开始寻找千世奶奶。"
