"source","target","id","developer_comments"
"[0]/title","歌葉のあと台所に出入りしたのは？","[0]/title","chara_id: utaha"
"[0]/desc","歌葉は自分のあと<font color='@1'>誰かが台所へ出入りした</font>はずだと、主張している。台所への出入りを特定する<font color='@1'> @sl_c </font>は何か？","[0]/desc","chara_id: utaha"
"[0]/inference_help_text","歌葉の疑問を解決するためには、<br><font color=@1>千世、彩葉、陽平、3人全員の台所への出入りがわかる</font><br>手がかりが必要だ。","[0]/inference_help_text","chara_id: utaha"
"[1]/title","スイカの話で嘘をついているのは？","[1]/title","chara_id: utaha"
"[1]/desc","歌葉はスイカに関する話で誰かが<font color='@1'>嘘をついている</font>はずだと、主張している。その人物を特定する<font color='@1'> @sl_c </font>は何か？","[1]/desc","chara_id: utaha"
"[1]/inference_help_text","歌葉の疑問を解決するためには、<br><font color='@1'>スイカの数に関して、1人が矛盾した二つの話をしている</font><br>手がかりが必要だ。","[1]/inference_help_text","chara_id: utaha"
"[2]/title","包丁とまな板が使われた理由は？","[2]/title","chara_id: chiyo"
"[2]/desc","千世は片づけたはずの<font color='@1'>包丁とまな板が使われていた</font>ことが、気になっている。使われた理由を特定する<font color='@1'> @sl_c @sl_b </font>は何か？","[2]/desc","chara_id: chiyo"
"[2]/inference_help_text","千世の疑問を解決するためには、<br><font color='@1'>包丁とまな板を使って切られた、具体的なものを示す</font><br>手がかりが必要だ。","[2]/inference_help_text","chara_id: chiyo"
"[3]/title","千世が怪しい","[3]/title","chara_id: iroha"
"[3]/desc","彩葉は消えたスイカが自分のものだと漏らした<font color='@1'>千世が犯人</font>だと、疑っている。千世の犯行を裏付ける、または無実を証明する<font color='@1'> @sl_b  @sl_c </font>は何か？","[3]/desc","chara_id: iroha"
"[3]/inference_help_text","彩葉の疑問を解決するためには、<br><font color='@1'>消えたスイカと千世のスイカが無関係であることを示す</font><br>手がかりが必要だ。","[3]/inference_help_text","chara_id: iroha"
"[4]/title","歌葉が怪しい","[4]/title","chara_id: yohei"
"[4]/desc","陽平は口元に何かをつけて台所から出てきた<font color='@1'>歌葉が犯人</font>だと、疑っている。歌葉の犯行を裏付ける、または無実を証明する<font color='@1'> @sl_c @sl_b </font>は何か？","[4]/desc","chara_id: yohei"
"[4]/inference_help_text","陽平の疑問を解決するためには、<br><font color='@1'>歌葉がなにかを食べたことと、誰かに食べられたもの、それぞれを示す</font><br>手がかりが必要だ。","[4]/inference_help_text","chara_id: yohei"
"[5]/title","一番怪しいのは歌葉だ！","[5]/title","chara_id: itsuki"
"[5]/desc","樹は歌葉が一番怪しいと思っている。その根拠となる<font color='@1'> @sl_c </font>は何か？","[5]/desc","chara_id: itsuki"
"[6]/title","一番怪しいのは千世だ！","[6]/title","chara_id: itsuki"
"[6]/desc","樹は千世が一番怪しいと思っている。その根拠となる<font color='@1'> @sl_c </font>は何か？","[6]/desc","chara_id: itsuki"
"[7]/title","一番怪しいのは彩葉だ！","[7]/title","chara_id: itsuki"
"[7]/desc","樹は彩葉が一番怪しいと思っている。その根拠となる<font color='@1'> @sl_c </font>は何か？","[7]/desc","chara_id: itsuki"
"[8]/title","一番怪しいのは陽平だ！","[8]/title","chara_id: itsuki"
"[8]/desc","樹は陽平が一番怪しいと思っている。その根拠となる<font color='@1'> @sl_c </font>は何か？","[8]/desc","chara_id: itsuki"
