"source","target","id","developer_comments"
"text#fefc96e1a3769cf3a721662f1c3de44d","そこには、歌葉の帽子を抱えて泣き続ける彩葉の姿があった。","text#fefc96e1a3769cf3a721662f1c3de44d",""
"text#46b39bf688753f9800de9aab578ad6c9","おにいちゃんの、うそつき！","text#46b39bf688753f9800de9aab578ad6c9","ichinose_iroha_1990"
"text#478258bf60eb23160c1277349874674e","うたは、かくれんぼしてるだけっていったのに！[l]
かならずみつけるって、やくそくしたのに！","text#478258bf60eb23160c1277349874674e","ichinose_iroha_1990"
"text#6d97b576984270dd81e4a715b43c392b","そう、僕は未来と過去……[l]両方の彩葉との約束を破ってしまった。","text#6d97b576984270dd81e4a715b43c392b",""
"text#82c090050a71c465b7c93b866b86e135","それでも、一度の失敗で諦めるつもりはなかった。","text#82c090050a71c465b7c93b866b86e135",""
"text#b747e7f98034965d8616b20f77eea2b0","もう一度過去へ飛んで、今度こそ歌葉を助け出してみせる。[l]
そのために、僕は写真館へやってきた。","text#b747e7f98034965d8616b20f77eea2b0",""
"text#dfcf484693f7b714ecac89c32ca0e544","彩葉、お願いがあるんだ。[l]
今度こそ、かならず歌葉を助けるから。","text#dfcf484693f7b714ecac89c32ca0e544","amazawa_itsuki"
"text#5a6398aa1c23c0b923c9e6b5fc23dd90","ほんとう……？[l]
うたは、たすけてくれるの？","text#5a6398aa1c23c0b923c9e6b5fc23dd90","ichinose_iroha_1990"
"text#5ed7064dc984f5c46047ea15ff251b47","僕は彩葉に協力してもらい、一枚の写真を探し出した。","text#5ed7064dc984f5c46047ea15ff251b47",""
"text#f2e2140ee52b1034269564b2d18a8d09","“子供たちの写真”よりも少しだけ前に撮られた、歌葉が写った写真。[l]
これを使えば、きっとまた過去へ飛べるはずだ。","text#f2e2140ee52b1034269564b2d18a8d09",""
