"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","もう過去を変えるべきではないかと思い悩んだが、歌葉の言葉に励まされた樹は佐倉 鉄男を救うため“家族写真”で再び過去へ飛んだ。","[0]/memo",""
"[1]/director","学生","[1]/director",""
"[1]/memo","幼くして“式音島の神隠し”に巻き込まれた歌葉を救うため、樹は“子供たちの写真”を使って再び過去を変えた。","[1]/memo",""
"[2]/director","学生","[2]/director",""
"[2]/memo","“島民の写真”で過去へ飛び、1991年の火事を未然に防いだ。<br>その結果、陽平の父である大助の命を救うことができた。","[2]/memo",""
"[3]/director","学生","[3]/director",""
"[3]/memo","養護施設で育った捨て子。<br>1年前に養父母である天沢仁と久美子に引き取られた。<br>この夏初めて、久美子の出身である式音島を訪れた。","[3]/memo",""
"[4]/director","医者","[4]/director",""
"[4]/memo","島の診療所に勤める医師。<br>樹が倒れていた結城の手当てを頼みに診療所を訪れると、ちょうど千世の診療をしている最中だった。","[4]/memo",""
"[5]/director","医者","[5]/director",""
"[5]/memo","樹を見て転んだ歌葉のことを治療してくれた。<br>事件時に診療所におり歌葉を連れ去った犯人ではなかった。","[5]/memo",""
"[6]/director","医者","[6]/director",""
"[6]/memo","ぼや騒ぎの事件の解決に協力してくれた。<br>2004年の時点では島からいなくなっている。","[6]/memo",""
"[7]/director","商店 店主","[7]/director",""
"[7]/memo","海老原商店の店主。<br>樹は倒れている鉄男を見つける直前、山小屋から出て来た海老原のことを目撃した。","[7]/memo",""
"[8]/director","商店 店主","[8]/director",""
"[8]/memo","海老原商店の店主だったが、写真館への放火の疑いで捕まった。<br>自分は脅されていただけで、別に真犯人がいると証言していた。","[8]/memo",""
"[9]/director","不明","[9]/director",""
"[9]/memo","1991年の放火事件で警察に逮捕された後、島から姿を消した。<br>現在どこで何をしているのかは不明。","[9]/memo",""
"[10]/director","警察官","[10]/director",""
"[10]/memo","真島は樹の前で倒れている結城の姿を見て、激怒した。<br>また真島は鉄男が倒れていた山小屋から樹が出てくるのを目撃したと証言した。","[10]/memo",""
"[11]/director","警察官","[11]/director",""
"[11]/memo","警察官だったが、歌葉を連れ去った疑いで捕まった。<br>自分は脅されていただけで、別に真犯人がいると証言していた。","[11]/memo",""
"[12]/director","不明","[12]/director",""
"[12]/memo","1990年の誘拐事件で警察に逮捕された後、島から姿を消した。<br>現在どこで何をしているのかは不明。","[12]/memo",""
"[13]/director","教師","[13]/director",""
"[13]/memo","樹が鉄男の倒れていた山小屋に戻ると、なぜか鉄男の姿は消えていて結城が倒れていた。<br>結城は襲われる前の記憶がないと証言した。","[13]/memo",""
"[14]/director","教師","[14]/director",""
"[14]/memo","歌葉を連れ去った犯人を捕まえるのに協力してくれたが、真島とは特別に親密そうだった。","[14]/memo",""
"[15]/director","教師","[15]/director",""
"[15]/memo","島の学校の教師として務めているのは確認できたが、真島がいなくなったことで何か変化が起きているかも知れない。","[15]/memo",""
"[16]/director","写真館 経営","[16]/director",""
"[16]/memo","写真館の当主。<br>千世の夫で、大助と久美子の父。<br>この1989年で行方不明となり、2週間後に死体となって発見される。","[16]/memo",""
"[17]/director","写真館 経営","[17]/director",""
"[17]/memo","この1989年では、鉄男と共に写真館を営んでいる。<br>夫である鉄男はこの日を最後に行方不明となり、帰ってこない。","[17]/memo",""
"[18]/director","写真館 経営","[18]/director",""
"[18]/memo","1991年に息子の大助を亡くすはずだったが、樹が事件を未然に防いだ。","[18]/memo",""
"[19]/director","養祖母","[19]/director",""
"[19]/memo","島民の思い出を残すために、今でも1人で写真館を続けている。<br>過去の事件で、多くの家族を失っている。","[19]/memo",""
"[20]/director","佐倉家 長男","[20]/director",""
"[20]/memo","島で漁師をしている。<br>陽平の父で、千世の息子。","[20]/memo",""
"[21]/director","佐倉家 長男","[21]/director",""
"[21]/memo","1991年で火事に巻き込まれ命を落とすはずだったが、樹が事件を未然に防いだ。","[21]/memo",""
