"source","target","id","developer_comments"
"balloon#83d5da14415e1c19e8a0e406926f5533","这个嘛……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]把这件事告诉你应该没问题吧。","balloon#83d5da14415e1c19e8a0e406926f5533","机翻辅助：

这个嘛……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]把这件事告诉你应该没问题吧。

是啊……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]即使跟你说了这个也没问题吧。

是啊……把这个告诉你也没有问题吧。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]"
"balloon#acc0137a33eb51658307c3977d7d5d3a","请看，这是我刚才拍的照片。","balloon#acc0137a33eb51658307c3977d7d5d3a","机翻辅助：

请看，这是我刚才拍的照片。

请看，刚才拍的这张照片。

请看刚才拍的这张照片。"
"balloon#76bd30b8f0398d1bc19d0a4491907c0f","其实[font color=@3]12:56[resetfont]左右，我在照相馆前发现了[font color=@3]最近似乎被湮灭的火柴[resetfont]。","balloon#76bd30b8f0398d1bc19d0a4491907c0f","机翻辅助：

其实[font color=@3]12:56[resetfont]左右，我在照相馆前发现了[font color=@3]最近似乎被湮灭的火柴[resetfont]。

其实[font color=@3]12:56左右，在照相馆前面发现了[resetfont]最近好像被踩灭了的火柴[font color=@3]。[resetfont]

实际上，12:56左右，在照相馆前发现了最近被踩灭的火柴。[font color=@3][resetfont][font color=@3][resetfont]"
"balloon#c9cfe4de4c2baac4ca36f1e50e14f788","咦，照相馆前有[font color=@3]最近似乎被湮灭的火柴[resetfont]！？","balloon#c9cfe4de4c2baac4ca36f1e50e14f788","机翻辅助：

咦，照相馆前有[font color=@3]最近似乎被湮灭的火柴[resetfont]！？

诶，照相馆前面有[font color=@3]最近好像被踩灭了的火柴[resetfont]！？

啊，照相馆前面有最近被踩灭的火柴！？[font color=@3][resetfont]"
"balloon#6358f0402057b0838885eb3cda78121f","我想这说不定和这场小火灾的起火点有关。","balloon#6358f0402057b0838885eb3cda78121f","机翻辅助：

我想这说不定和这场小火灾的起火点有关。

我想是不是和那场骚动的起火点有关。

我还以为这可能和骚乱的导火索有关呢。"
"balloon#6c4b445826f732cd135ef3c658226362","你对[font color=@3]这根火柴的主人是谁[resetfont]有头绪吗？","balloon#6c4b445826f732cd135ef3c658226362","机翻辅助：

你对[font color=@3]这根火柴的主人是谁[resetfont]有头绪吗？

你猜到这根火柴的主人是谁了吗？[font color=@3][resetfont]

你知道这根火柴的主人是谁吗？[font color=@3][resetfont]"
"balloon#cd91275c14fda5fbc0867b96491b8564","有可能成为起火点的火柴，或许和这场小火灾有关……","balloon#cd91275c14fda5fbc0867b96491b8564","机翻辅助：

有可能成为起火点的火柴，或许和这场小火灾有关……

能成为火源的火柴，说不定与模糊吵闹有关系……

有可能成为起火点的火柴，说不定和骚动有关……"
"balloon#74c5730d90b1229edfa61871eab8076f","的确有必要弄清楚[font color=@3]火柴的主人[resetfont]是谁！","balloon#74c5730d90b1229edfa61871eab8076f","机翻辅助：

的确有必要弄清楚[font color=@3]火柴的主人[resetfont]是谁！

确实有必要弄清楚[font color=@3]火柴的主人[resetfont]！"
"balloon#a6aeebe4c50b5c4b366b4037e3e1e0e2","要是知道火柴的主人是谁，还请你告诉我。","balloon#a6aeebe4c50b5c4b366b4037e3e1e0e2","机翻辅助：

要是知道火柴的主人是谁，还请你告诉我。

如果知道火柴的主人是谁的话，能告诉我的话就帮大忙了。

如果知道火柴的主人是谁的话，能告诉我就帮大忙了。"
"balloon#e800bf5bc63a9f5ccc9a41955c513319","好，我马上向[emb exp='f.npc_nickname']报告。","balloon#e800bf5bc63a9f5ccc9a41955c513319","机翻辅助：

好，我马上向[emb exp='f.npc_nickname']报告。

好的，马上向[emb exp='f.npc_nickname']报告。"
"balloon#52fb6bb2ad0c26044b20078ad7e3ab8e","呵呵……[l]就稍微期待一下吧。","balloon#52fb6bb2ad0c26044b20078ad7e3ab8e","机翻辅助：

呵呵……[l]就稍微期待一下吧。

呵呵……[l]稍微期待一下吧。

呵呵……让我们稍微期待一下吧。[l]"
"balloon#962fb3d464a50089483b9430c1552d80","在这个时间点出现在照相馆前面的火柴啊。","balloon#962fb3d464a50089483b9430c1552d80","机翻辅助：

在这个时间点出现在照相馆前面的火柴啊。

这个时机在照相馆前面匹配吗。

这个时候照相馆前面有火柴吗？"
"balloon#0174eddfc5b793ed271db59139ceafa4","果然是这场骚动的导火线吗？","balloon#0174eddfc5b793ed271db59139ceafa4","机翻辅助：

果然是这场骚动的导火线吗？

还是，是模糊吵闹的火源吗？

果然是引起骚动的导火索吗？"
"balloon#04b28f651bb5fff265bb5fc863880ffd","[font color=@3][resetfont]去找找有没有和火柴有关的人物吧。寻找线索吧。","balloon#04b28f651bb5fff265bb5fc863880ffd","机翻辅助：

[font color=@3][resetfont]去找找有没有和火柴有关的人物吧。寻找线索吧。

[font color=@3]有没有与火柴有关的人物？[resetfont]让我们一起寻找线索。

[font color=@3]有没有和火柴有关的人？让我们寻找线索吧。[resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
