"source","target","id","developer_comments"
"balloon#5bf36b625f93e06b66dab41f520c4e72","まさか、[emb exp='tf.names.itsuki.me']が犯人として疑われてしまうなんて！","balloon#5bf36b625f93e06b66dab41f520c4e72","主人公"
"balloon#5b30ae8a1a164283acbaa40d9354c43c","……別にいいんだよ。","balloon#5b30ae8a1a164283acbaa40d9354c43c","歌葉"
"balloon#aacea36c74c13419de94917ab90aab32","[emb exp='tf.names.utaha.itsuki']がそんなことするなんて……[l][chara_mod time=""@f1"" name=""歌葉"" face=""stunned"" position=""right""]ちょっと悲しいけど、許してあげる。","balloon#aacea36c74c13419de94917ab90aab32","歌葉"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","ち、違う！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","主人公"
"balloon#34c39933441b936737deadb28ae48a0f","[emb exp='tf.names.itsuki.me']は、やってな……","balloon#34c39933441b936737deadb28ae48a0f","主人公"
"balloon#5f6f17716c08f3813c85420e31f29708","……さぁ、[emb exp='tf.names.chiyo.me']は夕飯の支度をしてくるわね。","balloon#5f6f17716c08f3813c85420e31f29708","千世"
"balloon#da304bbc12f4e7c1bd209a843fd6bca1","待って、行かないで！","balloon#da304bbc12f4e7c1bd209a843fd6bca1","主人公"
"balloon#4501dd394b0ebc0763f28bf0f99203a0","あ、[emb exp='tf.names.iroha.me']も手伝うわ。","balloon#4501dd394b0ebc0763f28bf0f99203a0","彩葉"
"balloon#02b7fee150f02e7934814d08826b3366","[emb exp='tf.names.itsuki.me']の話を、聞いて！","balloon#02b7fee150f02e7934814d08826b3366","主人公"
"balloon#098788fab5f4eca79b56af03630d0201","あんま落ち込むなよ、[emb exp='tf.names.yohei.itsuki']。","balloon#098788fab5f4eca79b56af03630d0201","陽平"
"balloon#b0e563cb849a0846991c074a0fe16742","ち、違うんだって……。","balloon#b0e563cb849a0846991c074a0fe16742","主人公"
"message10#32fb38c1f5925aa000f6f4d3cfec989f","犯人として、[font color=@1]樹[resetfont]が選ばれた。","message10#32fb38c1f5925aa000f6f4d3cfec989f",""
"message10#2cf732428c689ebbd7288492b891617c","そして樹は、みんなと打ち解けることができないまま
島での残りの日々を過ごした。","message10#2cf732428c689ebbd7288492b891617c",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_歌葉","歌葉","speaker_歌葉",""
"speaker_千世","千世","speaker_千世",""
"speaker_彩葉","彩葉","speaker_彩葉",""
"speaker_陽平","陽平","speaker_陽平",""
