"source","target","id","developer_comments"
"balloon#1b45a2a17e91c03ef6cd2bd4f5373f6d","[emb exp='tf.names.NPC.me']が見つかったときの話は、さっきの通りだ。","balloon#1b45a2a17e91c03ef6cd2bd4f5373f6d","NPC"
"balloon#f63ac2ccdfe5a3695858573b6b7add8d","[emb exp='tf.names.NPC.me']を見つけたあとも、2人は[emb exp='tf.names.NPC.utaha']を捜し続けていました。","balloon#f63ac2ccdfe5a3695858573b6b7add8d","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#ce3e61198bb892413ef507ea1e0afaf8","[emb exp='tf.names.itsuki_p.iroha']たちは[emb exp='tf.names.itsuki_p.utaha']を捜し続けていたのか。","balloon#ce3e61198bb892413ef507ea1e0afaf8","主人公"
"balloon#94a3588884ff29bc25bce4cc5e673e51","どうも[emb exp='tf.names.NPC.me']は、かくれんぼが苦手でね……","balloon#94a3588884ff29bc25bce4cc5e673e51","NPC"
"balloon#d51d40fbf8b5905ef7ab2cb444af7537","子供たちから、あっという間に見つけられてしまうんだ。","balloon#d51d40fbf8b5905ef7ab2cb444af7537","NPC"
"balloon#5cca22827062c5b7952a44b73277affb","さっきも、学校のチャイムが鳴った[font color=@3]15:00[resetfont]に……","balloon#5cca22827062c5b7952a44b73277affb","NPC"
"balloon#24285043688fab22387e695582c6f156","鬼の[font color=@3][emb exp='tf.names.NPC.iroha']とそれを手伝う[emb exp='tf.names.NPC.mashima'][resetfont]に見つかってしまってね。","balloon#24285043688fab22387e695582c6f156","NPC"
"balloon#ba9093e0562ea4f621809cbc9408111f","[font color=@3][emb exp='tf.names.itsuki.NPC']は、[emb exp='tf.names.itsuki_p.iroha']と[emb exp='tf.names.itsuki_p.mashima']に見つかった[resetfont]のか。","balloon#ba9093e0562ea4f621809cbc9408111f","主人公"
"balloon#e347074251822067201da60d293b7544","[emb exp='tf.names.itsuki_p.mashima']にも確認すれば分かる、たしかな話だろう。","balloon#e347074251822067201da60d293b7544","主人公"
"speaker_主人公","主人公","speaker_主人公",""
