"source","target","id","developer_comments"
"balloon#ee3dea668d38d9bdb9ec541460949799","犯人，是[emb exp='tf.names.itsuki.NPC']……是你。","balloon#ee3dea668d38d9bdb9ec541460949799","机翻辅助：

犯人，是[emb exp='tf.names.itsuki.NPC']……是你。

犯人是[emb exp='tf.names.itsuki.NPC']……你。

凶手是[emb exp='tf.names.itsuki.NPC']……是你。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#696bbf9a1173c6f1fc65bb26f847779a","果然是这样吗？","balloon#696bbf9a1173c6f1fc65bb26f847779a","机翻辅助：

果然是这样吗？"
"balloon#083df882f7ddc9f7b379e2b834f022ff","[emb exp='tf.names.chiyo.NPC']，老实回答我……","balloon#083df882f7ddc9f7b379e2b834f022ff","机翻辅助：

[emb exp='tf.names.chiyo.NPC']，老实回答我……

老实回答，[emb exp='tf.names.chiyo.NPC']……

老实回答我，[emb exp='tf.names.chiyo.NPC']……"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","不、不是啦！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","机翻辅助：

不、不是啦！

不对！

不、不对！"
"balloon#782b0a2f429722162c1018b3b5965a06","[emb exp='tf.names.NPC.me']只是，[emb exp='tf.names.NPC.me']只是……","balloon#782b0a2f429722162c1018b3b5965a06","机翻辅助：

[emb exp='tf.names.NPC.me']只是，[emb exp='tf.names.NPC.me']只是……

[emb exp='tf.names.NPC.me']、[emb exp='tf.names.NPC.me']只是……"
"balloon#9b0f4afea08264433aa83fb7db168cf1","……真是的，这样一点都不像男人！","balloon#9b0f4afea08264433aa83fb7db168cf1","机翻辅助：

……真是的，这样一点都不像男人！

……也不是很有男子气概！

……已经不像个男子汉了！"
"balloon#e5386de11ae337f2cc0edae2ff4e4394","怎、怎么了……！","balloon#e5386de11ae337f2cc0edae2ff4e4394","机翻辅助：

怎、怎么了……！

啊，什么啊……！

什、怎么回事……！"
"balloon#9ff18d6a8d68daa0b8bd95584ba0d03c","[emb exp='tf.names.iroha.NPC']在想什么，我马上就知道了。","balloon#9ff18d6a8d68daa0b8bd95584ba0d03c","机翻辅助：

[emb exp='tf.names.iroha.NPC']在想什么，我马上就知道了。

[emb exp='tf.names.iroha.NPC']的想法什么的，马上就知道了。

[emb exp='tf.names.iroha.NPC']在想什么，我一看就知道。"
"balloon#a44851084d6da334198c5fc6062b0456","……反正一定就在那里吧？","balloon#a44851084d6da334198c5fc6062b0456","机翻辅助：

……反正一定就在那里吧？

……反正就在那里吧？"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_歌葉","歌叶","speaker_歌葉","机翻辅助：

歌叶"
"speaker_千世","千世","speaker_千世",""
"speaker_彩葉","彩叶","speaker_彩葉","机翻辅助：

彩叶"
