"source","target","id","developer_comments"
"balloon#024c10984b35500e7c3b87bbd93382ff","你听过“神隐游戏”吗？","balloon#024c10984b35500e7c3b87bbd93382ff","机翻辅助：

你听过“神隐游戏”吗？

听说过“神隐游戏”吗？

你听说过“神隐游戏”吗？"
"balloon#148f0bbbbaef83744bd7f29dc3ce2b52","神隐……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]游戏吗？","balloon#148f0bbbbaef83744bd7f29dc3ce2b52","机翻辅助：

神隐……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]游戏吗？

神隐……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]是游戏吗？"
"balloon#8f47839c2688c00a6fa9bc93c67be4e2","其实，我最近偶然听到学生们在讨论这件事。","balloon#8f47839c2688c00a6fa9bc93c67be4e2","机翻辅助：

其实，我最近偶然听到学生们在讨论这件事。

实际上，最近我听到学生们在说话。

其实，最近我无意中听到学生们在说话。"
"balloon#4e5719bb21f507f3125eaee3fa0da165","突然从操场上消失，原本在外面的人突然出现在操场上……","balloon#4e5719bb21f507f3125eaee3fa0da165","机翻辅助：

突然从操场上消失，原本在外面的人突然出现在操场上……

突然从校园消失，原本应该在外面的孩子突然出现在校园里……

突然从校园里消失，本应在外面的孩子突然出现在校园里……"
"balloon#72007537f17cf9efbe604369feeb085a","这种游戏似乎在学生之间很流行。","balloon#72007537f17cf9efbe604369feeb085a","机翻辅助：

这种游戏似乎在学生之间很流行。

学生之间好像很流行这样的游戏。

学生之间好像很流行这种游戏。"
"balloon#f80678b2a44cbe532d1fd15f21333693","这种事真的做得到吗？","balloon#f80678b2a44cbe532d1fd15f21333693","机翻辅助：

这种事真的做得到吗？

那样的事，实际能吗？

这种事真的能做到吗？"
"balloon#757a003810b97ef3725b5e1d3fff3549","[emb exp='tf.names.NPC.me']也很在意这件事，所以问了她，但她不肯告诉我……","balloon#757a003810b97ef3725b5e1d3fff3549","机翻辅助：

[emb exp='tf.names.NPC.me']也很在意这件事，所以问了她，但她不肯告诉我……

[emb exp='tf.names.NPC.me']也很在意，就问了一下，但是没有告诉我……

[emb exp='tf.names.NPC.me']也很在意那个，所以问了一下，但是没告诉我……"
"balloon#d871cf584f7d4be1beb7b6ab61356e42","不过，我问到了提示。","balloon#d871cf584f7d4be1beb7b6ab61356e42","机翻辅助：

不过，我问到了提示。

但是，我听到了提示。

不过，我还是问出了一些线索。"
"balloon#dc9e0fed6118dde9e6fd22d2d0c5bc2f","其实……","balloon#dc9e0fed6118dde9e6fd22d2d0c5bc2f","机翻辅助：

其实……"
"balloon#983ce0ab31f946ca7b90904eb000ca51","在操场的某处，似乎有[font color=@3]只有小孩子能穿过的秘密出入口[resetfont]。","balloon#983ce0ab31f946ca7b90904eb000ca51","机翻辅助：

在操场的某处，似乎有[font color=@3]只有小孩子能穿过的秘密出入口[resetfont]。

在校园的某个地方，好像有一个只有孩子才能逃出的秘密出入口。[font color=@3][resetfont]

在校园的某个地方，好像有一个只有孩子才能钻出去的秘密出入口。[font color=@3][resetfont]"
