"source","target","id","developer_comments"
"balloon#5b567d92d494474b7727a2d334d01e4d","[emb exp='tf.names.NPC.me']はまだ、式音島に赴任してきて日が浅い。","balloon#5b567d92d494474b7727a2d334d01e4d","NPC"
"balloon#7db5f5d4516049de0b415645e908d8a3","そんな[emb exp='tf.names.NPC.me']でも、この写真館の噂は色々耳にしている。","balloon#7db5f5d4516049de0b415645e908d8a3","NPC"
"balloon#e013f9dc95fa16850b0a581f93150c88","これまで色々と、不幸に見舞われているそうじゃないか。","balloon#e013f9dc95fa16850b0a581f93150c88","NPC"
"balloon#e6e473d61e5e45e7acc37e8cd0242f82","何の先入観もないであろう、島へ来たばかりの君だから、あえて聞くけど……","balloon#e6e473d61e5e45e7acc37e8cd0242f82","NPC"
"balloon#c1c281d5aea3c4c88029b0d5757303c7","[emb exp='tf.names.NPC.itsuki']の目からみて、この写真館はどう映ったんだい？","balloon#c1c281d5aea3c4c88029b0d5757303c7","NPC"
"balloon#3407ae03ea3c50cfee7698df440973fb","どうって、意外に難しい質問だな……。","balloon#3407ae03ea3c50cfee7698df440973fb","主人公"
"SECRET_SELECTION/topic#cba6964f9370e2fbdc4886aaa50b04e7","サクラ写真館は……","SECRET_SELECTION/topic#cba6964f9370e2fbdc4886aaa50b04e7",""
"SECRET_SELECTION/text1#60b137c07d253f3e554aa5183230ce42","みんなでスイカを食べた場所！","SECRET_SELECTION/text1#60b137c07d253f3e554aa5183230ce42",""
"SECRET_SELECTION/text2#5650794f860769a5a7c94bb7306d6875","店舗兼住居なんですよね！","SECRET_SELECTION/text2#5650794f860769a5a7c94bb7306d6875",""
"SECRET_SELECTION/text3#6a1b1481c7182d2853928876dc1405b3","何度も事件に巻き込まれすぎ！","SECRET_SELECTION/text3#6a1b1481c7182d2853928876dc1405b3",""
"balloon#bc96c73be2138a1f8a5194edf5c96767","スイカ……","balloon#bc96c73be2138a1f8a5194edf5c96767","NPC"
"balloon#b0b321bf9733a876e7f7c34d4953ba46","“うまいすいか”だ！","balloon#b0b321bf9733a876e7f7c34d4953ba46","NPC"
"balloon#84b5ece0877e66d58c022e226ecaba93","そうです、シールが貼ってある！","balloon#84b5ece0877e66d58c022e226ecaba93","主人公"
"balloon#dbca62038c8eb9708057347aeddae09b","スイカだけじゃない、海老原商店には……[l][chara_mod time=""@f1"" name=""NPC"" face=""happy"" position=""right""]なんでも美味いものが揃ってるからね。","balloon#dbca62038c8eb9708057347aeddae09b","NPC"
"balloon#fcc2d49498ca063deec98c3a3c9c4f72","海老原商店……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]あっ……。","balloon#fcc2d49498ca063deec98c3a3c9c4f72","主人公"
"balloon#38ec23cd3dfbf4f6e06cf5f63c9b2e9c","……なんて話してたら、食べたくなってきたよ。[l][chara_mod time=""@f1"" name=""NPC"" face=""happy"" position=""right""]“うまいすいか”！","balloon#38ec23cd3dfbf4f6e06cf5f63c9b2e9c","NPC"
"balloon#c61ba8e02d745059d0e4d9b274048a09","店舗兼住居……","balloon#c61ba8e02d745059d0e4d9b274048a09","NPC"
"balloon#8e44c0d5061d3706e892b5bcfb3442b8","たしかに特徴を捉えているね。","balloon#8e44c0d5061d3706e892b5bcfb3442b8","NPC"
"balloon#776b11e8db6b5d09330866121dc79c10","けど、この辺じゃ珍しくはないよ。","balloon#776b11e8db6b5d09330866121dc79c10","NPC"
"balloon#b850ea40054be875c2f7e5dc599ab172","診療所だって、海老原商店だってそうだ。","balloon#b850ea40054be875c2f7e5dc599ab172","NPC"
"balloon#311d9c9f059eb64d82f7734a0bad550f","出勤時間0分はある意味魅力だけど、駐在所まではそうなってほしくないかな。","balloon#311d9c9f059eb64d82f7734a0bad550f","NPC"
"balloon#f72928bb9a167f159a864e29db66099c","事件に……","balloon#f72928bb9a167f159a864e29db66099c","NPC"
"balloon#7810df624131ad370bcca90a3c61aa54","たしかにそうだね。[l][chara_mod time=""@f1"" name=""NPC"" face=""doubt"" position=""right""]君にもやはり、何か感じることはあったのかな。","balloon#7810df624131ad370bcca90a3c61aa54","NPC"
"balloon#cb7c17223cd7cedfd7aa4e91fed34c44","氣というか、巡りというか……","balloon#cb7c17223cd7cedfd7aa4e91fed34c44","NPC"
"balloon#90626e65b632df7e7d1167a210be2f64","そんな言葉では片付けたくはないけど、どうも何かに覆われている感じがするんだ。","balloon#90626e65b632df7e7d1167a210be2f64","NPC"
"balloon#a914756b37f7723805a6fbae69eaef5a","たしかに写真館では、奇妙なことが起こりすぎている。","balloon#a914756b37f7723805a6fbae69eaef5a","主人公"
"balloon#86cfb6de46fba4b44cd9a7681baf9997","今日の一件も、そんな“何か”じゃないといいのだけど。","balloon#86cfb6de46fba4b44cd9a7681baf9997","NPC"
"balloon#eef98ffafa3d41f8371d8a4ba689d1f2","あまり実のある情報をお話できず、申し訳ないです。","balloon#eef98ffafa3d41f8371d8a4ba689d1f2","主人公"
