"source","target","id","developer_comments"
"balloon#d6f5daeb57f3459e237b5dbc25cfde83","为什么西瓜会少了一块？","balloon#d6f5daeb57f3459e237b5dbc25cfde83","机翻辅助：

为什么西瓜会少了一块？

为什么西瓜一片消失了？

为什么西瓜掉了一块？"
"balloon#8a92f801037d7f5f302ad61138882dcc","不可能自然消失吧……","balloon#8a92f801037d7f5f302ad61138882dcc","机翻辅助：

不可能自然消失吧……

不可能自然地消失啊……

不会自然消失的吧……"
"balloon#95caaad0302b8f3278115e3bbd8e17f9","好了，大家一起吃西瓜吧。","balloon#95caaad0302b8f3278115e3bbd8e17f9","机翻辅助：

来，西瓜大家一起吃吧。

来吧，西瓜大家一起吃。

来，大家一起吃西瓜吧。"
"balloon#f17ea7b649dbca3f990867b8fcd38f44","[emb exp='tf.names.yohei.chiyo']，别客气！","balloon#f17ea7b649dbca3f990867b8fcd38f44","机翻辅助：

[emb exp='tf.names.yohei.chiyo']，别客气！"
"balloon#39f9ea20620babd27ddd88ac8a0bd3de","小树，别在意，吃吧。","balloon#39f9ea20620babd27ddd88ac8a0bd3de","机翻辅助：

小树，别在意，吃吧。

小树，不要在意，吃吧。"
"balloon#e1ec1e82f81873d029f8554b2fddfe07","可是，我很在意啊！","balloon#e1ec1e82f81873d029f8554b2fddfe07","机翻辅助：

可是，我很在意啊！

但是，我很在意！"
"balloon#69cc173a17970548d758b84d9e3c0901","西瓜到底去哪了……","balloon#69cc173a17970548d758b84d9e3c0901","机翻辅助：

西瓜到底去哪了……

西瓜去哪儿了呢……

西瓜在哪里呢……"
"balloon#3a745eef6967a7062cc1e4119863e299","西瓜在不知不觉间消失了一块，的确很不可思议……","balloon#3a745eef6967a7062cc1e4119863e299","机翻辅助：

西瓜在不知不觉间消失了一块，的确很不可思议……

确实，西瓜在不知不觉间消失了一片，真是不可思议啊……

确实，西瓜不知什么时候就消失了，真是不可思议啊……"
"balloon#cda9cc029980587e2e84fa857fa37267","……简直就像[font color=@3]“神隐”[resetfont]一样。","balloon#cda9cc029980587e2e84fa857fa37267","机翻辅助：

……简直就像[font color=@3]“神隐”[resetfont]一样。

……简直就像在[font color=@3]神隐[resetfont]里一样。

……简直就像[font color=@3]神隐[resetfont]一样。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#673eb8c4cdc4281c535187682b245572","“神隐”……？","balloon#673eb8c4cdc4281c535187682b245572","机翻辅助：

“神隐”……？"
"balloon#37f503064b49a66f25bb7bc5832a4a0e","话说回来……[l]大家从刚才开始，样子就有点奇怪。","balloon#37f503064b49a66f25bb7bc5832a4a0e","机翻辅助：

话说回来……[l]大家从刚才开始，样子就有点奇怪。

话说回来……大家从刚才开始，总觉得样子很奇怪。[l]

即便如此……大家从刚才开始就很奇怪。[l]"
