"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","·暑假造访式根岛。<br>救了歌叶，大家一起吃西瓜。","[0]/memo","机翻辅助：

·暑假造访式根岛。<br>救了歌叶，大家一起吃西瓜。

暑假去了式根岛。<br>帮助歌叶，大家一起吃了西瓜。

暑假去了式根岛。帮助歌叶，大家一起吃了西瓜。<br>"
"[1]/director","学生","[1]/director",""
"[1]/memo","·为了救大辅而改变未来。","[1]/memo","机翻辅助：

·为了救大辅而改变未来。

·为了帮助大辅改变了未来。"
"[2]/director","学生","[2]/director",""
"[2]/memo","·为了救歌叶而改变未来。","[2]/memo","机翻辅助：

·为了救歌叶而改变未来。

·为了帮助歌叶改变了未来。

为了帮助歌叶改变了未来。"
"[3]/director","学生","[3]/director",""
"[3]/memo","·为了救哲男而改变未来。","[3]/memo","机翻辅助：

·为了救哲男而改变未来。

·为了帮助哲男改变了未来。"
"[4]/director","祖母","[4]/director","机翻辅助：

祖母

养祖母"
"[4]/memo","树的养母佐仓久美子的母亲，在式音岛经营照相馆。千世作证消失的西瓜是自己的份。","[4]/memo","机翻辅助：

树的养母佐仓久美子的母亲，在式音岛经营照相馆。千世作证消失的西瓜是自己的份。

树的养母佐仓久美子的母亲。在式音岛经营照相馆。千世作证说消失的西瓜是自己的份儿。

阿树的养母佐仓久美子的母亲。在式音岛经营照相馆。千世证明消失的西瓜是自己的份。"
"[5]/director","奶奶","[5]/director","机翻辅助：

奶奶

老太婆"
"[5]/memo","·千世","[5]/memo","机翻辅助：

·千世"
"[6]/director","干哥哥","[6]/director","机翻辅助：

没有血缘的堂兄弟

叔伯

堂表兄弟"
"[6]/memo","千世的孙女，在岛上的学校上学。阳平作证西瓜切成四块应该够所有人吃。","[6]/memo","机翻辅助：

千世的孙女，在岛上的学校上学。阳平作证西瓜切成四块应该够所有人吃。

千世之孙我在岛上的学校上学。阳平证明4片西瓜应该足够所有人吃。

千世之孙。我在岛上上学。阳平作证说西瓜四片应该够所有人吃的。"
"[7]/director","继姐弟","[7]/director","机翻辅助：

继姐弟

义理的再表兄弟

重堂兄弟"
"[7]/memo","千世的妹妹的孙女，歌叶的姐姐。和阳平在同所岛上学校上学。彩叶说今天树也在，所以需要五块西瓜。","[7]/memo","机翻辅助：

千世的妹妹的孙女，歌叶的姐姐。和阳平在同所岛上学校上学。彩叶说今天树也在，所以需要五块西瓜。

千世妹妹的孙子，歌叶的姐姐。和阳平在同一个岛上上学。彩叶说因为今天有树，所以需要五片西瓜。

千世妹妹的孙子，歌叶的姐姐。我和阳平在同一个岛上学。彩叶说，因为今天有树，所以西瓜需要5片。"
"[8]/director","继姐弟","[8]/director","机翻辅助：

继姐弟

义理的再表兄弟

重堂兄弟"
"[8]/memo","千世的妹妹的孙女，彩叶的妹妹。和阳平在同所岛上学校上学。歌叶作证消失的西瓜是自己的份。","[8]/memo","机翻辅助：

千世的妹妹的孙女，彩叶的妹妹。和阳平在同所岛上学校上学。歌叶作证消失的西瓜是自己的份。

千世妹妹的孙子，彩叶的妹妹。我和阳平在同一个岛上学。歌叶作证说，消失的西瓜是自己的份儿。

千世妹妹的孙子，彩叶的妹妹。和阳平在同一个岛上上学。歌词证明消失的西瓜是自己的份。"
