"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","在福利院长大的弃婴。<br>2003年被养父母天泽仁与久美子收养。<br>今年夏天第一次造访久美子出身的式音岛。","[0]/memo","机翻辅助：

在福利院长大的弃婴。<br>2003年被养父母天泽仁与久美子收养。<br>今年夏天第一次造访久美子出身的式音岛。

在福利院长大的弃儿。<br>2003年被养父母天泽仁和久美子收养。<br>今年夏天第一次访问了久美子出生的式音岛。

在福利院长大的弃婴。2003年被养父母天泽仁和久美子收养。今年夏天，我第一次来到了久美子的故乡式音岛。<br><br>"
"[1]/director","干姐姐","[1]/director","机翻辅助：

干姐姐

义理的再表姐

继姐妹"
"[1]/memo","千世的妹妹的孙女，彩叶的妹妹。<br>和阳平就读于岛上的同一所学校。<br>树目击了歌叶从厨房走出来。","[1]/memo","机翻辅助：

千世的妹妹的孙女，彩叶的妹妹。<br>和阳平就读同一所岛上的学校。<br>树目击歌叶从厨房走出来。

千世妹妹的孙子，彩叶的妹妹。<br>和阳平在同一个岛上学。<br>树看到了从厨房出来的歌叶。

千世妹妹的孙子，彩叶的妹妹。和阳平在同一个岛上上学。树目击了从厨房出来的歌曲。<br><br>"
"[2]/director","祖母","[2]/director","机翻辅助：

祖母

养祖母"
"[2]/memo","树的养母天泽久美子的母亲。<br>在式音岛经营照相馆。<br>千世说消失的西瓜是自己的那块。","[2]/memo","机翻辅助：

树的养母，天泽久美子的母亲。<br>在式音岛经营照相馆。<br>千世说消失的西瓜是自己的份。

树的养母天泽久美子的母亲。<br>在式音岛经营照相馆。<br>千世说消失的西瓜是自己的份儿。

阿树的养母天泽久美子的母亲。在式音岛经营照相馆。<br>千世说消失的西瓜是自己的。<br>"
"[3]/director","干姐姐","[3]/director","机翻辅助：

干姐姐

义理的再表姐

继姐妹"
"[3]/memo","千世的妹妹的孙女，歌叶的姐姐。<br>和阳平就读于岛上的同一所学校。<br>彩叶说今天因为有树在，所以西瓜要切五块。","[3]/memo","机翻辅助：

千世的妹妹的孙女，歌叶的姐姐。<br>和阳平就读同一所岛上的学校。<br>彩叶说今天因为有树在，所以西瓜要切五块。

千世妹妹的孙子，歌叶的姐姐。<br>和阳平在同一个岛上学。<br>彩叶说，因为今天有树，所以西瓜需要五片。

千世妹妹的孙子，歌叶的姐姐。和阳平在同一个岛上上学。彩叶说因为今天有树，所以需要五片西瓜。<br><br>"
"[4]/director","干哥哥","[4]/director","机翻辅助：

没有血缘的堂兄弟

叔伯

堂表兄弟"
"[4]/memo","千世的孙子。<br>就读于岛上的学校。<br>亲近的朋友都叫她小阳。","[4]/memo","机翻辅助：

千世的孙女。<br>就读岛上的学校。<br>亲近的朋友都叫她小阳。

千世之孙。<br>在岛上上学。<br>朋友们称他为小阳。

千世之孙我在岛上的学校上学。好朋友都叫我小阳。<br><br>"
