"source","target","id","developer_comments"
"balloon#d6f5daeb57f3459e237b5dbc25cfde83","どうしてスイカは一切れ消えたんだ？","balloon#d6f5daeb57f3459e237b5dbc25cfde83","主人公"
"balloon#8a92f801037d7f5f302ad61138882dcc","自然に消えるわけ、ないよな……。","balloon#8a92f801037d7f5f302ad61138882dcc","主人公"
"balloon#95caaad0302b8f3278115e3bbd8e17f9","さあ、スイカはみんなで食べてね。","balloon#95caaad0302b8f3278115e3bbd8e17f9","千世"
"balloon#f17ea7b649dbca3f990867b8fcd38f44","[emb exp='tf.names.yohei.chiyo']、遠慮すんなって！","balloon#f17ea7b649dbca3f990867b8fcd38f44","陽平"
"balloon#39f9ea20620babd27ddd88ac8a0bd3de","樹くん、気にせず食べてね。","balloon#39f9ea20620babd27ddd88ac8a0bd3de","彩葉"
"balloon#e1ec1e82f81873d029f8554b2fddfe07","でも、気になるよ！","balloon#e1ec1e82f81873d029f8554b2fddfe07","歌葉"
"balloon#69cc173a17970548d758b84d9e3c0901","スイカはどこにいったんだろう……。","balloon#69cc173a17970548d758b84d9e3c0901","歌葉"
"balloon#3a745eef6967a7062cc1e4119863e299","たしかに、スイカがいつの間にか一切れ消えるなんて不思議ね……。","balloon#3a745eef6967a7062cc1e4119863e299","千世"
"balloon#cda9cc029980587e2e84fa857fa37267","……まるで、[font color=@3]“神隠し”[resetfont]にあったみたい。","balloon#cda9cc029980587e2e84fa857fa37267","千世"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","歌葉"
"balloon#673eb8c4cdc4281c535187682b245572","“神隠し”……？","balloon#673eb8c4cdc4281c535187682b245572","主人公"
"balloon#37f503064b49a66f25bb7bc5832a4a0e","それにしても……[l]みんなさっきから、どうも様子がおかしい。","balloon#37f503064b49a66f25bb7bc5832a4a0e","主人公"
"balloon#cdf3920369c1cfc14fc5551cf9d393a0","それぞれ気になることがあるけど、言い出せない……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]そんな雰囲気だ。","balloon#cdf3920369c1cfc14fc5551cf9d393a0","主人公"
"balloon#3a214340531d69cc0dca716bf2e62041","変ねぇ、[emb exp='tf.names.chiyo.me']のスイカが消えちゃったわ……。","balloon#3a214340531d69cc0dca716bf2e62041","千世"
"balloon#e9c4df4a01a71cb745a843b73231200e","私のスイカって、なんのこと……？","balloon#e9c4df4a01a71cb745a843b73231200e","彩葉"
"balloon#3cf1eb0e65bb8543f173cd38b068e051","うーん、絶対他にもいるよなぁ……。","balloon#3cf1eb0e65bb8543f173cd38b068e051","歌葉"
"balloon#885edce041be39d521d071681b89f94c","アレって、間違いないよなぁ……。","balloon#885edce041be39d521d071681b89f94c","陽平"
"balloon#c5636224d2e141a2a9bb703c02f17f59","スイカが一切れ消えた話は、このまま放っておかないほうがいい気がする。","balloon#c5636224d2e141a2a9bb703c02f17f59","主人公"
"balloon#a961ffc1797d80c506fd81816ab8830b","これからお世話になるみんなのためにも、[emb exp='tf.names.itsuki.me']が何とかしよう！","balloon#a961ffc1797d80c506fd81816ab8830b","主人公"
"balloon#37fa33af577a7ec656967b003601e6a3","あ、あのっ！","balloon#37fa33af577a7ec656967b003601e6a3","主人公"
"balloon#f7a80a3cbc96c8be893cc00b5d5ba0cb","わあっ！","balloon#f7a80a3cbc96c8be893cc00b5d5ba0cb","歌葉"
"balloon#a530a19c7f298e4694887b68c9f29b59","どうかしたの？","balloon#a530a19c7f298e4694887b68c9f29b59","千世"
"balloon#a22d7bad96245e86734785e2a1dd9edd","急に大きな声を出して……[l][chara_mod time=""@f1"" name=""彩葉"" face=""confused"" position=""right""]何かあったの？","balloon#a22d7bad96245e86734785e2a1dd9edd","彩葉"
"balloon#309e14a02559e75c6cf80d6fcdbf1ff3","もしかして、スイカを食べたのは自分ですって告白か？","balloon#309e14a02559e75c6cf80d6fcdbf1ff3","陽平"
"balloon#33d9dc0eb0fc9d193eda8e3738918b55","みんな元気ね、早くスイカを食べましょう。","balloon#33d9dc0eb0fc9d193eda8e3738918b55","千世"
"balloon#e2d9a69f18d7c25d735462d7e4b9f220","すぐ夕飯の時間がきちゃうわよ。","balloon#e2d9a69f18d7c25d735462d7e4b9f220","千世"
"balloon#b3c94f43c609b372f32c5a2b47211ff3","いや、ちょっと待ってほしいんだ！","balloon#b3c94f43c609b372f32c5a2b47211ff3","主人公"
"balloon#63d05d0e6aaf8d2611ee9a11b7691732","少しだけ、[emb exp='tf.names.itsuki.me']に時間をください。","balloon#63d05d0e6aaf8d2611ee9a11b7691732","主人公"
"balloon#d3421cfe10b9fd7a3d8063864e45af14","時間って……？","balloon#d3421cfe10b9fd7a3d8063864e45af14","歌葉"
"balloon#2b916a123d71685af24dc18a76597d3a","夕飯までなら、時間はあるけど……。","balloon#2b916a123d71685af24dc18a76597d3a","千世"
"balloon#193b86390a66fe7e7504dbc565f69920","何かするのかしら、[emb exp='tf.names.iroha.itsuki']？","balloon#193b86390a66fe7e7504dbc565f69920","彩葉"
"balloon#9b6b5d87cef5ab2eb05bc253e4cafec6","[emb exp='tf.names.yohei.itsuki']、言いたいことがあるなら隠しごとはなしだぜ！","balloon#9b6b5d87cef5ab2eb05bc253e4cafec6","陽平"
"balloon#61ad453aac3508f77387392fb21097fc","[font color=@3]消えたスイカ[resetfont]の件、何が起きたのかはっきりさせたいんだ！","balloon#61ad453aac3508f77387392fb21097fc","主人公"
"balloon#ed9823c261650749fdcdb2c71c30b724","だからちょっと、[emb exp='tf.names.itsuki.me']の話につきあってくれないかな？","balloon#ed9823c261650749fdcdb2c71c30b724","主人公"
"balloon#7c4b9637f5f5db50b6ec69344d3aeae8","別に、ちょっとぐらいならいいけど……","balloon#7c4b9637f5f5db50b6ec69344d3aeae8","彩葉"
"balloon#9fccc989ba39b32b5c21a9a0add88799","みんなは？","balloon#9fccc989ba39b32b5c21a9a0add88799","彩葉"
"balloon#6546732fd4d8f62504f98e8f02cb0a7c","まあ、いいけどよ。","balloon#6546732fd4d8f62504f98e8f02cb0a7c","陽平"
"balloon#b83d527fefa3dcb5546cb1fd6caaf4be","都会だとそういうのが流行ってんのか？","balloon#b83d527fefa3dcb5546cb1fd6caaf4be","陽平"
"balloon#c0b134dc18651305811891e3683150b6","面白そう、つきあうよ！","balloon#c0b134dc18651305811891e3683150b6","歌葉"
"balloon#aaa414d64a377d3f452a252d317a5488","都会の遊び、教えてほしいな。","balloon#aaa414d64a377d3f452a252d317a5488","歌葉"
"balloon#ffdefdafdb37f81186a22490311aabd0","そうねえ……[l][chara_mod time=""@f1"" name=""千世"" face=""normal"" position=""right""]夕飯の支度を始めるまでよ。","balloon#ffdefdafdb37f81186a22490311aabd0","千世"
"balloon#4128d9fefbb9567fa7de0d47997b493d","みんな、ありがとう！","balloon#4128d9fefbb9567fa7de0d47997b493d","主人公"
"balloon#ab43e28d48a9b30075e06e8270b7da23","[font color=@3]消えたスイカ[resetfont]の件は、[emb exp='tf.names.itsuki.me']に任せて！","balloon#ab43e28d48a9b30075e06e8270b7da23","主人公"
"balloon#30e72ed4f31a1de9dc89e048a242c824","よし、まずは何が起きたのか整理することから始めよう。","balloon#30e72ed4f31a1de9dc89e048a242c824","主人公"
"balloon#f22c26ea47880ad5b8f8bafed72100af","こんなときのために、[font color=@3]ノート[resetfont]を持ち歩いておいて正解だったな。","balloon#f22c26ea47880ad5b8f8bafed72100af","主人公"
