"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#d834127d66037718d59ec9acc8a213f2","なるほど、その推理なら[font color=@3]納得できる[resetfont]わ！","balloon#d834127d66037718d59ec9acc8a213f2","NPC"
"balloon#9f92309045b4fdfd90c977f09826abb0","たしかに[font color=@3]犯行時刻にアリバイのある、この４人に犯行は不可能[resetfont]ね。","balloon#9f92309045b4fdfd90c977f09826abb0","NPC"
"balloon#a50428f9f81fd8ad952028e0a849776a","はい、[emb exp='tf.names.itsuki_p.me']もそう思います。","balloon#a50428f9f81fd8ad952028e0a849776a","主人公"
"balloon#03dcce4e830ee067aa0a7a7797dec9da","っていうことは、つまり……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]でもなんで……。","balloon#03dcce4e830ee067aa0a7a7797dec9da","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","主人公"
"balloon#e2d57dc6f0a4bd8089af75baeafa4f81","[emb exp='tf.names.NPC.itsuki']。[l]あらためて、疑問に答えてくれてありがとうね。","balloon#e2d57dc6f0a4bd8089af75baeafa4f81","NPC"
"balloon#559503c2d90fd297ae01415054eb0388","それ本当かしら？","balloon#559503c2d90fd297ae01415054eb0388","NPC"
"balloon#fcda918aac94459ff4e502829b011f99","その推理は、[font color=@3]ちょっと違う[resetfont]気がするわ……。","balloon#fcda918aac94459ff4e502829b011f99","NPC"
"balloon#76c739f4c5c35d0d2565f5ae4cc0f6b2","その推理は、[font color=@3]まったく違う[resetfont]と思うわ……。","balloon#76c739f4c5c35d0d2565f5ae4cc0f6b2","NPC"
"balloon#1e1cf5cccd0db3c354cfe8155bc07842","[emb exp='tf.names.itsuki_p.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1e1cf5cccd0db3c354cfe8155bc07842","主人公"
"balloon#414b5ffd9331e11408d9bf24c52ddb3f","いいえ、気にしないで。","balloon#414b5ffd9331e11408d9bf24c52ddb3f","NPC"
"balloon#36b940ffbd341506db4992c2848464ad","この件なんだけど、[emb exp='tf.names.NPC.me']ね……","balloon#36b940ffbd341506db4992c2848464ad","NPC"
"balloon#15431e508097f845f3836d42380d8168","[font color=@3]犯行時刻がいつだったのか[resetfont]が鍵を握っている気がするわ。","balloon#15431e508097f845f3836d42380d8168","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#e7ec5b732fbd3402fdd5e1d9a47beb9f","[font color=@3]収れん火災が仕掛けられた時間[resetfont]の、全員のアリバイをもう一度推理してみよう。","balloon#e7ec5b732fbd3402fdd5e1d9a47beb9f","主人公"
"speaker_主人公","主人公","speaker_主人公",""
