"source","target","id","developer_comments"
"balloon#c5c681cca69d0f179a151a3a03eaa9a5","あれ、ちょっと待てよ……","balloon#c5c681cca69d0f179a151a3a03eaa9a5","主人公"
"balloon#b2046ff5f825c4038086304cf1458438","[emb exp='tf.names.itsuki.kageyama']が、船から降りてきた時間って……","balloon#b2046ff5f825c4038086304cf1458438","主人公"
"balloon#78b1d1ae7eda9dc7b75619178d492056","なんで、その時間なんだ……？","balloon#78b1d1ae7eda9dc7b75619178d492056","主人公"
"balloon#8c4fd765962139b60bc2ec7b715141ce","本来その時間に、船から降りてくるはずだったのは……","balloon#8c4fd765962139b60bc2ec7b715141ce","主人公"
"balloon#616abb3ef1217ce079a61ae040d26c92","でも、乗客は1人しかいなかったということは……","balloon#616abb3ef1217ce079a61ae040d26c92","主人公"
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","主人公"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","主人公"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","主人公"
"balloon#3bdf75d3d9e5b00bd60901aea1663aeb","どうやら、これで疑わしい人物がわかったかもしれない。","balloon#3bdf75d3d9e5b00bd60901aea1663aeb","主人公"
"balloon#f639ec7ff15ea99d9bda073ffc868415","けど、[emb exp='tf.names.itsuki.me']が伝えることになるのは……","balloon#f639ec7ff15ea99d9bda073ffc868415","主人公"
"balloon#c6fd7c98b04b52cbe5fcc13894982b45","それでも、やるしかない。","balloon#c6fd7c98b04b52cbe5fcc13894982b45","主人公"
"balloon#5c4e8f1cb1df14ee5aca2d2d63969885","推理ノートを開いて[font color=@3][emb exp='tf.names.itsuki.jin']の疑問の答えを推理[resetfont]しよう……！","balloon#5c4e8f1cb1df14ee5aca2d2d63969885","主人公"
"speaker_主人公","主人公","speaker_主人公",""
