"source","target","id","developer_comments"
"text#d4f5f3c692f2198c89275ca2cbde143c","最初に樹が『何が起きたのかはっきりさせたいんだ！』なんて言い出した時は、漫画の読みすぎだろって思ったんだけどよ……","text#d4f5f3c692f2198c89275ca2cbde143c","sakura_youhei"
"text#613b5f02480aa6c39bba2524484db11d","本当に解決する自信があったんだな。","text#613b5f02480aa6c39bba2524484db11d","陽平"
"text#9d010e6bea743d36eabee64399e88614","頼りにしてるぜ、名探偵！","text#9d010e6bea743d36eabee64399e88614","陽平"
"text#6cc6cee1d4adf1d7d71a6ba837594d29","からかわないでよ、陽ちゃん。","text#6cc6cee1d4adf1d7d71a6ba837594d29","amazawa_itsuki"
"text#d72fd35643c384e236f1e8846add159b","ははっ……早く解決して、みんなでスイカを食べようぜ。","text#d72fd35643c384e236f1e8846add159b","陽平"
"text#56dad062f4db1f5a5c22585f7454298d","実は俺も、スイカが好物なんだ……[l][chara_mod name=""陽平"" face=""sad"" time=""100""]父ちゃん譲りでな。","text#56dad062f4db1f5a5c22585f7454298d","陽平"
"text#e63fc737a250cc738436695b9cb33b05","そうなんだ。","text#e63fc737a250cc738436695b9cb33b05","amazawa_itsuki"
"text#0e9901651022bfdf2ddc74519b7c2d10","陽ちゃんのお父さんは、どんな人なの？","text#0e9901651022bfdf2ddc74519b7c2d10","amazawa_itsuki"
"text#d05d02e444907b425eff9368046aabda","俺の父ちゃんか？","text#d05d02e444907b425eff9368046aabda","陽平"
"text#a3cdf2086b1c3be93ad5918e46013f6a","そうだな、スイカが大好物だったのと……[l][chara_mod name=""陽平"" face=""laugh"" time=""100""]世界で一番かっけぇってことくらいかな。","text#a3cdf2086b1c3be93ad5918e46013f6a","陽平"
"text#db316e725fb51c31646e99ba0bc25d25","そんなことより、早く推理ごっこの続きに戻ろうぜ、名探偵さんよ！","text#db316e725fb51c31646e99ba0bc25d25","陽平"
"text#2d2083acbbb3e4c5586f501590bb7419","あんまりからかわないでよ！","text#2d2083acbbb3e4c5586f501590bb7419","amazawa_itsuki"
"speaker_陽平","陽平","speaker_陽平",""
