"source","target","id","developer_comments"
"balloon#c36d9d77984e673edd3305ba0d465380","现在时间还早，她应该还在睡吧。","balloon#c36d9d77984e673edd3305ba0d465380","机翻辅助：

现在时间还早，她应该还在睡吧。

又是早上，那个时间还在睡觉吧。

因为是早上，那个时间应该还在睡觉吧。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#72d33c7e4f1fd98d5748f782c6cdbb36","看来[emb exp='tf.names.itsuki.NPC']完全不知道夜行渡轮的状况。","balloon#72d33c7e4f1fd98d5748f782c6cdbb36","机翻辅助：

看来[emb exp='tf.names.itsuki.NPC']完全不知道夜行渡轮的状况。

[emb exp='tf.names.itsuki.NPC']似乎完全不了解夜行渡轮的状况。

[emb exp='tf.names.itsuki.NPC']似乎完全不了解夜行渡轮的情况。"
"balloon#d08870b7493a26cce908ae54a6ac9a93","[emb exp='tf.names.NPC.me']不知道早上码头的事情。","balloon#d08870b7493a26cce908ae54a6ac9a93","机翻辅助：

[emb exp='tf.names.NPC.me']不知道早上码头的事情。

早上码头的事，[emb exp='tf.names.NPC.me']不知道。

[emb exp='tf.names.NPC.me']不知道早上的码头。"
"balloon#46e16c4e3e2c0329058188602826a8bf","不过说到码头，昨天骚动结束后，我回家时有经过码头附近。","balloon#46e16c4e3e2c0329058188602826a8bf","机翻辅助：

不过说到码头，昨天骚动结束后，我回家时有经过码头附近。

只是说到码头，昨天骚动回来的时候路过那附近。

只是说到码头，昨天闹完风波回来的时候，我正好路过那附近。"
"balloon#5731e151f804d9eb818a2390a6fa7e42","当时我远远地看到……","balloon#5731e151f804d9eb818a2390a6fa7e42","机翻辅助：

当时我远远地看到……

那时，我远远地看见了……

那个时候，看起来很远……"
"balloon#a56492e9c30b2f414549a97fbd1db7cf","[font color=@3][resetfont]左右，有一名身穿茶色西装的人物[font color=@3]从联络船上走了下来。[resetfont]","balloon#a56492e9c30b2f414549a97fbd1db7cf","机翻辅助：

[font color=@3][resetfont]左右，有一名身穿茶色西装的人物[font color=@3]从联络船上走了下来。[resetfont]

[font color=@3]19:20左右，从联络船上只下了一个茶色西装的人。[resetfont][font color=@3][resetfont]

[font color=@3]19:20左右，从联络船上下来一个穿着茶色西装的人。[resetfont][font color=@3][resetfont]"
"balloon#744fae27ea15b77e8b1111415398b29d","因为距离很远，而且对方把帽子压得很低，所以没看到长相。","balloon#744fae27ea15b77e8b1111415398b29d","机翻辅助：

因为距离很远，而且对方把帽子压得很低，所以没看到长相。

因为从远处看，眼睛很深地戴着帽子，所以看不到脸。

因为离得远，帽子戴得深，所以看不见脸。"
"balloon#b372679d0e19ecfbe1c1817d7e33e61b","[font color=@3]穿着茶色西装的人[resetfont]在那个时间的航班上只下了一个人吗？","balloon#b372679d0e19ecfbe1c1817d7e33e61b","机翻辅助：

[font color=@3]穿着茶色西装的人[resetfont]在那个时间的航班上只下了一个人吗？

[font color=@3][resetfont]身穿茶色西装的人物从那个时间的船班走了下来吗？

[font color=@3]穿着茶色西装的人，从那个时间的航班上只下了一个人吗。[resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
