"source","target","id","developer_comments"
"balloon#8b27199f00a4663a526e918555cc385f","在[emb exp='tf.names.NPC.me']稍微移开视线的空档，就发生了这样的事情……","balloon#8b27199f00a4663a526e918555cc385f","机翻辅助：

在[emb exp='tf.names.NPC.me']稍微移开视线的空档，就发生了这样的事情……

在[emb exp='tf.names.NPC.me']稍微离开眼睛的间隙，就变成这样了……

就在[emb exp='tf.names.NPC.me']稍微移开视线的间隙，变成了这样……"
"balloon#9238b25bf56a5844f08800dc12ff59c4","[emb exp='tf.names.itsuki_p.NPC']……","balloon#9238b25bf56a5844f08800dc12ff59c4","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']……"
"balloon#10c6a29ed4fd0bd6896d197e6b649ae1","不行不行，[emb exp='tf.names.NPC.me']得振作起来……！","balloon#10c6a29ed4fd0bd6896d197e6b649ae1","机翻辅助：

不行不行，[emb exp='tf.names.NPC.me']得振作起来……！

不行不行不行，[emb exp='tf.names.NPC.me']必须好好做……！"
"balloon#2a473d13d007d1aa22e94af2a2b067d6","[emb exp='tf.names.NPC.me']要把我知道的事情说出来，也希望[emb exp='tf.names.NPC.itsuki']听我说。","balloon#2a473d13d007d1aa22e94af2a2b067d6","机翻辅助：

[emb exp='tf.names.NPC.me']要把我知道的事情说出来，也希望[emb exp='tf.names.NPC.itsuki']听我说。

因为[emb exp='tf.names.NPC.me']要说我知道的事情，所以我想让[emb exp='tf.names.NPC.itsuki']也听听。

[emb exp='tf.names.NPC.me']把我知道的说出来，希望[emb exp='tf.names.NPC.itsuki']也能听听。"
"balloon#f86f329f0c43015f816afdc481f7c96e","好的，有什么事呢？","balloon#f86f329f0c43015f816afdc481f7c96e","机翻辅助：

好的，有什么事呢？

是的，什么事？

是，什么事？"
"balloon#6267e8943a07e2bed9f9d5a7cf5dfc6c","这是[emb exp='tf.names.NPC.me']最后一次看到[emb exp='tf.names.NPC.utaha']的时候的事。","balloon#6267e8943a07e2bed9f9d5a7cf5dfc6c","机翻辅助：

这是[emb exp='tf.names.NPC.me']最后一次看到[emb exp='tf.names.NPC.utaha']的时候的事。

那是[emb exp='tf.names.NPC.me']最后一次看到[emb exp='tf.names.NPC.utaha']的时候。

[emb exp='tf.names.NPC.me']来说说，我最后一次看到[emb exp='tf.names.NPC.utaha']的时候的事情。"
"balloon#9e06d47c841484cd105029ffcc96e4fa","刚才也说过了，[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.utaha']他们正在玩捉迷藏。","balloon#9e06d47c841484cd105029ffcc96e4fa","机翻辅助：

刚才也说过了，[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.utaha']他们正在玩捉迷藏。

刚才也说过了，[emb exp='tf.names.NPC.me']在和[emb exp='tf.names.NPC.utaha']他们玩捉迷藏。

刚才[emb exp='tf.names.NPC.me']也说过了，我和[emb exp='tf.names.NPC.utaha']他们在玩捉迷藏。"
"balloon#1dc9a05761429b23058c99a49415c4fb","[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.utaha']一起寻找藏身之处。","balloon#1dc9a05761429b23058c99a49415c4fb","机翻辅助：

[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.utaha']一起寻找藏身之处。

[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.utaha']正在一起寻找藏身之处。

[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.utaha']在一起寻找藏身之处。"
"balloon#adb102c202224c81ac2b32a2444dcce3","在操场的深处，有一处[font color=@3]围栏[resetfont]。","balloon#adb102c202224c81ac2b32a2444dcce3","机翻辅助：

在操场的深处，有一处[font color=@3]围栏[resetfont]。

在校园的深处有一处[font color=@3]栅栏[resetfont]……

校园深处有一处围栏……[font color=@3][resetfont]"
"balloon#259469d54c9b87f6c0c15faf97503c80","[font color=@3][emb exp='tf.names.NPC.utaha'][resetfont]躲在附近的阴影处。[l][chara_mod time=""@f1"" name=""NPC"" face=""worry""]我记得[font color=@3]是[resetfont]14:57的时候。","balloon#259469d54c9b87f6c0c15faf97503c80","机翻辅助：

[font color=@3][emb exp='tf.names.NPC.utaha'][resetfont]躲在附近的阴影处。[l][chara_mod time=""@f1"" name=""NPC"" face=""worry""]我记得[font color=@3]是[resetfont]14:57的时候。

[emb exp='tf.names.NPC.utaha']就躲在附近的暗处。我记得是[font color=@3]14:57[resetfont]。[l][chara_mod time=""@f1"" name=""NPC"" face=""worry""][font color=@3][resetfont]

[emb exp='tf.names.NPC.utaha']就藏在附近的隐蔽处。[font color=@3]确实是14:57。[resetfont][l][chara_mod time=""@f1"" name=""NPC"" face=""worry""][font color=@3][resetfont]"
