"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。","balloon#583f7be9a9169decbdeb5973474da03f","机翻辅助：

我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。

传达了对[emb exp='f.npc_sysname']的疑问“[emb exp='f.doubt.title']”的回答的推理。"
"balloon#c78e8ab4fc77e08edabeddc172f23b6e","不错耶，这个推理[font color=@3]可以接受[resetfont]！","balloon#c78e8ab4fc77e08edabeddc172f23b6e","机翻辅助：

不错耶，这个推理[font color=@3]可以接受[resetfont]！

好啊，这个推理的话[font color=@3]能接受[resetfont]哟！

好啊，如果是那个推理[font color=@3]能理解[resetfont]哟！"
"balloon#8660e6b1f7e53dbb61ae0ea33bffb354","[emb exp='tf.names.NPC.utaha']不见的时间是[chara_mod time=""@f1"" name=""NPC"" face=""earnest""]15:03到15:12之间……","balloon#8660e6b1f7e53dbb61ae0ea33bffb354","机翻辅助：

[emb exp='tf.names.NPC.utaha']不见的时间是[chara_mod time=""@f1"" name=""NPC"" face=""earnest""]15:03到15:12之间……

[emb exp='tf.names.NPC.utaha']不见了[chara_mod time=""@f1"" name=""NPC"" face=""earnest""]15:03到15:12之间……"
"balloon#ae833df37dc749603c923b0972b39e2e","离开学校的人，只有一个。","balloon#ae833df37dc749603c923b0972b39e2e","机翻辅助：

离开学校的人，只有一个。

校外的人物只有一个。

校外的人只有一个。"
"balloon#ed964ebff8f08b8e1bae299cec58ee8b","那就是在那之前从校门出去的……","balloon#ed964ebff8f08b8e1bae299cec58ee8b","机翻辅助：

那就是在那之前从校门出去的……

那是，之前从校门出去的……

那是之前从校门出去的……"
"balloon#b812a54646ac8c6e84489925afab783c","[font color=@3]好像只有[resetfont][emb exp='tf.names.NPC.mashima']。","balloon#b812a54646ac8c6e84489925afab783c","机翻辅助：

[font color=@3]好像只有[resetfont][emb exp='tf.names.NPC.mashima']。

[font color=@3]好像只有[emb exp='tf.names.NPC.mashima'][resetfont]。

[font color=@3]好像只有[emb exp='tf.names.NPC.mashima']。[resetfont]"
"balloon#90c241e22923bfe488c92258519baea3","没错，[font color=@3]从15:03到15:12之间，只有[emb exp='tf.names.itsuki_p.mashima']在校外[resetfont]。","balloon#90c241e22923bfe488c92258519baea3","机翻辅助：

没错，[font color=@3]从15:03到15:12之间，只有[emb exp='tf.names.itsuki_p.mashima']在校外[resetfont]。

没错，从15:03到15:12之间，只有[emb exp='tf.names.itsuki_p.mashima']在校外。[font color=@3][resetfont]

对，从15:03到15:12，只有[emb exp='tf.names.itsuki_p.mashima']在校外。[font color=@3][resetfont]"
"balloon#8a8029c66444a33dc0225e5964f2b7f3","为什么[emb exp='tf.names.NPC.mashima']会……？","balloon#8a8029c66444a33dc0225e5964f2b7f3","机翻辅助：

为什么[emb exp='tf.names.NPC.mashima']会……？

为什么，[emb exp='tf.names.NPC.mashima']……？

为什么[emb exp='tf.names.NPC.mashima']……？"
"balloon#041ab29b65b906edb1a113b1c00b308a","不过，这似乎是无庸置疑的事实。","balloon#041ab29b65b906edb1a113b1c00b308a","机翻辅助：

不过，这似乎是无庸置疑的事实。

但是，这似乎是毫无疑问的事实。

但这似乎是不争的事实。"
"balloon#0acf05cc12441976d01a982411baa420","光靠[emb exp='tf.names.NPC.me']一个人，是无法得出这个结论的……","balloon#0acf05cc12441976d01a982411baa420","机翻辅助：

光靠[emb exp='tf.names.NPC.me']一个人，是无法得出这个结论的……

如果只有[emb exp='tf.names.NPC.me']一个人的话，不可能得出这样的结论……

只有[emb exp='tf.names.NPC.me']一个人是无法得出这样的结论的……"
