"source","target","id","developer_comments"
"[0]/title","千世の検死結果","[0]/title","chara_id: kusakabe"
"[0]/desc","*日下部は千世の検死結果を次のように証言した。<font color='@1'>[@sl_c]死亡推定時刻は22:30から23:00の間[/@sl_c]</font>。急所をひと突きにされている。抵抗した形跡がまったくない。","[0]/desc","chara_id: kusakabe"
"[1]/title","引きずられたような跡","[1]/title","chara_id: yuuki"
"[1]/desc","*結城は彩葉の遺体の足元に<font color='@1'>[@sl_b]引きずられたような跡[/@sl_b]</font>を発見した。警察も確認したこの物証は確かなものだ。","[1]/desc","chara_id: yuuki"
"[2]/title","千世の湯呑から検出された睡眠薬","[2]/title","chara_id: makino"
"[2]/desc","*牧野は千世の湯呑の飲み残しから<font color='@1'>[@sl_b]睡眠薬が検出された[/@sl_b]</font>と、証言した。警察も確認したこの物証は確かなものだ。","[2]/desc","chara_id: makino"
"[3]/title","連絡船から降りてきた人物","[3]/title","chara_id: kusakabe"
"[3]/desc","日下部は連絡船から降りてきた唯一の乗客である、帽子を目深に被って<font color='@1'>[@sl_c]茶色いスーツを着た人物を目撃[/@sl_c]</font>したと、証言した。","[3]/desc","chara_id: kusakabe"
"[4]/title","カレーから検出された睡眠薬","[4]/title","chara_id: makino"
"[4]/desc","*牧野は台所のカレーから<font color='@1'>[@sl_b]睡眠薬が検出[/@sl_b]</font>されたと、証言した。警察も確認したこの物証は確かなものだ。","[4]/desc","chara_id: makino"
"[5]/title","樹が洗ったカレー皿","[5]/title","chara_id: jin"
"[5]/desc","仁は台所で水切りかごに置かれた<font color='@1'>[@sl_b]カレー皿[/@sl_b]</font>を発見した。樹も確認したこの物証は確かなものだ。","[5]/desc","chara_id: jin"
"[6]/title","記憶がはっきりしない樹","[6]/title","chara_id: makino"
"[6]/desc","*20:45から7:10まで。牧野は樹がはっきりしない記憶として<font color='@1'>[@sl_c]押入れの中で急に寝てしまい、目が覚めたら居間にいて、千世が死んでいた[/@sl_c]</font>と語ったと、証言した。","[6]/desc","chara_id: makino"
"[7]/title","影山とつながりがある仁","[7]/title","chara_id: itsuki"
"[7]/desc","*樹は乗る船を交換していた仁と影山には、今回の事件に関して裏で何らかの<font color='@1'>[@sl_c]つながりがある[/@sl_c]</font>はずだと、証言した。","[7]/desc","chara_id: itsuki"
"[8]/title","千世を刺した凶器","[8]/title","chara_id: jin"
"[8]/desc","仁は樹が<font color='@1'>[@sl_b]千世を刺すのに使ったと思われる包丁[/@sl_b]</font>を発見した。警察も確認したこの物証は確かなものだ。","[8]/desc","chara_id: jin"
"[9]/title","本土で盗まれたスーツ","[9]/title","chara_id: kageyama"
"[9]/desc","*影山は山小屋で発見された自身のスーツは<font color='@1'>[@sl_c]本土の船着場で盗まれたもの[/@sl_c]</font>だと、証言した。","[9]/desc","chara_id: kageyama"
"[10]/title","夜行フェリーに乗っていた仁","[10]/title","chara_id: jin"
"[10]/desc","*<font color='@1'>[@sl_a]21:30から6:20まで[/@sl_a]</font>。仁は本土から式音島へ渡る夜行フェリーに乗っていた。乗船券が示すこのアリバイは確かなものだ。","[10]/desc","chara_id: jin"
"[11]/title","連絡船から降りてきた結城","[11]/title","chara_id: makino"
"[11]/desc","牧野は連絡船から降りてきた唯一の乗客である<font color='@1'>[@sl_c]結城を目撃[/@sl_c]</font>したと、証言した。","[11]/desc","chara_id: makino"
"[12]/title","写真館に入った人物","[12]/title","chara_id: yuuki"
"[12]/desc","結城は帽子を目深に被って<font color='@1'>[@sl_c]茶色いスーツを着た人物が写真館に入るのを目撃[/@sl_c]</font>したと、証言した。","[12]/desc","chara_id: yuuki"
"[13]/title","写真館へ向かった彩葉","[13]/title","chara_id: kusakabe"
"[13]/desc","日下部は<font color='@1'>[@sl_c]写真館に向かう彩葉を目撃[/@sl_c]</font>したと、証言した。","[13]/desc","chara_id: kusakabe"
"[14]/title","彩葉の検死結果","[14]/title","chara_id: kusakabe"
"[14]/desc","*日下部は彩葉の検死結果を次のように証言した。<font color='@1'>[@sl_c]死亡推定時刻は21:00から21:30の間[/@sl_c]</font>。首には両手で締められた跡。抵抗した形跡がある。","[14]/desc","chara_id: kusakabe"
"[15]/title","連絡船に乗っていた結城","[15]/title","chara_id: yuuki"
"[15]/desc","*<font color='@1'>[@sl_a]16:00から18:20まで[/@sl_a]</font>。結城は本土から式音島へ渡る連絡船に乗っていた。乗船券が示すこのアリバイは確かなものだ。","[15]/desc","chara_id: yuuki"
"[16]/title","同一犯による犯行","[16]/title","chara_id: itsuki"
"[16]/desc","*樹は写真館で彩葉を殺した犯人が千世の殺害にも関わった<font color='@1'>[@sl_c]同一犯による犯行[/@sl_c]</font>だと、証言した。","[16]/desc","chara_id: itsuki"
"[17]/title","写真館で殺害された彩葉","[17]/title","chara_id: kusakabe"
"[17]/desc","*21:10から21:30まで。日下部は彩葉が山小屋ではなく<font color='@1'>[@sl_c]写真館で殺された[/@sl_c]</font>と、証言した。","[17]/desc","chara_id: kusakabe"
"[18]/title","写真館への迎えを拒んだ彩葉","[18]/title","chara_id: yuuki"
"[18]/desc","結城は歌葉から、<font color='@1'>[@sl_c]写真館へ迎えに行く提案を、彩葉からメールで強く拒まれた[/@sl_c]</font>と聞いたと、証言した。","[18]/desc","chara_id: yuuki"
"[19]/title","夜行フェリーから降りてきた影山","[19]/title","chara_id: makino"
"[19]/desc","牧野は夜行フェリーから降りてきた唯一の乗客である<font color='@1'>[@sl_c]影山を目撃[/@sl_c]</font>し、このとき影山は茶色いスーツは着ていなかったと、証言した。","[19]/desc","chara_id: makino"
"[20]/title","ボタンを握りしめていた彩葉","[20]/title","chara_id: makino"
"[20]/desc","*牧野は彩葉の<font color='@1'>[@sl_b]遺体が握りしめていたボタン[/@sl_b]</font>を発見した。警察も確認したこの物証は確かなものだ。","[20]/desc","chara_id: makino"
"[21]/title","ボタンがとれた茶色いスーツ","[21]/title","chara_id: kusakabe"
"[21]/desc","*日下部は山小屋の隅で脱ぎ捨てられた<font color='@1'>[@sl_b]ボタンがとれ、血に染まった茶色いスーツを発見[/@sl_b]</font>した。警察も確認したこの物証は確かなものだ。","[21]/desc","chara_id: kusakabe"
"[22]/title","茶色いスーツを着ていた影山","[22]/title","chara_id: yuuki"
"[22]/desc","結城は本土で別れる直前の影山が、山小屋で発見されたものと<font color='@1'>[@sl_c]同じ茶色いスーツを着ていた[/@sl_c]</font>と、証言した。","[22]/desc","chara_id: yuuki"
"[23]/title","彩葉が握っていた影山のボタン","[23]/title","chara_id: makino"
"[23]/desc","*牧野は彩葉の遺体が握っていたボタンは<font color='@1'>[@sl_c]影山と同じ茶色いスーツのものだ[/@sl_c]</font>と、証言した。","[23]/desc","chara_id: makino"
"[24]/title","連絡船に乗っていた影山","[24]/title","chara_id: kageyama"
"[24]/desc","*<font color='@1'>[@sl_a]17:00から19:20まで[/@sl_a]</font>。影山は本土から式音島へ渡る連絡船に乗っていた。乗船券が示すこのアリバイは確かなものだ。","[24]/desc","chara_id: kageyama"
"[25]/title","真島と面識がある仁","[25]/title","chara_id: makino"
"[25]/desc","*牧野は仁が<font color='@1'>[@sl_c]真島と面識がある様子だった[/@sl_c]</font>と、証言した。","[25]/desc","chara_id: makino"
"[26]/title","裏山の土地を所有する神代家","[26]/title","chara_id: makino"
"[26]/desc","*牧野は神代家が<font color='@1'>[@sl_c]裏山一帯の土地を所有する[/@sl_c]</font>島の有力者だと、証言した。","[26]/desc","chara_id: makino"
"[27]/title","裏山の抜け道に詳しい仁","[27]/title","chara_id: makino"
"[27]/desc","*牧野は仁が島民も知らない<font color='@1'>[@sl_c]裏山の抜け道[/@sl_c]</font>を案内してくれたと、証言した。","[27]/desc","chara_id: makino"
"[28]/title","昔とは別人のような仁","[28]/title","chara_id: yuuki"
"[28]/desc","*結城は今日会った仁が、昔会ったときとは<font color='@1'>[@sl_c]別人のように雰囲気が違っていた[/@sl_c]</font>と、証言した。","[28]/desc","chara_id: yuuki"
"[29]/title","仁を見かけた島民はいなかった","[29]/title","chara_id: yuuki"
"[29]/desc","*結城は久美子と結婚する以前の仁を<font color='@1'>[@sl_c]島で見かけた島民はいない[/@sl_c]</font>と、証言した。","[29]/desc","chara_id: yuuki"
"[30]/title","神代家の使用人だった影山","[30]/title","chara_id: yuuki"
"[30]/desc","*結城は影山から<font color='@1'>[@sl_c]『教師になる前は神代家で使用人をしていた』[/@sl_c]</font>という話を聞いたと、証言した。","[30]/desc","chara_id: yuuki"
"[31]/title","仁とのつながりを否定した影山","[31]/title","chara_id: kageyama"
"[31]/desc","*影山は仁との関係について<font color='@1'>[@sl_c]『身分が違うから、つながりがあるわけがない』[/@sl_c]</font>と、証言した。","[31]/desc","chara_id: kageyama"
"[32]/title","昔から変わらない仁","[32]/title","chara_id: kageyama"
"[32]/desc","*影山は仁を昔から知っているが<font color='@1'>[@sl_c]長い間特に変わりはない[/@sl_c]</font>と、証言した。","[32]/desc","chara_id: kageyama"
"[33]/title","仁の昔の職業を知る影山","[33]/title","chara_id: kageyama"
"[33]/desc","*影山は<font color='@1'>[@sl_c]『仁の昔の職業を考えれば当然だ』[/@sl_c]</font>と、証言した。","[33]/desc","chara_id: kageyama"
"[34]/title","式音島の診療所に詳しい仁","[34]/title","chara_id: kusakabe"
"[34]/desc","*日下部は仁が妙に<font color='@1'>[@sl_c]式音島の診療所内に詳しかった[/@sl_c]</font>と、証言した。","[34]/desc","chara_id: kusakabe"
"[35]/title","“神隠し”の調査状況を知りたがる仁","[35]/title","chara_id: kusakabe"
"[35]/desc","*日下部は仁が“式音島の神隠し”に関して<font color='@1'>[@sl_c]『どこまで調べがついているのか？』[/@sl_c]</font>と聞いてきたと、証言した。","[35]/desc","chara_id: kusakabe"
"[36]/title","整形手術の跡がある仁","[36]/title","chara_id: kusakabe"
"[36]/desc","*日下部は仁には<font color='@1'>[@sl_c]整形手術を受けたような跡がある[/@sl_c]</font>と、証言した。","[36]/desc","chara_id: kusakabe"
