"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#a25535721f20c6b7b2529ae06188354f","うん、その推理なら[font color=@3]納得できる[resetfont]ね！","balloon#a25535721f20c6b7b2529ae06188354f","NPC"
"balloon#e6f394b06df509663e34eb88fcd1ba30","つまり、こう考えるのが自然ということだ……。","balloon#e6f394b06df509663e34eb88fcd1ba30","NPC"
"balloon#6ebe250dc68c069af4a0f2f9d8bfd058","台所に置かれていた、今日納品されたばかりのメモ帳を使える人間は限られていた。","balloon#6ebe250dc68c069af4a0f2f9d8bfd058","NPC"
"balloon#d8c8abc361db553ea9098248bc0b4701","そこに絵の具で“神隠しの印”を描くことができたのは……","balloon#d8c8abc361db553ea9098248bc0b4701","NPC"
"balloon#5e95601e0b400dcc6c460e831036a15c","そのタイミングで台所に絵の具を持ち運び、その後台所にいた人物のみ。","balloon#5e95601e0b400dcc6c460e831036a15c","NPC"
"balloon#b02b32d0ac2b208397c4bbeea1e98393","つまり[font color=@3][emb exp='tf.names.NPC.chiyo']が“神隠しの印”を描いた[resetfont]ということだね。","balloon#b02b32d0ac2b208397c4bbeea1e98393","NPC"
"balloon#a829efe949324ead9c35b5d2ea451093","[emb exp='tf.names.NPC.chiyo']が、絵の具を台所に持ち込んだのが[font color=@3]13:30[resetfont]。","balloon#a829efe949324ead9c35b5d2ea451093","NPC"
"balloon#4245c63e388701f91c23fce57a4fb098","[emb exp='tf.names.NPC.me']が、玄関前で“神隠しの印”を見つけたのが[font color=@3]13:49[resetfont]。","balloon#4245c63e388701f91c23fce57a4fb098","NPC"
"balloon#9a432357179ae59e8755e4f0356b6400","[emb exp='tf.names.NPC.chiyo']が“神隠しの印”を描いたのは、その間のどこかで……","balloon#9a432357179ae59e8755e4f0356b6400","NPC"
"balloon#92311d7dad4f2013a560e2d07b70229f","ということになるだろう。","balloon#92311d7dad4f2013a560e2d07b70229f","NPC"
"balloon#74dbe81cdd5ff00af10ed746b890344d","[emb exp='tf.names.itsuki.chiyo']が[font color=@3]台所で“神隠しの印”を描いた[resetfont]のは、間違いなさそうだ。","balloon#74dbe81cdd5ff00af10ed746b890344d","主人公"
"balloon#0da7e6cc5cbfdff666d409beb27560b5","また君に、助けられてしまったね。","balloon#0da7e6cc5cbfdff666d409beb27560b5","NPC"
"balloon#205e5fb413ccb885ddcc0a9054a3cecd","いえ、[emb exp='tf.names.itsuki.NPC']のお役に立ててよかったです！","balloon#205e5fb413ccb885ddcc0a9054a3cecd","主人公"
"balloon#ee51e5ff20ab90e2bd1cfc6e9f155709","ありがとう、[emb exp='tf.names.NPC.itsuki']。","balloon#ee51e5ff20ab90e2bd1cfc6e9f155709","NPC"
"balloon#d58c7c6c996c6cb8ab59a2344dad8584","本当かな？","balloon#d58c7c6c996c6cb8ab59a2344dad8584","NPC"
"balloon#e9b41da125df6a5b51b1e39a5b18ff47","その推理は[font color=@3]ちょっと違う[resetfont]と思うけどね。","balloon#e9b41da125df6a5b51b1e39a5b18ff47","NPC"
"balloon#dbd2778583eec3cabce2a61512ea644c","その推理は、[font color=@3]まったく違う[resetfont]と思うけどね……。","balloon#dbd2778583eec3cabce2a61512ea644c","NPC"
"balloon#1162df6be30ff696daa2cb8d869996ba","[emb exp='tf.names.itsuki.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1162df6be30ff696daa2cb8d869996ba","主人公"
"balloon#8c233eb09a259b8fa74e213bcfa7f5cb","いやいや、難しいことを聞いてすまないね。","balloon#8c233eb09a259b8fa74e213bcfa7f5cb","NPC"
"balloon#a05153a037d41ec1870c62521bd4c798","この件だけどね……","balloon#a05153a037d41ec1870c62521bd4c798","NPC"
"balloon#2db6937152c0e1badba917e3e82a5ca9","[font color=@3]“神隠しの印”がどこで描かれたか[resetfont]を、明らかにする必要がありそうだ。","balloon#2db6937152c0e1badba917e3e82a5ca9","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#636bfb9f8c6c4b0a83f4b75f332dcfea","[font color=@3]“神隠しの印”が描かれた場所の情報[resetfont]がないか、もう一度手がかりを見直してみよう。","balloon#636bfb9f8c6c4b0a83f4b75f332dcfea","主人公"
"speaker_主人公","主人公","speaker_主人公",""
