"source","target","id","developer_comments"
"balloon#a06d661a5bfe047249578745c4c4c032","……[emb exp='tf.names.mashima_3.itsuki']、どうしたんですか？","balloon#a06d661a5bfe047249578745c4c4c032","真島"
"balloon#6e91caf6baef0ca650a8ca872fa2700c","急に黙りこんで。","balloon#6e91caf6baef0ca650a8ca872fa2700c","真島"
"balloon#c1ca270bd25bdd8c83d95b5ca0b4d336","ああっ、えっと……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]すみません！","balloon#c1ca270bd25bdd8c83d95b5ca0b4d336","主人公"
"balloon#e1c7195ee520e25b6393efafe9aa0165","考えをまとめていて！","balloon#e1c7195ee520e25b6393efafe9aa0165","主人公"
"balloon#718173d6e78735e6f59c460fa9c8c6f4","やれやれ……[l][chara_mod time=""@f1"" name=""真島"" face=""doubt"" position=""right""]まずは、[emb exp='tf.names.mashima_3.itsuki']の名前を教えてもらいましょうか。","balloon#718173d6e78735e6f59c460fa9c8c6f4","真島"
"balloon#d6f6e8130ee265615c1b55965309b248","これまではつい名乗ってしまっていたけど、本当は過去で名乗るべきじゃないよな。","balloon#d6f6e8130ee265615c1b55965309b248","主人公"
"balloon#2da5bc75870942fd911e5562443d2b3b","この1989年で名乗ることで、1990年以降の事件に影響を与えないとも限らない。","balloon#2da5bc75870942fd911e5562443d2b3b","主人公"
"balloon#f42c31dda640ac526ce9aeffcf541e73","疑われてしまうと思うけど……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]ここはなんとか、名乗らずに乗り切ろう。","balloon#f42c31dda640ac526ce9aeffcf541e73","主人公"
"balloon#4d2d75ee56b18b691861afd9482e5b55","すみません……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]訳あって、名乗ることはできないんです！","balloon#4d2d75ee56b18b691861afd9482e5b55","主人公"
"balloon#d3f8200fcf34ce77ff146aa986ef67a0","はぁ、なに言ってんだ？","balloon#d3f8200fcf34ce77ff146aa986ef67a0","海老原"
"balloon#4d26dfe4da677b30f821b1aa2cf0a7a8","……そんな態度で、信用されるとでも？","balloon#4d26dfe4da677b30f821b1aa2cf0a7a8","神代"
"balloon#89d730f66adfd3292f65599cd6a00bf9","名乗ってすらもらえない、と……。","balloon#89d730f66adfd3292f65599cd6a00bf9","真島"
"balloon#e7c97f08bf533c643775663ecafd6453","いいでしょう……[l][chara_mod time=""@f1"" name=""真島"" face=""doubt"" position=""right""]黙秘を続けるほど、[emb exp='tf.names.mashima_3.itsuki']への疑いが強まることをお忘れなく。","balloon#e7c97f08bf533c643775663ecafd6453","真島"
"balloon#b7df1f92e108f9b25134ac8bcae4054a","そ、そうなるよなぁ……[l][chara_mod time=""@f1"" name=""主人公"" face=""trouble""]でも、この時代で名乗って未来で覚えられていたら困る。","balloon#b7df1f92e108f9b25134ac8bcae4054a","主人公"
"balloon#8a88c931e3b97cc30d5e81f041d254c9","疑われてしまうだろうけど、推理で信用を勝ち取るしかない！","balloon#8a88c931e3b97cc30d5e81f041d254c9","主人公"
"balloon#5cfb69f27af733120c2550a6338081a2","[emb exp='tf.names.kamishiro_3.itsuki']のことは気になりますが、[emb exp='tf.names.kamishiro_3.ebihara']の話も伺うべきではないですか？","balloon#5cfb69f27af733120c2550a6338081a2","神代"
"balloon#624216d88ccc04aa6a637102f5e11f66","な、なんでだよ！","balloon#624216d88ccc04aa6a637102f5e11f66","海老原"
"balloon#0f1e488452814873712c6825e60360e6","[emb exp='tf.names.ebihara_3.me']はなんも知らねぇぞ！","balloon#0f1e488452814873712c6825e60360e6","海老原"
"balloon#7470b4bcfee2c6eabb37739838e9a31f","待ってください、それはおかしいです！","balloon#7470b4bcfee2c6eabb37739838e9a31f","主人公"
"balloon#bd565f465ee2280d91d1d340b3e6e004","[emb exp='tf.names.itsuki.me']は[emb exp='tf.names.itsuki.ebihara']が、この山小屋から出てくるのを見ました。","balloon#bd565f465ee2280d91d1d340b3e6e004","主人公"
"balloon#380bd63aab1d54a5ba149686d2204e8d","そして山小屋の中に入ると……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]中で、[emb exp='tf.names.itsuki.tetsuo']が倒れていたんです！","balloon#380bd63aab1d54a5ba149686d2204e8d","主人公"
"balloon#70cd9e7795d49d59ea6f36d29733f486","残念なことに[emb exp='tf.names.itsuki.tetsuo']は、既に息があるようには見えませんでした……。","balloon#70cd9e7795d49d59ea6f36d29733f486","主人公"
