"source","target","id","developer_comments"
"balloon#79aa33e6a19552a7980a2019062e569d","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki_p.utaha']を……？","balloon#79aa33e6a19552a7980a2019062e569d","主人公"
"balloon#1e3a92ba3c64259df443dc9eb16ac6b1","いや、今はとにかく[emb exp='tf.names.itsuki_p.NPC']を犯人と考えるしかない。","balloon#1e3a92ba3c64259df443dc9eb16ac6b1","主人公"
"balloon#28ebf7581862d1f564198b0e5c92a434","[emb exp='tf.names.itsuki_p.mashima']、[emb exp='tf.names.itsuki_p.NPC']を拘束してください！","balloon#28ebf7581862d1f564198b0e5c92a434","主人公"
"balloon#4deadf9137fa9d9fa221827e35702554","[emb exp='tf.names.itsuki_p.NPC']、お願いします。","balloon#4deadf9137fa9d9fa221827e35702554","主人公"
"balloon#28187f32940a368fd1f851b50f78448e","[emb exp='tf.names.itsuki_p.utaha']の居場所を、教えてください……！","balloon#28187f32940a368fd1f851b50f78448e","主人公"
"balloon#f3313ceab7351a479ff3a22bf2a33de6","し、知りません……[l][chara_mod time=""@f1"" name=""NPC"" face=""panic"" position=""right""]どうしてそんなこと言うんですか。","balloon#f3313ceab7351a479ff3a22bf2a33de6","NPC"
"balloon#e31fb7a56607e8462a7726962076b9c3","本当に、あなたが犯人なんですか……？","balloon#e31fb7a56607e8462a7726962076b9c3","亮"
"balloon#af08caafba46806fc346ff2e30b4efd7","違います……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused"" position=""right""]なにも知らないんです。","balloon#af08caafba46806fc346ff2e30b4efd7","NPC"
"balloon#130eec3a3cec31a93f61fd1df5f13e10","まさか教師が犯人とは……[l][chara_mod time=""@f1"" name=""影山"" face=""sad"" position=""think""]我が校の汚点だよ。","balloon#130eec3a3cec31a93f61fd1df5f13e10","影山"
"balloon#0676d41eff7f09c33b8ad9bab0bbf178","か、[emb exp='tf.names.NPC.kageyama']まで……。","balloon#0676d41eff7f09c33b8ad9bab0bbf178","NPC"
"balloon#5d51d43094a55e92dca3522c000da34b","……彼女の身柄を押さえておけば、[emb exp='tf.names.mashima_p.utaha']に危害を加えることはできないでしょう。","balloon#5d51d43094a55e92dca3522c000da34b","真島"
"balloon#884c0db21af115ce40a85c68c53ec9f1","さぁ、ついて来てください。","balloon#884c0db21af115ce40a85c68c53ec9f1","真島"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#3c8bd0bc100c698bd2bff02f3fb05f4f","[emb exp='tf.names.NPC.mashima']がそう言うなら、わかりました。","balloon#3c8bd0bc100c698bd2bff02f3fb05f4f","NPC"
"balloon#d187b834d7f41916111eb5aa47bfeda6","[emb exp='tf.names.NPC.me']、本当にやってないんです。","balloon#d187b834d7f41916111eb5aa47bfeda6","NPC"
"balloon#0224773150baebf7e65a2352b66d5cad","お願いします、[emb exp='tf.names.NPC.mashima']。","balloon#0224773150baebf7e65a2352b66d5cad","NPC"
"balloon#7bafcb16975f7d7aec81936fa8199cb8","[emb exp='tf.names.NPC.me']の無実を、証明してください……。","balloon#7bafcb16975f7d7aec81936fa8199cb8","NPC"
"message10#c25ddc79114b283d791505eae185e5f5","最も犯人として疑われた、[font color=@1]結城[resetfont]が拘束された。","message10#c25ddc79114b283d791505eae185e5f5",""
"message10#d4e740a0e0a9b6690c1f8b75104d0e29","歌葉が見つかるまで、結城の拘束が解かれることはなかった。","message10#d4e740a0e0a9b6690c1f8b75104d0e29",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_亮","亮","speaker_亮",""
"speaker_影山","影山","speaker_影山",""
"speaker_真島","真島","speaker_真島",""
