"source","target","id","developer_comments"
"balloon#a2097fa3c5035b8820374187f93ad7c8","引起骚动的人，就是你吧……[l][chara_mod time=""@f1"" name=""主人公"" face=""normal""][emb exp='tf.names.itsuki.NPC']！","balloon#a2097fa3c5035b8820374187f93ad7c8","机翻辅助：

引起骚动的人，就是你吧……[l][chara_mod time=""@f1"" name=""主人公"" face=""normal""][emb exp='tf.names.itsuki.NPC']！

引起骚动的，是你吧……[l][chara_mod time=""@f1"" name=""主人公"" face=""normal""][emb exp='tf.names.itsuki.NPC']！

引起骚动的是你啊……[l][chara_mod time=""@f1"" name=""主人公"" face=""normal""][emb exp='tf.names.itsuki.NPC']！"
"balloon#5d426906d91522ef20ac89430be73b83","唔……！","balloon#5d426906d91522ef20ac89430be73b83","机翻辅助：

唔……！

啊……！"
"balloon#9965304df717cf9910e84348c3491bb8","难道真的是[emb exp='tf.names.kumiko_p.NPC']……？","balloon#9965304df717cf9910e84348c3491bb8","机翻辅助：

难道真的是[emb exp='tf.names.kumiko_p.NPC']……？

难道，真的是[emb exp='tf.names.kumiko_p.NPC']……？"
"balloon#1b11b81270047825357d1161329718d5","你的脸色看起来不太好，怎么了吗？","balloon#1b11b81270047825357d1161329718d5","机翻辅助：

你的脸色看起来不太好，怎么了吗？

你的脸色好像不太好，怎么了？

你看起来脸色不太好，怎么了？"
"balloon#b275bb88079836d3eeb8a4d81c70c1a4","[emb exp='tf.names.mashima_p.NPC']……[l][chara_mod time=""@f1"" name=""真島"" face=""worry""]你有什么话要说吗？","balloon#b275bb88079836d3eeb8a4d81c70c1a4","机翻辅助：

[emb exp='tf.names.mashima_p.NPC']……[l][chara_mod time=""@f1"" name=""真島"" face=""worry""]你有什么话要说吗？

[emb exp='tf.names.mashima_p.NPC']……[l][chara_mod time=""@f1"" name=""真島"" face=""worry""]有什么要说的吗？"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","不、不是啦！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","机翻辅助：

不、不是啦！

不对！

不、不对！"
"balloon#a9508a08e83a8928300ee38990a9dae4","[emb exp='tf.names.NPC.me']、[emb exp='tf.names.NPC.me']……","balloon#a9508a08e83a8928300ee38990a9dae4","机翻辅助：

[emb exp='tf.names.NPC.me']、[emb exp='tf.names.NPC.me']……"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_海老原","海老原","speaker_海老原",""
"speaker_久美子","久美子","speaker_久美子",""
"speaker_神代","神代","speaker_神代","机翻辅助：

神代

杉田智"
"speaker_真島","真岛","speaker_真島","机翻辅助：

真岛"
