"source","target","id","developer_comments"
"balloon#4b427502ece4c01141973e9afabe6697","ええっ、恥ずかしいな……。","balloon#4b427502ece4c01141973e9afabe6697","NPC"
"balloon#37805bdbae4150ccfa3b6cef9bec3bc0","[emb exp='tf.names.NPC.yohei']に、そんなとこ見られてたのか。","balloon#37805bdbae4150ccfa3b6cef9bec3bc0","NPC"
"balloon#1766af60209472b4073812667450b0b0","[emb exp='f.npc_nickname']はつまみ食いしたあと、口元に種をつけっぱなしだったんだな。","balloon#1766af60209472b4073812667450b0b0","主人公"
"balloon#a9514743a4c24d7426c2fd1187953d51","[emb exp='tf.names.NPC.me']の話！？","balloon#a9514743a4c24d7426c2fd1187953d51","NPC"
"balloon#39056776283b0c9076cd40a0f5070686","ええっ、もしかして……","balloon#39056776283b0c9076cd40a0f5070686","NPC"
"balloon#cb6e49989c118f85bcc9fe1fb64d25bc","[emb exp='tf.names.NPC.me']のこと疑ってるの？","balloon#cb6e49989c118f85bcc9fe1fb64d25bc","NPC"
"balloon#16ff1461acefde8a0fd58347793aa3d7","[emb exp='tf.names.NPC.itsuki']、[emb exp='tf.names.NPC.me']はそんな変なことしないよ！","balloon#16ff1461acefde8a0fd58347793aa3d7","NPC"
"balloon#65e213c6c123a43525b2978c745f9616","いや、でも実際に見たっていう人が……。","balloon#65e213c6c123a43525b2978c745f9616","主人公"
"balloon#6ab37bf19f70ea4320d780f5a0da1035","ほらほら！","balloon#6ab37bf19f70ea4320d780f5a0da1035","NPC"
"balloon#2cc07d1cfbf45b4829c407fbedc129d8","[emb exp='tf.names.NPC.me']の顔を見て？","balloon#2cc07d1cfbf45b4829c407fbedc129d8","NPC"
"balloon#025271c2352ebadad327c30986133450","そんなのついてないよね、ね？","balloon#025271c2352ebadad327c30986133450","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#ccb0f4c78899e3631c8448d4aa76dcf6","うーん、[emb exp='tf.names.itsuki.NPC']の口元に今は何もついてないのは確かだけど……。","balloon#ccb0f4c78899e3631c8448d4aa76dcf6","主人公"
"speaker_主人公","主人公","speaker_主人公",""
