"source","target","id","developer_comments"
"[0]/name","消えたスイカ","[0]/name","id: 1"
"[0]/title","マップ「消えたスイカ」をノートに書き留めた。","[0]/title","id: 1"
"[1]/name","写真館のぼや騒ぎ","[1]/name","id: 2"
"[1]/title","マップ「1991年 写真館のぼや騒ぎ」をノートに書き留めた。","[1]/title","id: 2"
"[2]/name","歌葉の神隠し","[2]/name","id: 3"
"[2]/title","マップ「1990年 歌葉の神隠し」をノートに書き留めた。","[2]/title","id: 3"
"[3]/name","鉄男の神隠し","[3]/name","id: 4"
"[3]/title","マップ「1989年 鉄男の神隠し」をノートに書き留めた。","[3]/title","id: 4"
"[4]/name","千世の神隠し","[4]/name","id: 5"
"[4]/title","マップ「2004年 消えた千世」をノートに書き留めた。","[4]/title","id: 5"
"[5]/name","写真館の殺人","[5]/name","id: 6"
"[5]/title","マップ「2004年 写真館の殺人」をノートに書き留めた。","[5]/title","id: 6"
