"source","target","id","developer_comments"
"text#c87260d1365aac4d5bac7d96604e0871","犯人と思わしき人物が拘束された後、僕はふたたび写真館を訪れた。","text#c87260d1365aac4d5bac7d96604e0871",""
"text#1d4ac03cfb4ac4db3fccf27a905ce4c9","写真を使って未来に帰れないか、試してみるためだ。","text#1d4ac03cfb4ac4db3fccf27a905ce4c9",""
"text#79c70336a2aebfcafd1df49ac15dd784","“島民の写真”は昼間に現像したまま、[item_fadein storage=""../bgimage/ev03a.png"" position=""center"" left=""456"" top=""60"" width=""1008"" height=""756""]そこに置かれていた。","text#79c70336a2aebfcafd1df49ac15dd784",""
"text#7a6354195c43c053b86fb3a67d07db1e","すぐに、写真をのぞき込んでみる。","text#7a6354195c43c053b86fb3a67d07db1e",""
"text#13901db083bdedba5900a2d12e20211e","……しかし、元の時代へ帰ることはできなかった。","text#13901db083bdedba5900a2d12e20211e",""
"text#7ff4ba0d73f64a6c06289beccb91129b","まさか、あの人は犯人じゃなかったのだろうか……？","text#7ff4ba0d73f64a6c06289beccb91129b",""
"text#d1168ad5151f173e58bfe79624f02961","その答えをたしかめる方法は、一つしかない。","text#d1168ad5151f173e58bfe79624f02961",""
"text#4a31222e2f8506b57a090aba34f13eab","深夜、僕は陽ちゃんの家の近くの木陰から、周囲の様子を窺っていた。","text#4a31222e2f8506b57a090aba34f13eab",""
"text#b82f103901749f33afafada7e230386a","もし他に真犯人がいたら、今夜の火事が起きてしまうかもしれないからだ。","text#b82f103901749f33afafada7e230386a",""
"text#80d1a4fa8afa0800b597d2e83ef2f9d6","そのとき、ある人物が姿を現した。","text#80d1a4fa8afa0800b597d2e83ef2f9d6",""
"text#05f99f4cca41edb6cf3c020d3f79ec56","そして陽ちゃんの家の裏手に回ると、[PLAY_SE storage=""advSE/se_adv76.mp3""]ライターを懐から取り出したのだ。","text#05f99f4cca41edb6cf3c020d3f79ec56",""
"text#c670147cf4e82e466e49089672694b26","まさか、この人が犯人だったなんて……！","text#c670147cf4e82e466e49089672694b26",""
"text#d6457487913df11d70d7045f999d7fe0","僕は自分の選択を悔やみつつも、犯人を取り押さえるために飛びかかった。","text#d6457487913df11d70d7045f999d7fe0",""
"text#de7630768e52ef68bab21bdf814b30d0","しかしまだ体も大きくない僕は、犯人に組み伏せられてしまった。[l]
そして頭部を殴打され……","text#de7630768e52ef68bab21bdf814b30d0",""
"text#6695954d1497f78e02187b61ec56b9e3","[PLAY_MOVIE_BACKGROUND_SE id=""ef031.mp4"" fit=1 fot=1][l]そこで気を失うことになった。","text#6695954d1497f78e02187b61ec56b9e3",""
"text#4999c9ede88165c0e4e513df8055b476","翌日、新聞の一面を飾ったのは式音島で起きた放火事件に関する記事だった。","text#4999c9ede88165c0e4e513df8055b476",""
"text#ce10e6662adaafaf85de1bce7878233f","事件で焼死したのは、式音島在住の男性と身元不明の少年の2人。","text#ce10e6662adaafaf85de1bce7878233f",""
"text#1d6cc23f9e78f812144dbbb99f1c6765","少年は樹と名乗っていたそうだが、島民に彼の身元を知る人物はいなかった。","text#1d6cc23f9e78f812144dbbb99f1c6765",""
"text#0afb73f0d18441748e43dd711a830acf","警察は少年の情報を広く求めたが、最後まで彼の身元は判明しなかった。","text#0afb73f0d18441748e43dd711a830acf",""
