"source","target","id","developer_comments"
"balloon#f8c312babcc657ee654f0c1913b212f8","就如刚才[emb exp='tf.names.NPC.kamishiro']所说，他当时去了照相馆。","balloon#f8c312babcc657ee654f0c1913b212f8","机翻辅助：

就如刚才[emb exp='tf.names.NPC.kamishiro']所说，他当时去了照相馆。

正如刚才告诉我的那样，[emb exp='tf.names.NPC.kamishiro']去了照相馆。

就像刚才告诉我的那样，[emb exp='tf.names.NPC.kamishiro']去了照相馆。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#3da68089f6235133e90e205e1967ef11","[emb exp='tf.names.itsuki.NPC']似乎对[emb exp='tf.names.itsuki.kamishiro']的行为表示理解。","balloon#3da68089f6235133e90e205e1967ef11","机翻辅助：

[emb exp='tf.names.itsuki.NPC']似乎对[emb exp='tf.names.itsuki.kamishiro']的行为表示理解。

[emb exp='tf.names.itsuki.NPC']似乎认同[emb exp='tf.names.itsuki.kamishiro']的行为。

看来，[emb exp='tf.names.itsuki.NPC']对自己的行动没有疑问。[emb exp='tf.names.itsuki.kamishiro']"
"balloon#2f24c5a1216301c4837b67ffe93f921b","对，[l]就如我所说，我确实目击到[emb exp='tf.names.NPC.kamishiro']从照相馆走过来。","balloon#2f24c5a1216301c4837b67ffe93f921b","机翻辅助：

对，[l]就如我所说，我确实目击到[emb exp='tf.names.NPC.kamishiro']从照相馆走过来。

啊。[l]正如我所说，我肯定亲眼看到了[emb exp='tf.names.NPC.kamishiro']从照相馆来。

啊。正如我所说，我确实看到[emb exp='tf.names.NPC.kamishiro']从照相馆来了。[l]"
"balloon#eb72c7f3c98950d5af1769d2cfdb4975","[emb exp='tf.names.itsuki.NPC']也目击到从照相馆来的[emb exp='tf.names.itsuki.kamishiro']吗？","balloon#eb72c7f3c98950d5af1769d2cfdb4975","机翻辅助：

[emb exp='tf.names.itsuki.NPC']也目击到从照相馆来的[emb exp='tf.names.itsuki.kamishiro']吗？

[emb exp='tf.names.itsuki.NPC']也目击到了从照相馆来的[emb exp='tf.names.itsuki.kamishiro']吗。

[emb exp='tf.names.itsuki.NPC']也看到[emb exp='tf.names.itsuki.kamishiro']从照相馆来了吗？"
"balloon#29fbe55e5cf413df477d76f07bbddbf6","这就奇怪了，[emb exp='tf.names.NPC.me']也看到[emb exp='tf.names.NPC.kamishiro']了。","balloon#29fbe55e5cf413df477d76f07bbddbf6","机翻辅助：

这就奇怪了，[emb exp='tf.names.NPC.me']也看到[emb exp='tf.names.NPC.kamishiro']了。

那就奇怪了，[emb exp='tf.names.NPC.me']也看到[emb exp='tf.names.NPC.kamishiro']了。

那太奇怪了，[emb exp='tf.names.NPC.me']也看到[emb exp='tf.names.NPC.kamishiro']啦。"
"balloon#6031fd3da6804e936b54964a8a33ad33","[emb exp='tf.names.itsuki.NPC']也看到[emb exp='tf.names.itsuki.kamishiro']吗？","balloon#6031fd3da6804e936b54964a8a33ad33","机翻辅助：

[emb exp='tf.names.itsuki.NPC']也看到[emb exp='tf.names.itsuki.kamishiro']吗？

[emb exp='tf.names.itsuki.NPC']也是[emb exp='tf.names.itsuki.kamishiro']吗？

[emb exp='tf.names.itsuki.NPC']也有[emb exp='tf.names.itsuki.kamishiro']吗？"
"balloon#bd0b8e49023e2396307a0b278f00f6a7","[font color=@3]我在[resetfont]12:30[font color=@3]左右，从派出所目击到[emb exp='tf.names.NPC.kamishiro']从照相馆走过来。[resetfont]","balloon#bd0b8e49023e2396307a0b278f00f6a7","机翻辅助：

[font color=@3]我在[resetfont]12:30[font color=@3]左右，从派出所目击到[emb exp='tf.names.NPC.kamishiro']从照相馆走过来。[resetfont]

[font color=@3]我在派出所看到[emb exp='tf.names.NPC.kamishiro']从照相馆来。[resetfont][font color=@3][resetfont]

[font color=@3]12:30左右，从驻地看到了[emb exp='tf.names.NPC.kamishiro']从照相馆来。[resetfont][font color=@3][resetfont]"
"balloon#e4844d46188dd1b564dd21d0876a6023","原来如此，[font color=@3][emb exp='tf.names.itsuki.kamishiro']是从照相馆走过来[resetfont]啊。","balloon#e4844d46188dd1b564dd21d0876a6023","机翻辅助：

原来如此，[font color=@3][emb exp='tf.names.itsuki.kamishiro']是从照相馆走过来[resetfont]啊。

原来如此，[emb exp='tf.names.itsuki.kamishiro']是从照相馆来的啊。[font color=@3][resetfont]

原来[emb exp='tf.names.itsuki.kamishiro']是从照相馆来的。[font color=@3][resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
