"source","target","id","developer_comments"
"text#39e669bcab321dda156109d562b7fd5d","いまは2023年の初夏。","text#39e669bcab321dda156109d562b7fd5d",""
"text#f967f0560c0b6ff570eea7d0cc8c16be","鉄男じいちゃんの容体が急変したと聞き、僕は慌てて彼の病室へと向かった。","text#f967f0560c0b6ff570eea7d0cc8c16be",""
"text#e834c76668cc0207d4b1a86871811bb7","そして病室へ駆け込むと、ベッドの上には鉄男じいちゃんの姿があった。[l]
辛そうな表情を浮かべている……[l]もう長くないのかもしれない。","text#e834c76668cc0207d4b1a86871811bb7",""
"text#675a692ad15954cf60c761646cd4d80a","……陸か。","text#675a692ad15954cf60c761646cd4d80a","sakura_tetsuo"
"text#f4c100636fe456d13436275469621153","間に合ってよかった。","text#f4c100636fe456d13436275469621153",""
"text#2d3652b2f5e6db3334b3806f6ff32256","僕は鉄男じいちゃんの言いつけを守って、歌葉のことを優先した。","text#2d3652b2f5e6db3334b3806f6ff32256",""
"text#4dcf874db097ca270a9acc5c86cf7d74","それでも彼の死に目に会えなかったら、やはり後悔していたかもしれない。","text#4dcf874db097ca270a9acc5c86cf7d74",""
"text#cc382f67b0b7ab39e3d3144ff50450b1","鉄男じいちゃん、無事に生まれたよ。[l]
元気な男の子だった。","text#cc382f67b0b7ab39e3d3144ff50450b1","sakura_riku"
"text#9b5c51438dbfcebdfa5fa1693252aee0","鉄男じいちゃんは、辛そうにしながらも精一杯の笑顔を見せてくれた。","text#9b5c51438dbfcebdfa5fa1693252aee0",""
"text#34ac305c06165b42eb06d4f59a4fe8b8","子供の名前は、樹にしたんだ。","text#34ac305c06165b42eb06d4f59a4fe8b8","sakura_riku"
"text#ee85befe5ba592e862f68fcd290d8f56","佐倉 樹。[l]
それが僕の子の名前だ。","text#ee85befe5ba592e862f68fcd290d8f56",""
"text#5a1749118a825857f329f6fd867e253f","……歌葉と話し合って、あの記憶の中の僕の名前をつけることにしたんだよ。","text#5a1749118a825857f329f6fd867e253f","sakura_riku"
"text#0c2200b3d1b8d114f0d879ab28d2cdfa","僕には、重複した不思議な記憶がある。","text#0c2200b3d1b8d114f0d879ab28d2cdfa",""
"text#3f57bbaff779fa58a9abd045ae60755a","写真を使って過去を変え、家族を救ったあの“ひと夏の十五年”の冒険譚。","text#3f57bbaff779fa58a9abd045ae60755a",""
"text#ecb6d359411200899eaa9fff690b0ca4","もちろん僕は自分が写った写真を見ても、過去へ飛ぶことなんてできない。[l]
だからこの不思議な記憶は、僕の妄想に過ぎないのだろう。","text#ecb6d359411200899eaa9fff690b0ca4",""
"text#e9a1c6bea6c51c0484f38bc2bc6e6fe4","おじいちゃん子だった僕は、鉄男じいちゃんには記憶のことを話していた。","text#e9a1c6bea6c51c0484f38bc2bc6e6fe4",""
"text#a3f84344f43140c555add001e86433fe","……陸、お前に伝えておかなければならないことがある。","text#a3f84344f43140c555add001e86433fe","sakura_tetsuo"
"text#019a3ff8a492b83909faa1350897353d","その記憶は、妄想なんかじゃない。[l]
お前が本当に、一度経験したことなんだ。","text#019a3ff8a492b83909faa1350897353d","sakura_tetsuo"
"text#f0a78b3d420061084ba5ef2ee3e4739d","鉄男じいちゃんは、かつてないほど真剣な表情でそう言った。","text#f0a78b3d420061084ba5ef2ee3e4739d",""
"text#72c5682ea26dfa951502d0f99f8409bd","本当なら、とても信じられないような話だ。","text#72c5682ea26dfa951502d0f99f8409bd",""
"text#bd6d2a5c50da23cc2606aef2b290fb14","しかし頑固な鉄男じいちゃんが、おそらく人生最後であろうこの瞬間に
嘘をつくとは到底思えなかった。","text#bd6d2a5c50da23cc2606aef2b290fb14",""
"text#f7e8ebf3417c17ec4240725fe50c7585","この力は、所有者が死ぬと自分の子孫に引き継がれるんだ。","text#f7e8ebf3417c17ec4240725fe50c7585","sakura_tetsuo"
"text#6b9f7f21416bc71851cd06dd77702789","俺は一度死に、お前に力が引き継がれた。[l]
しかしお前が過去を変えて俺を助けてくれたことで、力が俺に戻ったんだ。","text#6b9f7f21416bc71851cd06dd77702789","sakura_tetsuo"
"text#9bb9bd0c51b4342c0d881686368a6746","この力を俺の父親に授けてくれた人は、力の名を“逆理”と呼んでいた。","text#9bb9bd0c51b4342c0d881686368a6746","sakura_tetsuo"
"text#04f0d9146c7747fb4b0a157ad78498f3","そしてこの力が引き継がれる子孫は、その時点で最も幼い者になる。[l]
つまり……","text#04f0d9146c7747fb4b0a157ad78498f3","sakura_tetsuo"
"text#65b7aee60b148438ef64c7f348d815dc","次に“逆理”が受け継がれるのは、生まれたばかりの樹になるということか。","text#65b7aee60b148438ef64c7f348d815dc",""
"text#8c6caa646875baf6195a0dce67541fc0","だからお前は、樹のことを導いてやらなければならない。","text#8c6caa646875baf6195a0dce67541fc0","sakura_tetsuo"
"text#1e7d7a4dd07b60da97d9d51a8b3f2aa9","かつてお前が話してくれたように、その力は使い方によっては
深刻なタイムパラドクスを引き起こすことになるからだ。","text#1e7d7a4dd07b60da97d9d51a8b3f2aa9","sakura_tetsuo"
