"source","target","id","developer_comments"
"[0]/text","つまり[emb exp='tf.names.yohei.utaha']は、[emb exp='tf.names.yohei.me']のこと疑ってるわけ？","[0]/text","talker: yohei"
"[1]/text","うん、ごめんね。[l]
[chara_mod time='@f1' name='歌葉' face='confused' position='right']でも、スイカの話で嘘をついてたよね？","[1]/text","talker: utaha"
"[2]/text","スイカの話って、なんのことかしら……？","[2]/text","talker: chiyo"
"[3]/text","……[emb exp='tf.names.iroha.yohei']は、どんな嘘をついてたのかしら。","[3]/text","talker: iroha"
"[4]/text","おいおい、マジか！[l]
[chara_mod time='@f1' name='陽平' face='panic' position='left'][emb exp='tf.names.yohei.itsuki']、なんとか言ってやってくれよ！","[4]/text","talker: yohei"
"[5]/text","[emb exp='tf.names.utaha.itsuki']は、[font color=@3][emb exp='tf.names.utaha.yohei']がついた嘘[resetfont]……[l][chara_mod time='@f1' name='歌葉' face='stunned' position='right']なんだかわかるよね？","[5]/text","talker: utaha"
"[6]/text","え、えっと……","[6]/text","talker: itsuki"
"[8]/text","………………。","[8]/text","talker: yohei"
"[9]/text","…………。","[9]/text","talker: yohei"
"[10]/text","……。","[10]/text","talker: yohei"
"[12]/text","いやぁ[emb exp='tf.names.yohei.me']、そんなこと言ったっけなぁ？","[12]/text","talker: yohei"
"[13]/text","そう、[emb exp='tf.names.utaha.itsuki']の言う通りだよ！[l]
[chara_mod time='@f1' name='歌葉' face='normal' position='left']スイカの数の話に嘘があったんだ！","[13]/text","talker: utaha"
"[14]/text","よく気づいたよねぇ。[l]
[chara_mod time='@f1' name='歌葉' face='normal' position='left']やっぱり[emb exp='tf.names.utaha.itsuki']って、なんでも……","[14]/text","talker: utaha"
"[17]/text","………………。","[17]/text","talker: yohei"
"[18]/text","…………。","[18]/text","talker: yohei"
"[19]/text","……。","[19]/text","talker: yohei"
"[21]/text","……なんだ、その話？[l]
[chara_mod time='@f1' name='陽平' face='panic' position='confused'][emb exp='tf.names.yohei.itsuki']大丈夫か、頭でも打ったのか？","[21]/text","talker: yohei"
"[22]/text","えっ……[l]そんな話じゃなかったよね。[l]
[chara_mod time='@f1' name='歌葉' face='confused' position='left'][emb exp='tf.names.utaha.itsuki']、なんでそんなこと言い出したの？","[22]/text","talker: utaha"
"[23]/text","もしかして……[l][chara_mod time='@f1' name='歌葉' face='confused' position='left'][emb exp='tf.names.utaha.yohei']のこと、かばおうとしてる？","[23]/text","talker: utaha"
"[24]/text","そっか、[emb exp='tf.names.utaha.itsuki']って……","[24]/text","talker: utaha"
"[27]/text","まったく、[emb exp='tf.names.iroha.me']にはさっぱりだわ。","[27]/text","talker: iroha"
"[28]/text","もう、難しい話ばっかりねぇ……。","[28]/text","talker: chiyo"
"[29]/text","台所への出入りね……[l][chara_mod time='@f1' name='彩葉' face='think' position='left']どうだったかしら。","[29]/text","talker: iroha"
"[30]/text","一番最後に、か……。","[30]/text","talker: yohei"
"[31]/text","順番なんてどうだったかしらねぇ……。","[31]/text","talker: chiyo"
"[32]/text","[emb exp='tf.names.utaha.itsuki']は[font color=@3]誰が最後に台所に入ったか[resetfont]、心当たりはある？","[32]/text","talker: utaha"
"[33]/text","え、えっと……","[33]/text","talker: itsuki"
"[35]/text","………………。","[35]/text","talker: chiyo"
"[36]/text","…………。","[36]/text","talker: chiyo"
"[37]/text","……。","[37]/text","talker: chiyo"
"[39]/text","そうね、たしかに[emb exp='tf.names.chiyo.me']だったわ。[l]
[chara_mod time='@f1' name='千世' face='trouble' position='right']でも……別にやましいことはないわよ。","[39]/text","talker: chiyo"
