"source","target","id","developer_comments"
"balloon#53b565914c4d0a1a8a7ce5143d653368","在意的事情？","balloon#53b565914c4d0a1a8a7ce5143d653368","机翻辅助：

在意的事情？

在意的事啊？

很在意的事啊？"
"balloon#1596466279e578c19c37cdb9072c1473","那当然是因为……","balloon#1596466279e578c19c37cdb9072c1473","机翻辅助：

那当然是因为……

那是那个吧。"
"balloon#3e30d5c83343c7f6ffd8f3bec6258b49","[emb exp='tf.names.NPC.me']在[font color=@3]12:25[resetfont]左右，在[font color=@3]照相馆前看到可疑的人影[resetfont]。","balloon#3e30d5c83343c7f6ffd8f3bec6258b49","机翻辅助：

[emb exp='tf.names.NPC.me']在[font color=@3]12:25[resetfont]左右，在[font color=@3]照相馆前看到可疑的人影[resetfont]。

[emb exp='tf.names.NPC.me']在12:25左右，在照相馆前看到一个可疑的人影。[font color=@3][resetfont][font color=@3][resetfont]

[emb exp='tf.names.NPC.me']在照相馆前看到了可疑的人影。[font color=@3][resetfont][font color=@3][resetfont]"
"balloon#fbcbf5ff2a523d97e8d4013df0db1cec","虽然没有看清楚对方的长相，但不管怎么想，那家伙都很可疑。","balloon#fbcbf5ff2a523d97e8d4013df0db1cec","机翻辅助：

虽然没有看清楚对方的长相，但不管怎么想，那家伙都很可疑。

连身影都看不清楚，哎呀，怎么想都觉得奇怪。

虽然连身影都看不清楚，但怎么想都很可疑。"
"balloon#c3cf3df678993a1638bb3647749ad700","原来如此，[emb exp='tf.names.itsuki.NPC'][font color=@3]在照相馆前看到可疑的人影[resetfont]啊！","balloon#c3cf3df678993a1638bb3647749ad700","机翻辅助：

原来如此，[emb exp='tf.names.itsuki.NPC'][font color=@3]在照相馆前看到可疑的人影[resetfont]啊！

原来如此，[emb exp='tf.names.itsuki.NPC']在照相馆前看到了可疑的人影！[font color=@3][resetfont]"
"balloon#e5d17aedf809072e3adf282784cd10ff","那个[font color=@3]人影是谁[resetfont]，[emb exp='tf.names.NPC.me']非常在意他的身份。","balloon#e5d17aedf809072e3adf282784cd10ff","机翻辅助：

那个[font color=@3]人影是谁[resetfont]，[emb exp='tf.names.NPC.me']非常在意他的身份。

那个人影是谁？[emb exp='tf.names.NPC.me']非常在意他的真面目。[font color=@3][resetfont]

那个人影是谁？[emb exp='tf.names.NPC.me']非常在意那个人的身份。[font color=@3][resetfont]"
"balloon#d6466bc005b69cee095d6a4eec8b8aa1","之前闹得沸沸扬扬的[font color=@3]照相馆前的可疑人影[resetfont]……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]的确令人在意。","balloon#d6466bc005b69cee095d6a4eec8b8aa1","机翻辅助：

之前闹得沸沸扬扬的[font color=@3]照相馆前的可疑人影[resetfont]……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]的确令人在意。

一阵骚动[font color=@3]照相馆前的可疑人影[resetfont]……确实很在意。[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]

照相馆前的可疑人影……确实很在意。[font color=@3][resetfont][l][chara_mod time=""@f1"" name=""主人公"" face=""think""]"
"balloon#33d7c707040b04c1690efd4b7e61f504","好，那如果发现什么关于人影的线索，要马上告诉我哦！","balloon#33d7c707040b04c1690efd4b7e61f504","机翻辅助：

好，那如果发现什么关于人影的线索，要马上告诉我哦！

好吧，那你要是知道人影有什么事就马上告诉我！

好了，那你知道人影的事就马上告诉我吧！"
"balloon#8aeba8c5f3c5a40e780fbccc548adbaf","好，我马上向[emb exp='tf.names.itsuki.NPC']报告！","balloon#8aeba8c5f3c5a40e780fbccc548adbaf","机翻辅助：

好，我马上向[emb exp='tf.names.itsuki.NPC']报告！

好的，马上向[emb exp='tf.names.itsuki.NPC']报告哦！"
"balloon#dfca101f359357f684e300e2d531b5b0","哦，只有回答的时候特别有自信！","balloon#dfca101f359357f684e300e2d531b5b0","机翻辅助：

哦，只有回答的时候特别有自信！

啊，只有回答，在一丁点前吧！

哦，只有回复，还真是一丁点儿啊！"
"balloon#244ffb0c073f6ecc17ddbcbe0a62da45","可疑的人影吗？","balloon#244ffb0c073f6ecc17ddbcbe0a62da45","机翻辅助：

可疑的人影吗？

可疑的人影吗。

是可疑的人影吗？"
"balloon#786f549f9dd21de1f2108c22a833c716","因为目击时间也已经知道了……","balloon#786f549f9dd21de1f2108c22a833c716","机翻辅助：

因为目击时间也已经知道了……

因为也知道被目击的时间……"
"balloon#dbc306e40ce96f702d4937d36acfc5f6","[font color=@3]只要调查12:20左右的照相馆出入纪录[resetfont]，或许就能发现什么。","balloon#dbc306e40ce96f702d4937d36acfc5f6","机翻辅助：

[font color=@3]只要调查12:20左右的照相馆出入纪录[resetfont]，或许就能发现什么。

[font color=@3]调查一下12:25左右出入照相馆的情况，也许能看到什么。[resetfont]

[font color=@3]如果调查一下12:25左右出入照相馆的情况，也许会有什么发现。[resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
