"source","target","id","developer_comments"
"[0]/title","台所から出てきた歌葉","[0]/title","chara_id: utaha"
"[0]/desc","<font color='@1'>[@sl_c]歌葉は台所を出た[/@sl_c]</font>と証言した。樹も見たこの情報は確かなものだ。","[0]/desc","chara_id: utaha"
"[1]/title","シールのついたスイカが消えた","[1]/title","chara_id: itsuki"
"[1]/desc","*樹は居間にある四切れのスイカを確認したが、そこに<font color='@1'>[@sl_b]シールのついたスイカはなかった[/@sl_b]</font>。樹自身が見たこの物証は確かなものだ。","[1]/desc","chara_id: itsuki"
"[2]/title","スイカは五切れ残っていた","[2]/title","chara_id: utaha"
"[2]/desc","歌葉は自身がつまみ食いしたあとも<font color='@1'>[@sl_c]スイカは五切れ[/@sl_c]</font>残っていたと、証言した。","[2]/desc","chara_id: utaha"
"[3]/title","彩葉が見たスイカは四切れ ","[3]/title","chara_id: iroha"
"[3]/desc","彩葉が台所に入った時、<font color='@1'>[@sl_c]スイカは四切れ[/@sl_c]</font>しかなかったと、証言した。","[3]/desc","chara_id: iroha"
"[4]/title","台所を出る陽平を見た彩葉 ","[4]/title","chara_id: iroha"
"[4]/desc","彩葉は台所に入った時、<font color='@1'>[@sl_c]台所から出てきた陽平[/@sl_c]</font>と入れ違いになったと、証言した。","[4]/desc","chara_id: iroha"
"[5]/title","シールが半分に切れたスイカ ","[5]/title","chara_id: iroha"
"[5]/desc","彩葉は台所のゴミ箱でスイカを発見した。その皮には<font color='@1'>[@sl_b]半分に切れたシール[/@sl_b]</font>がついていた。シールには『うま　す』と書かれていた。樹も見たこの物証は確かなものだ。","[5]/desc","chara_id: iroha"
"[6]/title","口元に何かをつけた歌葉","[6]/title","chara_id: yohei"
"[6]/desc","陽平は台所から出てきた<font color='@1'>[@sl_c]歌葉の口元に何か[/@sl_c]</font>がついていたと、証言した。それが具体的に何だったかは、はっきりとはわからなかったようだ。","[6]/desc","chara_id: yohei"
"[7]/title","シールが半分に切れたスイカを見た陽平","[7]/title","chara_id: yohei"
"[7]/desc","陽平は台所で見た五切れのスイカのうちのひと切れに、<font color='@1'>[@sl_c]半分に切れたシール[/@sl_c]</font>がついていたと、証言した。シールには『い　いか』と書かれていたそうだ。","[7]/desc","chara_id: yohei"
"[8]/title","台所を出る彩葉を見た千世","[8]/title","chara_id: chiyo"
"[8]/desc","千世は台所に入った時、<font color='@1'>[@sl_c]台所から出てきた彩葉[/@sl_c]</font>とすれ違ったと、証言した。","[8]/desc","chara_id: chiyo"
"[9]/title","千世が見たスイカは四切れ","[9]/title","chara_id: chiyo"
"[9]/desc","千世は台所に戻った時、<font color='@1'>[@sl_c]スイカは四切れ[/@sl_c]</font>しかなかったと、証言した。","[9]/desc","chara_id: chiyo"
"[10]/title","使われた包丁とまな板","[10]/title","chara_id: chiyo"
"[10]/desc","千世は片付けたはずの<font color='@1'>[@sl_c]包丁とまな板が使われている[/@sl_c]</font>状態になっていたことに気がついた。樹も見たこの物証は確かなものだ。","[10]/desc","chara_id: chiyo"
"[11]/title","つまみ食いを告白した歌葉","[11]/title","chara_id: utaha"
"[11]/desc","歌葉は、五切れあったスイカのひと切れを半分に切ったのち、その片方だけを<font color='@1'>[@sl_c]つまみ食い[/@sl_c]</font>し、食べたあとの皮をゴミ箱へ捨てたと、証言した。","[11]/desc","chara_id: utaha"
"[12]/title","嘘をついた陽平","[12]/title","chara_id: utaha"
"[12]/desc","*歌葉は陽平がスイカに関する話で<font color='@1'>[@sl_c]嘘をついている[/@sl_c]</font>に違いないと、証言した。","[12]/desc","chara_id: utaha"
"[13]/title","陽平が見たスイカは四切れ","[13]/title","chara_id: yohei"
"[13]/desc","陽平は台所に入った時、<font color='@1'>[@sl_c]スイカは四切れ[/@sl_c]</font>しかなかったと、証言した。","[13]/desc","chara_id: yohei"
"[14]/title","スイカにシールはついていなかった","[14]/title","chara_id: chiyo"
"[14]/desc","千世は自分が誤って落としたスイカに<font color='@1'>[@sl_c]シールはついていなかった[/@sl_c]</font>と、証言した。","[14]/desc","chara_id: chiyo"
"[15]/title","スイカに残されたかじり跡","[15]/title","chara_id: iroha"
"[15]/desc","*彩葉は台所のゴミ箱で発見したスイカに、誰かが<font color='@1'>[@sl_b]かじったような跡[/@sl_b]</font>があることに気づいた。樹も見たこの物証は確かなものだ。","[15]/desc","chara_id: iroha"
"[16]/title","スイカの種をとった彩葉","[16]/title","chara_id: iroha"
"[16]/desc","彩葉は歌葉が口元につけていたスイカの<font color='@1'>[@sl_c]種をとってあげた[/@sl_c]</font>と、証言した。","[16]/desc","chara_id: iroha"
