"source","target","id","developer_comments"
"balloon#7368cc099f2cbc58ee82fc742cb4c538","なあ……消えたスイカの犯人捜しなんて、
いつまで続けるつもりだ？","balloon#7368cc099f2cbc58ee82fc742cb4c538","陽平"
"balloon#76cf344185fa4d6b9f11e9f9e76e4600","たしかに……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]もう潮時かもしれない。","balloon#76cf344185fa4d6b9f11e9f9e76e4600","主人公"
"balloon#ec34f61f4bd576fbc245082d60eb062f","さあ、そろそろ夕飯の支度を始めるわよ。","balloon#ec34f61f4bd576fbc245082d60eb062f","千世"
"balloon#43071818948bd855d02025f5053ba011","まって、まだ気になることがあるの！","balloon#43071818948bd855d02025f5053ba011","歌葉"
"balloon#9353a572301c12b934cbd0ba1f0772e1","だから……","balloon#9353a572301c12b934cbd0ba1f0772e1","歌葉"
"balloon#347137a0ab32dba4b91ac3a7b3305198","最後に、みんなで話し合ってみない？","balloon#347137a0ab32dba4b91ac3a7b3305198","歌葉"
"balloon#512a6bb0345a8679fc9cfcbe9a3a3b92","内緒話はやめて、全員で……ってこと？","balloon#512a6bb0345a8679fc9cfcbe9a3a3b92","彩葉"
"balloon#e7ef6e5c9d402a20cd12317d8f923bb1","たしかに……[l]まだ、みんなで話してないな。","balloon#e7ef6e5c9d402a20cd12317d8f923bb1","陽平"
"balloon#34905fb8564367e3d2e6365efd2986f5","そうね。","balloon#34905fb8564367e3d2e6365efd2986f5","千世"
"balloon#0145b9de1f6c78feafa06de7d944dac6","みんなで話し合うのも、大事よ。","balloon#0145b9de1f6c78feafa06de7d944dac6","千世"
"balloon#15b0e690156888f510d6254a4a743fea","[emb exp='tf.names.utaha.me']ね、みんなに伝えたいことがあるの！","balloon#15b0e690156888f510d6254a4a743fea","歌葉"
"balloon#76d93e220266146aad7819675d5b5653","わかったわ、それじゃあ……","balloon#76d93e220266146aad7819675d5b5653","彩葉"
"balloon#028b9e39a8a4a266b772dd0acaa1e354","[font color=@3]１人ずつ順番[resetfont]に、[font color=@3]言いたいこと[resetfont]を言って終わりにしましょう！","balloon#028b9e39a8a4a266b772dd0acaa1e354","彩葉"
"balloon#a7525958505647aa7af9c13619b8b2b4","[emb exp='tf.names.iroha.itsuki']も、それでいい？","balloon#a7525958505647aa7af9c13619b8b2b4","彩葉"
"balloon#3bfc8b7bed41ce3a4b758da57b0944d3","わ、わかったよ！","balloon#3bfc8b7bed41ce3a4b758da57b0944d3","主人公"
"balloon#6cbcac75e280d64d51050b5348f492fc","この話し合いが、真相にたどり着く[font color=@3]最後のチャンス[resetfont]かもしれない……。","balloon#6cbcac75e280d64d51050b5348f492fc","主人公"
"balloon#a7b6dae511c3157c0126c7e832b76e2f","慎重にいこう……！","balloon#a7b6dae511c3157c0126c7e832b76e2f","主人公"
"speaker_陽平","陽平","speaker_陽平",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_千世","千世","speaker_千世",""
"speaker_歌葉","歌葉","speaker_歌葉",""
"speaker_彩葉","彩葉","speaker_彩葉",""
