"source","target","id","developer_comments"
"balloon#d6a1a4f0eac38d31d093ee05e27193b2","[emb exp='tf.names.itsuki_p.NPC']真的会危害[emb exp='tf.names.itsuki_p.tetsuo']吗……？","balloon#d6a1a4f0eac38d31d093ee05e27193b2","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']真的会危害[emb exp='tf.names.itsuki_p.tetsuo']吗……？

真的是[emb exp='tf.names.itsuki_p.NPC']把[emb exp='tf.names.itsuki_p.tetsuo']……？

真的是[emb exp='tf.names.itsuki_p.NPC']，[emb exp='tf.names.itsuki_p.tetsuo']……？"
"balloon#1455a8e484cc6fa9631db36aac64a823","不对，现在只能先假设[emb exp='tf.names.itsuki_p.NPC']是犯人。","balloon#1455a8e484cc6fa9631db36aac64a823","机翻辅助：

不对，现在只能先假设[emb exp='tf.names.itsuki_p.NPC']是犯人。

不，现在只能认为[emb exp='tf.names.itsuki_p.NPC']是犯人。

不，现在只能把[emb exp='tf.names.itsuki_p.NPC']当成凶手了。"
"balloon#28ebf7581862d1f564198b0e5c92a434","[emb exp='tf.names.itsuki_p.mashima']，请你抓住[emb exp='tf.names.itsuki_p.NPC']！","balloon#28ebf7581862d1f564198b0e5c92a434","机翻辅助：

[emb exp='tf.names.itsuki_p.mashima']，请你抓住[emb exp='tf.names.itsuki_p.NPC']！

请拘留[emb exp='tf.names.itsuki_p.mashima']、[emb exp='tf.names.itsuki_p.NPC']！

[emb exp='tf.names.itsuki_p.mashima']，请把[emb exp='tf.names.itsuki_p.NPC']拘留起来！"
"balloon#e8584cfb51a72e3621820f5c790eb52e","[emb exp='tf.names.itsuki_p.NPC']应该知道[emb exp='tf.names.itsuki_p.tetsuo']在哪里！","balloon#e8584cfb51a72e3621820f5c790eb52e","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']应该知道[emb exp='tf.names.itsuki_p.tetsuo']在哪里！

[emb exp='tf.names.itsuki_p.NPC']应该知道[emb exp='tf.names.itsuki_p.tetsuo']的所在地！"
"balloon#19906164ff7b1ad49c348aa3da26eedf","……我没想到犯人会是你。","balloon#19906164ff7b1ad49c348aa3da26eedf","机翻辅助：

……我没想到犯人会是你。

……我没想到你就是凶手。

……没想到你是犯人。"
"balloon#9ad60ffdc1076132231f11c638c32de4","不、不对！","balloon#9ad60ffdc1076132231f11c638c32de4","机翻辅助：

不、不对！

不对！"
"balloon#a5a0cf8c38daaa221903ec46e631fe3b","[emb exp='tf.names.NPC.me']没做！","balloon#a5a0cf8c38daaa221903ec46e631fe3b","机翻辅助：

[emb exp='tf.names.NPC.me']没做！

[emb exp='tf.names.NPC.me']没有做！"
"balloon#36f06598b954d31afd12b9aea0091d1d","果然和[emb exp='tf.names.ebihara_3.me']预料的一样，是自导自演啊！","balloon#36f06598b954d31afd12b9aea0091d1d","机翻辅助：

果然和[emb exp='tf.names.ebihara_3.me']预料的一样，是自导自演啊！

果然和[emb exp='tf.names.ebihara_3.me']的看法一样，是自编自演啊！

果然如[emb exp='tf.names.ebihara_3.me']所料，是自导自演啊！"
"balloon#b3f98a55ff9569f6fcee398f0ecda075","[emb exp='tf.names.NPC.me']没做那种事！","balloon#b3f98a55ff9569f6fcee398f0ecda075","机翻辅助：

[emb exp='tf.names.NPC.me']没做那种事！

[emb exp='tf.names.NPC.me']没做那样的事！

[emb exp='tf.names.NPC.me']没有那样做！"
"balloon#b8f3cb4c863d17dfa05881a13527e53d","……[emb exp='tf.names.mashima_3.NPC']，我要逮捕你了。","balloon#b8f3cb4c863d17dfa05881a13527e53d","机翻辅助：

……[emb exp='tf.names.mashima_3.NPC']，我要逮捕你了。

……[emb exp='tf.names.mashima_3.NPC']，让我拘留一次。

……[emb exp='tf.names.mashima_3.NPC']，我要拘留你一次。"
"balloon#064f6b6a9c9e3d8007c16f023ac712e1","[emb exp='tf.names.mashima_3.me']也不想做这种事。","balloon#064f6b6a9c9e3d8007c16f023ac712e1","机翻辅助：

[emb exp='tf.names.mashima_3.me']也不想做这种事。

[emb exp='tf.names.mashima_3.me']也不想这样做。"
"balloon#b682042e6ed9bc2ecb031c1d5a0a2397","但只要能交给警方处理，一定能证明你的清白。","balloon#b682042e6ed9bc2ecb031c1d5a0a2397","机翻辅助：

但只要能交给警方处理，一定能证明你的清白。

但是如果你委身于警察的话，你的无辜一定会被证明的。

但只要你委身于警方，一定能证明你的清白。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
