"source","target","id","developer_comments"
"balloon#db3a5a2f417faa2dfb0abcd95a444c28","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki.chiyo']を……？","balloon#db3a5a2f417faa2dfb0abcd95a444c28","主人公"
"balloon#133b88e511f5150c01e64f62c0a17916","いや、いまはとにかく[emb exp='tf.names.itsuki_p.NPC']が協力者と考えるしかない。","balloon#133b88e511f5150c01e64f62c0a17916","主人公"
"balloon#ffa84746673d00dd07d801ae19e79c2c","どうしてそんなことしたんだ、[emb exp='tf.names.daisuke.NPC']……？","balloon#ffa84746673d00dd07d801ae19e79c2c","大助"
"balloon#68b78c3a102e46ad413c842b1abc25e9","ぼ、[emb exp='tf.names.NPC.me']はやってない！","balloon#68b78c3a102e46ad413c842b1abc25e9","NPC"
"balloon#d1fcce699d135e11252608d4d5040f7a","まさか[emb exp='tf.names.makino.kusakabe']が、協力者とは……。","balloon#d1fcce699d135e11252608d4d5040f7a","牧野"
"balloon#50abe3dccad419e5e133e10c7e1dbf3f","本当に違うんだ……。","balloon#50abe3dccad419e5e133e10c7e1dbf3f","NPC"
"balloon#2019d1d35b007917d6f73ed7d4b8bc26","どうしてそんなことを……？","balloon#2019d1d35b007917d6f73ed7d4b8bc26","陽平"
"balloon#ee3b48681fc0fa25d47a4aa4e60bd0b8","みんな、信じてくれ……。","balloon#ee3b48681fc0fa25d47a4aa4e60bd0b8","NPC"
"balloon#0273940428969852ed28d321d5696ffa","[emb exp='tf.names.itsuki_p.NPC']、[emb exp='tf.names.itsuki.chiyo']の居場所を教えてください！","balloon#0273940428969852ed28d321d5696ffa","主人公"
"balloon#c640d62a29baf2a27476fe633d3cc5e4","[emb exp='tf.names.NPC.me']だって、それを知りたいんだ……。","balloon#c640d62a29baf2a27476fe633d3cc5e4","NPC"
"message10#d2121becafb1159eaff468f45d2d22a7","千世の協力者として、最も疑われたのは[font color=@1]日下部[resetfont]だった。","message10#d2121becafb1159eaff468f45d2d22a7",""
"message10#e14dc0bce67ae3068842534dcbb51fe6","しかし日下部は、決して千世の行方を話すことはなかった。[l]
樹たちは協力して、千世の行方を探すことにした。","message10#e14dc0bce67ae3068842534dcbb51fe6",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_大助","大助","speaker_大助",""
"speaker_牧野","牧野","speaker_牧野",""
"speaker_陽平","陽平","speaker_陽平",""
