"source","target","id","developer_comments"
"balloon#1797f82fb109336948a7a7ca60274b22","嗯……[l][emb exp='tf.names.NPC.me']的疑问吗？","balloon#1797f82fb109336948a7a7ca60274b22","机翻辅助：

嗯……[l][emb exp='tf.names.NPC.me']的疑问吗？

嗯……[l]是[emb exp='tf.names.NPC.me']的疑问吗？

嗯……[l][emb exp='tf.names.NPC.me']的疑问？"
"balloon#fefc99146d723fd4fd5515d2e06b0a4c","虽然不能告诉你搜查情报，但说到底[emb exp='tf.names.NPC.me']个人的想法是……","balloon#fefc99146d723fd4fd5515d2e06b0a4c","机翻辅助：

虽然不能告诉你搜查情报，但说到底[emb exp='tf.names.NPC.me']个人的想法是……

虽然[emb exp='tf.names.NPC.me']不能把搜查情报告诉你，但就我个人的想法……

虽然不能把调查情报告诉你，但[emb exp='tf.names.NPC.me']要说的是我个人的想法……"
"balloon#b81130c233594e55c02993c4c4f1dbc8","其实在骚动过后，我在现场发现了这个。","balloon#b81130c233594e55c02993c4c4f1dbc8","机翻辅助：

其实在骚动过后，我在现场发现了这个。

其实骚动之后，我在现场发现了这样的东西。

其实在骚乱之后，在现场发现了这样的东西。"
"balloon#e45c821d7e9aa00d18723330654c69e5","[font color=@3]照相馆的窗外，[resetfont]掉落着两端有不自然伤痕的镜头。","balloon#e45c821d7e9aa00d18723330654c69e5","机翻辅助：

[font color=@3]照相馆的窗外，[resetfont]掉落着两端有不自然伤痕的镜头。

[font color=@3]照相馆的窗外掉着两端不自然受伤的镜头。[resetfont]

[font color=@3]在照相馆的窗外，有一个两端不自然地受损的镜片掉了下来。[resetfont]"
"balloon#11f7c6e6075fc15fdbc658713c55ae34","照相馆的窗外，[font color=@3]掉落着两端有不自然伤痕的镜头[resetfont]？","balloon#11f7c6e6075fc15fdbc658713c55ae34","机翻辅助：

照相馆的窗外，[font color=@3]掉落着两端有不自然伤痕的镜头[resetfont]？

在照相馆的窗外，[font color=@3]有不自然的划痕的镜头[resetfont]？

在照相馆的窗外，有着不自然伤痕的镜头？[font color=@3][resetfont]"
"balloon#2ac5908118886cb1715c78a6f6aeeef6","既然现场附近掉落着不自然的东西，就非得调查不可。","balloon#2ac5908118886cb1715c78a6f6aeeef6","机翻辅助：

既然现场附近掉落着不自然的东西，就非得调查不可。

如果现场附近有不自然的东西掉落，就不能不调查。

如果现场附近有不自然的东西掉下来的话，就不能不调查了。"
"balloon#0fae6c7145cf80b6e31eeef251544b97","而且[font color=@3]这个伤痕[resetfont]，实在令人在意……","balloon#0fae6c7145cf80b6e31eeef251544b97","机翻辅助：

而且[font color=@3]这个伤痕[resetfont]，实在令人在意……

然后[font color=@3]这个伤[resetfont]，总觉得很在意……

还有[font color=@3]这个伤[resetfont]，总觉得很在意……"
"balloon#5fd2609e3bf6f4236fa3f3bf4dc62360","[font color=@3]为什么会[resetfont]变成这样呢？","balloon#5fd2609e3bf6f4236fa3f3bf4dc62360","机翻辅助：

[font color=@3]为什么会[resetfont]变成这样呢？

为什么会有这样的伤痕呢？[font color=@3][resetfont]

为什么会这样受伤呢？[font color=@3][resetfont]"
"balloon#0453889503c61c170c6b20e3e1157cc8","[font color=@3]镜头受损的理由[resetfont]的确令人在意。","balloon#0453889503c61c170c6b20e3e1157cc8","机翻辅助：

[font color=@3]镜头受损的理由[resetfont]的确令人在意。

确实，不要在意镜头受伤的理由。[font color=@3][resetfont]

的确，我很在意镜片被划伤的原因。[font color=@3][resetfont]"
"balloon#120cc960a1b9393d6c5818c4661ebbdd","如果知道镜头受损的原因，可以告诉我吗？","balloon#120cc960a1b9393d6c5818c4661ebbdd","机翻辅助：

如果知道镜头受损的原因，可以告诉我吗？

如果知道了镜头的伤痕，能告诉我吗？

如果知道镜片有划痕的话，会告诉我吗？"
"balloon#0e5a504d2857f0c570e44115f9aa4c16","是，我马上向[emb exp='f.npc_nickname']报告！","balloon#0e5a504d2857f0c570e44115f9aa4c16","机翻辅助：

是，我马上向[emb exp='f.npc_nickname']报告！

好的，马上向[emb exp='f.npc_nickname']报告！

好，我马上向[emb exp='f.npc_nickname']报告！"
"balloon#801fb246ea7e2b71759f8160354beef8","嗯。[l]
感谢你协助调查。","balloon#801fb246ea7e2b71759f8160354beef8","机翻辅助：

嗯。[l]
感谢你协助调查。

啊。[l]
谢谢你协助调查。

啊。感谢您协助调查。[l]"
"balloon#1f863e9e35b439e0dcbd33b3d397870f","镜头掉在起火点附近是偶然，还是和事件有关呢？","balloon#1f863e9e35b439e0dcbd33b3d397870f","机翻辅助：

镜头掉在起火点附近是偶然，还是和事件有关呢？

镜头落在火源附近是偶然还是与事件有关。

镜头掉在起火点附近是偶然还是与事件有关？"
"balloon#4a35d90919fc097e6687844b9351021a","无论如何，似乎都有调查的必要。","balloon#4a35d90919fc097e6687844b9351021a","机翻辅助：

无论如何，似乎都有调查的必要。

不管怎样，看来有调查的必要。

不管怎么说，好像有必要调查。"
"balloon#eb11a8975b8bf2889dbcccfcb8a392d5","我不认为镜头的伤痕是自然造成的。","balloon#eb11a8975b8bf2889dbcccfcb8a392d5","机翻辅助：

我不认为镜头的伤痕是自然造成的。

我不认为镜片上的划痕是自然的。

我不认为镜头上的伤痕是自然的。"
