"source","target","id","developer_comments"
"balloon#c3a49ee3885949b1d76f809fe2ea2efd","[emb exp='tf.names.NPC.me']はその人のことを目撃していないから、わからないな。","balloon#c3a49ee3885949b1d76f809fe2ea2efd","NPC"
"balloon#59d428126f4b3e1ae2690b91b6afd25a","茶色いスーツといえば[emb exp='tf.names.NPC.kageyama']が思い浮かぶけどね。","balloon#59d428126f4b3e1ae2690b91b6afd25a","NPC"
"balloon#11f255c695dedf7deefa935b2092f36b","そして連絡船への乗り降りは、割とみんなに筒抜けなんだ。","balloon#11f255c695dedf7deefa935b2092f36b","NPC"
"balloon#a6aae4bda9e8f64d93b7273651966fbc","[emb exp='tf.names.NPC.me']も最初は面食らったけど、近くに住む人が噂を広めるんだよ。","balloon#a6aae4bda9e8f64d93b7273651966fbc","NPC"
"balloon#75519867b357e12b22a5d40460775fb3","田舎っていうのは、そういう場所なんだ。","balloon#75519867b357e12b22a5d40460775fb3","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#76ae7397deb419bb9cdb60bcd7098e1e","田舎の離島での生活だと、そういうことになるんだな……。","balloon#76ae7397deb419bb9cdb60bcd7098e1e","主人公"
"balloon#4c7e20389b56218f86f57b9b2ad53718","茶色いスーツといえば、[emb exp='tf.names.NPC.kageyama']が思い浮かぶけどね。","balloon#4c7e20389b56218f86f57b9b2ad53718","NPC"
"balloon#fef41d8471c82b585101729e2cc59e4c","そういえば昨日の騒動の後始末もあって、[emb exp='tf.names.NPC.me']は夜通し駐在所に詰めていたんだけど……","balloon#fef41d8471c82b585101729e2cc59e4c","NPC"
"balloon#0ad57501e9296acb86a85ba28bd611f8","駐在所からは船着場への往来がよく見えてね。","balloon#0ad57501e9296acb86a85ba28bd611f8","NPC"
"balloon#61ec684e3379045a44332cec2cf5b715","今朝、[emb exp='tf.names.NPC.kageyama']が……","balloon#61ec684e3379045a44332cec2cf5b715","NPC"
"balloon#cb3e5818c9a2ee0cf02c4428fdee3bef","[font color=@3]6:20に船から降りてきた[resetfont]んだ。","balloon#cb3e5818c9a2ee0cf02c4428fdee3bef","NPC"
"balloon#b3139d55021495674727f83e4d6e86b7","乗客は[emb exp='tf.names.NPC.kageyama']だけだったね。","balloon#b3139d55021495674727f83e4d6e86b7","NPC"
"balloon#0d49771d0ca4727f3a16ca786ee73410","スーツ姿ではなく、私服だったのも覚えているよ。","balloon#0d49771d0ca4727f3a16ca786ee73410","NPC"
"balloon#da0a5e360b0fd3f76effbcf95d9da387","6:20着の夜行フェリーから、[font color=@3]唯一降りてきた乗客が[emb exp='tf.names.itsuki.kageyama'][resetfont]だったのか。","balloon#da0a5e360b0fd3f76effbcf95d9da387","主人公"
"speaker_主人公","主人公","speaker_主人公",""
