"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#4a268c232b0f2777da8f2f88674ac195","その推理、[font color=@3]納得[resetfont]せざるを得ないようだ。","balloon#4a268c232b0f2777da8f2f88674ac195","NPC"
"balloon#dcfa57d87e0b1a4326d11afe7ba0e8d9","つまりお前は、[emb exp='tf.names.NPC.me']が事件に関わっていると言いたいんだな。","balloon#dcfa57d87e0b1a4326d11afe7ba0e8d9","NPC"
"balloon#66ef4203ee97b754d5da5d34d5eb4676","[emb exp='tf.names.itsuki.me']も、信じたくない。","balloon#66ef4203ee97b754d5da5d34d5eb4676","主人公"
"balloon#6fd3421c0ac307cc06327898b21ea2fe","でも……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]他に考えられないんだ。","balloon#6fd3421c0ac307cc06327898b21ea2fe","主人公"
"balloon#ec0ca81f2db63db1b5381c95fd0aa2a4","自分のアリバイが、証明できないからといって……","balloon#ec0ca81f2db63db1b5381c95fd0aa2a4","NPC"
"balloon#9ef1ef5efcc3a8419758cb5d781532ef","まさか、[emb exp='tf.names.NPC.me']のことを疑い始めるとはな。","balloon#9ef1ef5efcc3a8419758cb5d781532ef","NPC"
"balloon#d74159b8759251386fe5c34eaf322cbf","本当に悲しいよ、[emb exp='tf.names.NPC.itsuki']。","balloon#d74159b8759251386fe5c34eaf322cbf","NPC"
"balloon#9545e7a097fe8db112fa9ad75411fa7c","そんな……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""][emb exp='tf.names.itsuki.me']だって、疑いたいわけじゃないんだ。","balloon#9545e7a097fe8db112fa9ad75411fa7c","主人公"
"balloon#c38b2f0b54cc63c57886448857709074","話はそれだけか？","balloon#c38b2f0b54cc63c57886448857709074","NPC"
"balloon#864ed052a1f8e823e2fcd41965e13603","つまらん仮説を持ち出す暇があるなら、まずは自分のアリバイを証明してみせろ。","balloon#864ed052a1f8e823e2fcd41965e13603","NPC"
"balloon#df83611d52e4fe11cba79c68159031e6","自分の立場を忘れるな、お前は被害者に凶器を突き立てた状態で発見されたんだぞ。","balloon#df83611d52e4fe11cba79c68159031e6","NPC"
"balloon#34710db4c320c91018dc385f46f85762","そんな状態で発見された少年の、荒唐無稽な推理を……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]果たして警察が信用するかな？","balloon#34710db4c320c91018dc385f46f85762","NPC"
"balloon#4d94db04be460b8aac6eb7d0236ded3b","そ、それはそうだけど……。","balloon#4d94db04be460b8aac6eb7d0236ded3b","主人公"
"balloon#0070d7fd6c06ed191b1f3d9966e76a44","この話は、ここまでだ。","balloon#0070d7fd6c06ed191b1f3d9966e76a44","NPC"
"balloon#5487ee6fc370e696b006ea36a5b8cfd8","まずは、自分の無実を証明してみせろ。","balloon#5487ee6fc370e696b006ea36a5b8cfd8","NPC"
"balloon#e6c29574791ef210053efc683c3f0362","いまここで、なにかを言い返すのは難しい……。","balloon#e6c29574791ef210053efc683c3f0362","主人公"
"balloon#dcce8a0a808fb5057345cb80b94c3fca","でも[emb exp='tf.names.itsuki.NPC']の反応が、[emb exp='tf.names.itsuki.me']の考えをたしかなものにした。","balloon#dcce8a0a808fb5057345cb80b94c3fca","主人公"
"balloon#3edaf76ee66b60ddedc2e5713b0845a7","動機や具体的な行動など、まだわからないことだらけだ……。","balloon#3edaf76ee66b60ddedc2e5713b0845a7","主人公"
"balloon#7df879180cfca6855ebc5f58e464ec09","でも、これだけは間違いない。","balloon#7df879180cfca6855ebc5f58e464ec09","主人公"
"balloon#0f3ac6a787c9163f48a93cc476e9b176","[emb exp='tf.names.itsuki.NPC']は、クロだ。","balloon#0f3ac6a787c9163f48a93cc476e9b176","主人公"
"balloon#4ad7ac305a506ecbeffab6d1710cffe1","なんらかの理由で、[font color=@3][emb exp='tf.names.itsuki.kageyama']と共犯関係[resetfont]にあるのだろう。","balloon#4ad7ac305a506ecbeffab6d1710cffe1","主人公"
"balloon#bf863da910f44c40ccee14085b950139","本当にそうなのか？","balloon#bf863da910f44c40ccee14085b950139","NPC"
