"source","target","id","developer_comments"
"balloon#79aa33e6a19552a7980a2019062e569d","[emb exp='tf.names.itsuki_p.NPC']真的会危害[emb exp='tf.names.itsuki_p.utaha']吗……？","balloon#79aa33e6a19552a7980a2019062e569d","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']真的会危害[emb exp='tf.names.itsuki_p.utaha']吗……？

真的是[emb exp='tf.names.itsuki_p.NPC']把[emb exp='tf.names.itsuki_p.utaha']……？

真的是[emb exp='tf.names.itsuki_p.NPC']，[emb exp='tf.names.itsuki_p.utaha']……？"
"balloon#1e3a92ba3c64259df443dc9eb16ac6b1","不，现在只能先假设[emb exp='tf.names.itsuki_p.NPC']是犯人。","balloon#1e3a92ba3c64259df443dc9eb16ac6b1","机翻辅助：

不，现在只能先假设[emb exp='tf.names.itsuki_p.NPC']是犯人。

不，现在只能认为[emb exp='tf.names.itsuki_p.NPC']是犯人。

不，现在只能把[emb exp='tf.names.itsuki_p.NPC']当成凶手了。"
"balloon#28ebf7581862d1f564198b0e5c92a434","[emb exp='tf.names.itsuki_p.mashima']，请你抓住[emb exp='tf.names.itsuki_p.NPC']！","balloon#28ebf7581862d1f564198b0e5c92a434","机翻辅助：

[emb exp='tf.names.itsuki_p.mashima']，请你抓住[emb exp='tf.names.itsuki_p.NPC']！

请拘留[emb exp='tf.names.itsuki_p.mashima']、[emb exp='tf.names.itsuki_p.NPC']！

[emb exp='tf.names.itsuki_p.mashima']，请把[emb exp='tf.names.itsuki_p.NPC']拘留起来！"
"balloon#4deadf9137fa9d9fa221827e35702554","[emb exp='tf.names.itsuki_p.NPC']，拜托你。","balloon#4deadf9137fa9d9fa221827e35702554","机翻辅助：

[emb exp='tf.names.itsuki_p.NPC']，拜托你。

[emb exp='tf.names.itsuki_p.NPC']，拜托了。"
"balloon#28187f32940a368fd1f851b50f78448e","请告诉我[emb exp='tf.names.itsuki_p.utaha']在哪里……！","balloon#28187f32940a368fd1f851b50f78448e","机翻辅助：

请告诉我[emb exp='tf.names.itsuki_p.utaha']在哪里……！

请告诉我[emb exp='tf.names.itsuki_p.utaha']的所在地……！"
"balloon#a1588556b128fe7d461651fe45fa6bfa","我、我不知道！","balloon#a1588556b128fe7d461651fe45fa6bfa","机翻辅助：

我、我不知道！

不、不知道！"
"balloon#abc6aa7dd3beae4b684dcb0f4721da24","[emb exp='tf.names.NPC.me']也在找[emb exp='tf.names.NPC.utaha']！","balloon#abc6aa7dd3beae4b684dcb0f4721da24","机翻辅助：

[emb exp='tf.names.NPC.me']也在找[emb exp='tf.names.NPC.utaha']！

[emb exp='tf.names.NPC.me']也在找[emb exp='tf.names.NPC.utaha']啊！"
"balloon#8477179a5593d689cfdb5c410a1d7b63","没想到竟然是自己人干的……","balloon#8477179a5593d689cfdb5c410a1d7b63","机翻辅助：

没想到竟然是自己人干的……

难道是自己人的犯罪吗……

怎么可能是自己的家人干的……"
"balloon#867a5b7df0f45d81166b3ec580a77daa","[emb exp='tf.names.NPC.me']不是犯人！","balloon#867a5b7df0f45d81166b3ec580a77daa","机翻辅助：

[emb exp='tf.names.NPC.me']不是犯人！

[emb exp='tf.names.NPC.me']、我不是犯人！

[emb exp='tf.names.NPC.me']、我不是凶手！"
"balloon#60cd06e84b4f4f8572b34d6e491bd087","你为什么要带走[emb exp='tf.names.yuuki_p.utaha']……？","balloon#60cd06e84b4f4f8572b34d6e491bd087","机翻辅助：

你为什么要带走[emb exp='tf.names.yuuki_p.utaha']……？

为什么要带走[emb exp='tf.names.yuuki_p.utaha']呢……？

为什么要把[emb exp='tf.names.yuuki_p.utaha']带走呢……？"
