"source","target","id","developer_comments"
"text#7489d940da7b99e2fc74a3dcfa24caee","我按照约定，准备好船了！","text#7489d940da7b99e2fc74a3dcfa24caee","机翻辅助：

我按照约定，准备好船了！

按照约定，准备了船哦！

按照约定，船已经准备好了！"
"text#eca039f0222908eac6982d9358c30056","时间终于到了。","text#eca039f0222908eac6982d9358c30056","机翻辅助：

时间终于到了。"
"text#5e66052145aa3fe632328021c62cc864","神代搭上准备好的船之后，转头对我说：","text#5e66052145aa3fe632328021c62cc864","机翻辅助：

神代搭上准备好的船之后，转头对我说：

然后神代登上准备好的船，面向我这样说。

神代坐上准备好的船，对我说。"
"text#157ae937e56094c71e077877989fd2f0","再见了，树。","text#157ae937e56094c71e077877989fd2f0","机翻辅助：

再见了，树。"
"text#09cb7003d855a4229133ae3e42d8aef5","……我一直把你当成亲生儿子看待。","text#09cb7003d855a4229133ae3e42d8aef5","机翻辅助：

……我一直把你当成亲生儿子看待。

……我把你当成我的亲生儿子。

……我把你当成真正的儿子。"
"text#1b42d6b0f44d5f20fe5b5c5cd0af8f4c","你要幸福啊，树。","text#1b42d6b0f44d5f20fe5b5c5cd0af8f4c","机翻辅助：

你要幸福啊，树。

祝你幸福，树。

要幸福啊，树。"
"text#b6a1310dc97c188ce8cc71cd2dcfbdbb","神代搭的船转眼间就消失在水平线的另一端。","text#b6a1310dc97c188ce8cc71cd2dcfbdbb","机翻辅助：

神代搭的船转眼间就消失在水平线的另一端。

然后神代乘坐的船，一眨眼就消失在水平线的那边。

神代乘坐的船转眼间消失在水平线的另一端。"
"text#c20fe2f6451d48adb191880b6a1c2d43","……小树。","text#c20fe2f6451d48adb191880b6a1c2d43","机翻辅助：

……小树。"
"text#9c3e8a205c6f97a1859da394758e7464","来到我身边的歌叶，用不安的眼神看着我。","text#9c3e8a205c6f97a1859da394758e7464","机翻辅助：

来到我身边的歌叶，用不安的眼神看着我。

歌叶走到我身边，用不安的眼神看着我。"
"text#08648eff924aa70f02c68d398e22154d","歌叶……","text#08648eff924aa70f02c68d398e22154d","机翻辅助：

歌叶……"
"text#9fad4edbec07904e37d49b0391b06df7","已经无法改变过去。[l]
无法拯救彩叶和千世奶奶。","text#9fad4edbec07904e37d49b0391b06df7","机翻辅助：

已经无法改变过去。[l]
无法拯救彩叶和千世奶奶。

已经不能改变过去了。[l]
不能帮助彩叶和千世奶奶。

已经无法改变过去了。我救不了彩叶和千世奶奶。[l]"
"text#8883c5df98e329ba3d4f0167bddd4f73","……对不起。","text#8883c5df98e329ba3d4f0167bddd4f73","机翻辅助：

……对不起。"
"text#e03eecb4c92fbb4113dcf0c8f20f4153","我好不容易挤出这句话。","text#e03eecb4c92fbb4113dcf0c8f20f4153","机翻辅助：

我好不容易挤出这句话。

好不容易才说出了那一句话。

好不容易才说出这句话。"
"text#57725e9b916a4631841943e49d4397ea","我无法实现和歌叶的约定。","text#57725e9b916a4631841943e49d4397ea","机翻辅助：

我无法实现和歌叶的约定。

我没能实现和歌叶的约定。

我没能实现与歌叶的约定。"
"text#fd0465cc2081081ad5223a15904b0901","不、不要……","text#fd0465cc2081081ad5223a15904b0901","机翻辅助：

不、不要……

啊，讨厌……"
"text#7901b1565203503f616924216974134f","姐姐……[l]姐——姐！","text#7901b1565203503f616924216974134f","机翻辅助：

姐姐……[l]姐——姐！

姐姐……[l]姐姐！

姐姐……[l]小姐姐！"
"text#719af26ff52c3f110fd42c9729f60846","面对跪在地上哭泣的歌叶，我只能呆站在原地。","text#719af26ff52c3f110fd42c9729f60846","机翻辅助：

面对跪在地上哭泣的歌叶，我只能呆站在原地。

面对着跪在地上哭泣的歌叶，我只能呆呆地站着。

我只能站在跪着哭泣的歌叶面前。"
"text#7ddcb298cd80247e53d41d7fd21e893d","事件过后，神代遵守约定释放了妈妈。[l]
然后神代抹除自己所有的痕迹，销声匿迹。","text#7ddcb298cd80247e53d41d7fd21e893d","机翻辅助：

事件过后，神代遵守约定释放了妈妈。[l]
然后神代抹除自己所有的痕迹，销声匿迹。

事件发生后，神代按照约定释放了老妈。[l]
然后神代抹去了自己所有的痕迹，隐匿了行踪。

事件发生后，神代按照约定释放了母亲的身体。[l]
接着，神代消除了自己的所有痕迹，使其销声匿迹。"
"text#6e87203578c79eca58047ea35969159d","有我身影的旧照片和底片，全都被神代处理掉了。","text#6e87203578c79eca58047ea35969159d","机翻辅助：

有我身影的旧照片和底片，全都被神代处理掉了。

我拍的旧照片和底片，都被神代一个不剩地处理掉了。

我拍的旧照片和底片都被神代处理了。"
"text#bf72c0900556754952711cb77b62e169","我再也无法回到过去。","text#bf72c0900556754952711cb77b62e169","机翻辅助：

我再也无法回到过去。

不能飞向过去了。

无法飞回过去了。"
"text#6f8f2f5a50806ef775dcc8a8bc2d5c8f","事件过后，我接受了DNA鉴定。[l]
结果确认我是佐仓陆，户籍也恢复了。","text#6f8f2f5a50806ef775dcc8a8bc2d5c8f","机翻辅助：

事件过后，我接受了DNA鉴定。[l]
结果确认我是佐仓陆，户籍也恢复了。

事件发生后，我接受了DNA鉴定。[l]
而且我被确认是佐仓陆，户籍也恢复了。

事件发生后，我接受了DNA鉴定。我被确认为佐仓陆，户籍也恢复了。[l]"
"text#4df54ed6ba075517bee9b2cda4ceffdf","之后我回到式音岛，在照相馆和妈妈两人一起生活。","text#4df54ed6ba075517bee9b2cda4ceffdf","机翻辅助：

之后我回到式音岛，在照相馆和妈妈两人一起生活。

然后我回到式音岛，在照相馆和妈妈两个人开始生活。

之后我回到式音岛，在照相馆和老妈一起生活。"
"text#302625146bf3a0649641a4791bb2204d","这里实在有太多痛苦的回忆。","text#302625146bf3a0649641a4791bb2204d","机翻辅助：

这里实在有太多痛苦的回忆。

这个地方有太多痛苦的回忆。"
"text#1482a88791ae05c9e92d3c29ab2d3a97","即使如此，这里还是我真正的家人生活过的地方。[l]
我们无法放弃这里。","text#1482a88791ae05c9e92d3c29ab2d3a97","机翻辅助：

即使如此，这里还是我真正的家人生活过的地方。[l]
我们无法放弃这里。

尽管如此，照相馆还是真正的家人生活的地方。[l]
我们没能放弃这个地方。

尽管如此，照相馆是真正的家人生活过的地方。我们无法放弃这个地方。[l]"
"text#9f626a0d74dd09680a8e859774bcb88f","现在是2022年的夏天。[l]
距离最后的事件，已经过了18年。","text#9f626a0d74dd09680a8e859774bcb88f","机翻辅助：

现在是2022年的夏天。[l]
距离最后的事件，已经过了18年。

现在是2022年的夏天。[l]
距离最后一次事件已经过去了18年。

现在是2022年的夏天。[l]
从最后一次事件开始已经过了18年。"
"text#93a9f099e15c3468cc09dd20ad253518","一如往常，客人很少。[l]
这是个平凡无奇的夏日。","text#93a9f099e15c3468cc09dd20ad253518","机翻辅助：

一如往常，客人很少。[l]
这是个平凡无奇的夏日。

和往常一样，客人的数量很少。[l]
这是一个平凡的夏天。

和往常一样，客人很少。这是平凡的一个夏天的一天。[l]"
"text#8fd83a3cc86b4a94b22ce49ce3fb2661","我正在想这些事的时候，一个怀念的人出现了。","text#8fd83a3cc86b4a94b22ce49ce3fb2661","机翻辅助：

我正在想这些事的时候，一个怀念的人出现了。

正想着这些，怀念的人给我看了脸。

正当我想着这些事的时候，一个令人怀念的人出现了。"
"text#862ddb95d5700c0ec2a436ee801789b9","好久不见，小陆。","text#862ddb95d5700c0ec2a436ee801789b9","机翻辅助：

好久不见，小陆。"
"text#3439ed55821c479bb745fab014c52a1e","你过得好吗？","text#3439ed55821c479bb745fab014c52a1e","机翻辅助：

你过得好吗？

你还好吗？

你好吗？"
"text#667203649e70f5f31dc8a6d21790009d","……好久不见。[l]
还好。","text#667203649e70f5f31dc8a6d21790009d","机翻辅助：

……好久不见。[l]
还好。

……好久不见。[l]
总有办法。

……好久不见。想办法啊。[l]"
"text#ec82efb082c408b7dded005166136577","事件之后，歌叶和家人一起搬去本岛了。","text#ec82efb082c408b7dded005166136577","机翻辅助：

事件之后，歌叶和家人一起搬去本岛了。

事件发生后，歌叶和家人一起移居本土。"
"text#51a04df07d09ad696b611b4193f54472","以前听她说过，因为和彩叶的回忆太多，继续住在这座岛上会很难受。
","text#51a04df07d09ad696b611b4193f54472","机翻辅助：

以前听她说过，因为和彩叶的回忆太多，继续住在这座岛上会很难受。


我从她那里听说，因为一直住在与彩叶有很多回忆的这个岛上很痛苦。


以前听她说过，因为这个岛上有很多关于彩叶的回忆，一直住下去很痛苦。"
"text#3492071f6928b07a46797e97f2ffbf63","你已经完全是个专业的摄影师了呢。","text#3492071f6928b07a46797e97f2ffbf63","机翻辅助：

你已经完全是个专业的摄影师了呢。

照相馆完全贴在木板上了呢。

照相馆的人可真够受的。"
"text#a8634389236b2da33887b2b914f8858c","一年前，妈妈因为生病过世了。[l]
然后我继承了这间樱花照相馆。","text#a8634389236b2da33887b2b914f8858c","机翻辅助：

一年前，妈妈因为生病过世了。[l]
然后我继承了这间樱花照相馆。

一年前，妈妈因病去世了。[l]
于是我继承了樱花照相馆的遗迹。

一年前，老妈因病去世了。于是我继承了这家樱花照相馆的家业。[l]"
"text#c8aed9689ed4f8b3e8a02d22a9015dde","多亏有岛民的支持，照相馆才能勉强撑到今天。","text#c8aed9689ed4f8b3e8a02d22a9015dde","机翻辅助：

多亏有岛民的支持，照相馆才能勉强撑到今天。

多亏了岛民们的支持，照相馆一直持续到今天。

多亏了岛民们的支持，照相馆总算开到了今天。"
"text#924e51660c8e0d429923e5d183388cf3","今天是姐姐的忌日。","text#924e51660c8e0d429923e5d183388cf3","机翻辅助：

今天是姐姐的忌日。"
"text#77d1d8b988bfc1ac63c0ca313cd6fafe","我当然也察觉到歌叶来访的理由。","text#77d1d8b988bfc1ac63c0ca313cd6fafe","机翻辅助：

我当然也察觉到歌叶来访的理由。

当然，也注意到了访问歌叶的理由。

当然，他也注意到了歌叶来访的理由。"
"text#c0af2b41acdcaf5dd09c66b2728984e3","我不可能忘记。[l]
因为从那天开始，我就一直后悔到现在。","text#c0af2b41acdcaf5dd09c66b2728984e3","机翻辅助：

我不可能忘记。[l]
因为从那天开始，我就一直后悔到现在。

不可能忘记。[l]
从那天开始，我一直在后悔。

不可能忘记。因为从那天起，我一直在后悔。[l]"
"text#66b7daa1279d55deb240d2f3ac8adaa8","……我可以去给千世奶奶和久美子小姐上香吗？","text#66b7daa1279d55deb240d2f3ac8adaa8","机翻辅助：

……我可以去给千世奶奶和久美子小姐上香吗？

……千世奶奶和久美子小姐也能给我上香吗？

……能让千世奶奶和久美子小姐也上炷香吗？"
"text#68b614c203e1d82867747707ad69f288","当然可以，你去吧。","text#68b614c203e1d82867747707ad69f288","机翻辅助：

当然可以，你去吧。

当然了，你上去吧。

当然了，你上来吧。"
"text#92fb7af35dd9d6ffb84d3f37764db98a","……抱歉突然打扰你。","text#92fb7af35dd9d6ffb84d3f37764db98a","机翻辅助：

……抱歉突然打扰你。

……突然打扰了，对不起。

……突然打搅你，对不起。"
"text#16be213349303f3be18eb1114a6b71a6","谢谢你让我上香。","text#16be213349303f3be18eb1114a6b71a6","机翻辅助：

谢谢你让我上香。

谢谢你让我烧香。"
"text#d866f82d8aa9527d5e2b0a59007fee9d","没关系，你随时都可以来玩。[l]
千世奶奶和妈妈也会很高兴的。","text#d866f82d8aa9527d5e2b0a59007fee9d","机翻辅助：

没关系，你随时都可以来玩。[l]
千世奶奶和妈妈也会很高兴的。

没关系，随时再来玩。千世奶奶和妈妈也会很高兴的。[l]


好啊，你随时再来找我玩。千世奶奶和妈妈也会高兴的。[l]"
"text#34ff0496313a13e5ded630464c58400d","我这么说之后，歌叶对我微笑。","text#34ff0496313a13e5ded630464c58400d","机翻辅助：

我这么说之后，歌叶对我微笑。

我这么一说，歌叶笑了。"
"text#ac24d9706793326ed3190556cb9d982e","然后她正要走出照相馆的时候，突然停下脚步。","text#ac24d9706793326ed3190556cb9d982e","机翻辅助：

然后她正要走出照相馆的时候，突然停下脚步。

然后歌叶正要离开照相馆，却突然停了下来。

然后歌叶正要走出照相馆，突然站住了。"
"text#8a84f3a11ef8c8e3a0cf729d821a8f3d","接着她突然转头对我说：","text#8a84f3a11ef8c8e3a0cf729d821a8f3d","机翻辅助：

接着她突然转头对我说：

然后突然回头看我，她这样说。

然后她突然转过头来对我说。"
"text#6e3cf842bcf7673874bd374394a29784","……那个啊。","text#6e3cf842bcf7673874bd374394a29784","机翻辅助：

……那个啊。

……那个。"
"text#66bcc1f69a97edfe76f115f9a848e234","我要结婚了。","text#66bcc1f69a97edfe76f115f9a848e234","机翻辅助：

我要结婚了。"
"text#0b759fd937ba5dd022b54a4e49ed679b","……这样啊。","text#0b759fd937ba5dd022b54a4e49ed679b","机翻辅助：

……这样啊。"
"text#e7531aa9fc09d0bdf0525d3904e385ad","出乎意料。","text#e7531aa9fc09d0bdf0525d3904e385ad","机翻辅助：

出乎意料。

突然袭击。

真是猝不及防。"
"text#1a3e37b088187d11bfb311f63b8bf660","事件过后，我变得无法掌握与歌叶之间的距离。","text#1a3e37b088187d11bfb311f63b8bf660","机翻辅助：

事件过后，我变得无法掌握与歌叶之间的距离。

事件发生后，我失去了与歌曲之间的距离感。

事件之后，我无法抓住和歌叶的距离感。"
"text#0877ce8641637be610291def3a78f70c","我们变得太在意彼此。","text#0877ce8641637be610291def3a78f70c","机翻辅助：

我们变得太在意彼此。

互相强烈地意识到了彼此的事情。

彼此都有强烈的意识。"
"text#165d7fa016e19431ed109159a18c188b","即使如此，还是不行。[l]
每次见面，我都会想起那些没能拯救的人。","text#165d7fa016e19431ed109159a18c188b","机翻辅助：

即使如此，还是不行。[l]
每次见面，我都会想起那些没能拯救的人。

即使那样也不行。[l]
每当两人见面时，脑海中就会浮现出没能拯救的人们。

但还是不行。每当两人见面时，脑海中就浮现出没能拯救的人们。[l]"
"text#b5abc5f5b566a756b03798d9c97a6f21","歌叶就这么搬回本岛。","text#b5abc5f5b566a756b03798d9c97a6f21","机翻辅助：

歌叶就这么搬回本岛。

然后歌叶就这样搬到了本土。

于是歌叶就这样搬到了本土。"
"text#e84ffb9124fc9983e8a75f7ecea98b68","这样啊……[l][chara_mod name=""ichinose_utaha_2022"" face=""sad"" time=""100""]就这样？","text#e84ffb9124fc9983e8a75f7ecea98b68","机翻辅助：

这样啊……[l][chara_mod name=""ichinose_utaha_2022"" face=""sad"" time=""100""]就这样？

就是这样……[l][chara_mod name=""ichinose_utaha_2022"" face=""sad"" time=""100""]仅此而已？

这样啊……[l][chara_mod name=""ichinose_utaha_2022"" face=""sad"" time=""100""]仅此而已？"
"text#097fba484c0b847d63ea1302646790fa","恭、恭喜。","text#097fba484c0b847d63ea1302646790fa","机翻辅助：

恭、恭喜。

哦，恭喜。

恭喜恭喜。"
"text#39d3983e073a100d689b8c711cbe979a","……真的恭喜你。","text#39d3983e073a100d689b8c711cbe979a","机翻辅助：

……真的恭喜你。

……真的，恭喜你。"
"text#c98bd175e4b812aa441d909ca19dcc8e","心情好复杂。","text#c98bd175e4b812aa441d909ca19dcc8e","机翻辅助：

心情好复杂。

心情很复杂。"
"text#60225fb151e2938f1cd4332abb5e815d","即使如此，她还是克服了悲伤，想得到幸福。","text#60225fb151e2938f1cd4332abb5e815d","机翻辅助：

即使如此，她还是克服了悲伤，想得到幸福。

尽管如此，她还是要克服悲伤变得幸福。

尽管如此，她还是战胜了悲伤，走向了幸福。"
"text#e46a69979cc007ee319583cea1267924","我打从心底想祝福她。","text#e46a69979cc007ee319583cea1267924","机翻辅助：

我打从心底想祝福她。

我想从心底祝贺那个。

我真心想为她庆祝。"
"text#d03102584486f39cf4834704550dee49","……太慢了啦，真是的。","text#d03102584486f39cf4834704550dee49","机翻辅助：

……太慢了啦，真是的。

……太迟了，已经。

……太晚了。"
"text#629614466dad8ddc66b689551c3708a5","总觉得歌叶那句话有各种各样的意思。","text#629614466dad8ddc66b689551c3708a5","机翻辅助：

总觉得歌叶那句话有各种各样的意思。

我觉得歌叶的那句话包含了各种各样的意思。

我觉得这首歌里包含着各种各样的意思。"
"text#c0624daf5200f513ce73a51b7a378f9e","歌叶回去之后，我变得无法工作。[l]
当我发呆时，又有客人上门。","text#c0624daf5200f513ce73a51b7a378f9e","机翻辅助：

歌叶回去之后，我变得无法工作。[l]
当我发呆时，又有客人上门。

歌叶回来后，我的工作变得棘手了。[l]
然后发呆的时候，又来了客人。

歌叶走后，我没有工作。就在我发愣的时候，又有客人来了。[l]"
"text#bdb47c66654b6eee7d7cb82de0be4caf","……欢迎光临。","text#bdb47c66654b6eee7d7cb82de0be4caf","机翻辅助：

……欢迎光临。"
"text#e1f118e729cde137bae7506f9e7cd8fa","第一次见到这位客人。[l]
这间照相馆难得有新客人。","text#e1f118e729cde137bae7506f9e7cd8fa","机翻辅助：

第一次见到这位客人。[l]
这间照相馆难得有新客人。

这是我第一次看到的脸。[l]
这是在这家照相馆很少见的新客人吗。

这是我第一次见到他。这是这家照相馆少见的新客人吧。[l]"
"text#38196cd35efbfe93957cbdcc9efa8807","这栋建筑物真气派。","text#38196cd35efbfe93957cbdcc9efa8807","机翻辅助：

这栋建筑物真气派。

这栋建筑真气派。

好漂亮的建筑物啊。"
