"source","target","id","developer_comments"
"balloon#eaa9680acf36e66695df0ea3184c8d9b","[emb exp='tf.names.NPC.mashima']也一样，他好像对岛上的往事很感兴趣。","balloon#eaa9680acf36e66695df0ea3184c8d9b","机翻辅助：

[emb exp='tf.names.NPC.mashima']也一样，他好像对岛上的往事很感兴趣。

[emb exp='tf.names.NPC.mashima']的事是这样，对岛上以前发生的事好像也很关心。

[emb exp='tf.names.NPC.mashima']也是这样，好像对岛上以前的事情很感兴趣。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#b0224d26c28a5625f5caca209f924f14","[emb exp='tf.names.itsuki.NPC']似乎对[emb exp='tf.names.itsuki.jin']对岛上的事件有兴趣感到很不可思议。","balloon#b0224d26c28a5625f5caca209f924f14","机翻辅助：

[emb exp='tf.names.itsuki.NPC']似乎对[emb exp='tf.names.itsuki.jin']对岛上的事件有兴趣感到很不可思议。

[emb exp='tf.names.itsuki.NPC']似乎对[emb exp='tf.names.itsuki.jin']对岛上的事件感兴趣感到不可思议。

[emb exp='tf.names.itsuki.NPC']似乎很奇怪[emb exp='tf.names.itsuki.jin']对岛上的事件很感兴趣。"
"balloon#2faddd5e788e05ae439788d0bb8a8f0e","这样啊，[emb exp='tf.names.NPC.jin']知道“式音岛神隐”……","balloon#2faddd5e788e05ae439788d0bb8a8f0e","机翻辅助：

这样啊，[emb exp='tf.names.NPC.jin']知道“式音岛神隐”……

是啊，[emb exp='tf.names.NPC.jin']把“式音岛神隐”……

是啊，[emb exp='tf.names.NPC.jin']对“式音岛神隐”……"
"balloon#090c44aad721a742378a5629b2f92504","她对岛上的往事感兴趣，让我有点意外。","balloon#090c44aad721a742378a5629b2f92504","机翻辅助：

她对岛上的往事感兴趣，让我有点意外。

对岛上过去的事件感兴趣，有点意外吧。

对岛上以前的事件感兴趣，有点意外吧。"
"balloon#809faa425d64ddf12cff16e4a29ce01a","她又不是从以前就待在岛上。","balloon#809faa425d64ddf12cff16e4a29ce01a","机翻辅助：

她又不是从以前就待在岛上。

明明以前就不在岛上。

我以前也不是在岛上。"
"balloon#e1ad4a43ed3d234c45167c496b7485b0","虽然那是以前的事……","balloon#e1ad4a43ed3d234c45167c496b7485b0","机翻辅助：

虽然那是以前的事……

这是以前的事了……

虽然是以前的事……"
"balloon#43c98419f408c9bb26e6d27939aa29bf","[emb exp='tf.names.NPC.mashima']当时几乎每天都在岛上巡逻，认识所有岛民。","balloon#43c98419f408c9bb26e6d27939aa29bf","机翻辅助：

[emb exp='tf.names.NPC.mashima']当时几乎每天都在岛上巡逻，认识所有岛民。

当时[emb exp='tf.names.NPC.mashima']每天都在岛上巡视，和岛上的所有居民都认识。

[emb exp='tf.names.NPC.mashima']当时每天都在岛上巡逻，和全体岛民都认识。"
"balloon#b10531084303c8defa73ea6359244a64","他跟我说过很多人的事，却从来没说过[emb exp='tf.names.NPC.jin']的事。","balloon#b10531084303c8defa73ea6359244a64","机翻辅助：

他跟我说过很多人的事，却从来没说过[emb exp='tf.names.NPC.jin']的事。

他给我讲了很多人的故事，但[emb exp='tf.names.NPC.jin']的故事我一次都没听说过。

所以说了很多人的话，但是一次也没听过[emb exp='tf.names.NPC.jin']的话。"
"balloon#2da71e57ecab84dda77b0f387d8eee85","而且[emb exp='tf.names.NPC.kumiko']和[emb exp='tf.names.NPC.jin']结婚的时候，理所当然……","balloon#2da71e57ecab84dda77b0f387d8eee85","机翻辅助：

而且[emb exp='tf.names.NPC.kumiko']和[emb exp='tf.names.NPC.jin']结婚的时候，理所当然……

而且[emb exp='tf.names.NPC.kumiko']和[emb exp='tf.names.NPC.jin']结婚的时候，这是理所当然的……

而且[emb exp='tf.names.NPC.kumiko']和[emb exp='tf.names.NPC.jin']结婚的时候，当然……"
"balloon#14d4854b9e0657cd3434715249a01726","没有人[font color=@3]说在岛上看过结婚前的[emb exp='tf.names.NPC.jin'][resetfont]。","balloon#14d4854b9e0657cd3434715249a01726","机翻辅助：

没有人[font color=@3]说在岛上看过结婚前的[emb exp='tf.names.NPC.jin'][resetfont]。

谁也没说在岛上见过结婚前的[emb exp='tf.names.NPC.jin']。[font color=@3][resetfont]

没有人说在岛上看到过结婚前的[emb exp='tf.names.NPC.jin']。[font color=@3][resetfont]"
"balloon#79aca1f095085877cbbb28e30c5b4537","大家都说“第一次见到[emb exp='tf.names.NPC.jin']”。","balloon#79aca1f095085877cbbb28e30c5b4537","机翻辅助：

大家都说“第一次见到[emb exp='tf.names.NPC.jin']”。"
"balloon#772800976b163bb4ab761e04ff60bf32","在结婚之前，没有[font color=@3]知道[emb exp='tf.names.itsuki.jin']的岛民[resetfont]吗？","balloon#772800976b163bb4ab761e04ff60bf32","机翻辅助：

在结婚之前，没有[font color=@3]知道[emb exp='tf.names.itsuki.jin']的岛民[resetfont]吗？

结婚前，难道没有岛民知道[emb exp='tf.names.itsuki.jin']吗。[font color=@3][resetfont]

结婚以前，没有岛民知道[emb exp='tf.names.itsuki.jin'][font color=@3]吗？[resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
