"source","target","id","developer_comments"
"物証","物证","物証",""
"推理を伝える","告知推理","推理を伝える",""
"密談","密谈","密談",""
"容疑者","嫌疑人","容疑者",""
"手がかり","线索","手がかり",""
"疑問を探る","试探疑问","疑問を探る",""
"質問する","提问","質問する",""
"推理する","推理","推理する",""
"信用度","信任度","信用度",""
"質問","提问","質問",""
"アリバイ","不在场证明","アリバイ",""
"フェーズ","阶段","フェーズ",""
"全体議論","集体讨论","全体議論",""
"推理に必要な手がかり","推理所需的线索","推理に必要な手がかり",""
"証言","证词","証言",""
"まな板","砧板","まな板",""
"EPILOGUE","后日谈","EPILOGUE",""
"神隠しの印","神隐之印","神隠しの印",""
"探偵ごっこ","侦探游戏","探偵ごっこ",""
"仏壇","佛龛","仏壇",""
"千世ばあちゃん","千世奶奶","千世ばあちゃん",""
