"source","target","id","developer_comments"
"balloon#4b427502ece4c01141973e9afabe6697","咦咦，好丢脸哦……","balloon#4b427502ece4c01141973e9afabe6697","机翻辅助：

咦咦，好丢脸哦……

诶，真不好意思啊……

哎，真难为情啊……"
"balloon#37805bdbae4150ccfa3b6cef9bec3bc0","原来[emb exp='tf.names.NPC.yohei']看到了那一幕啊。","balloon#37805bdbae4150ccfa3b6cef9bec3bc0","机翻辅助：

原来[emb exp='tf.names.NPC.yohei']看到了那一幕啊。

[emb exp='tf.names.NPC.yohei']看到了那样的地方吗。

原来[emb exp='tf.names.NPC.yohei']看到了这些。"
"balloon#1766af60209472b4073812667450b0b0","看来[emb exp='f.npc_nickname']偷吃之后，嘴边还沾着西瓜籽。","balloon#1766af60209472b4073812667450b0b0","机翻辅助：

看来[emb exp='f.npc_nickname']偷吃之后，嘴边还沾着西瓜籽。

[emb exp='f.npc_nickname']吃了之后，一直在嘴边种着种子。

[emb exp='f.npc_nickname']吃完后，嘴角一直沾着种子。"
"balloon#a9514743a4c24d7426c2fd1187953d51","[emb exp='tf.names.NPC.me']吗！？","balloon#a9514743a4c24d7426c2fd1187953d51","机翻辅助：

[emb exp='tf.names.NPC.me']吗！？

[emb exp='tf.names.NPC.me']的话！？"
"balloon#39056776283b0c9076cd40a0f5070686","咦咦，难道说……","balloon#39056776283b0c9076cd40a0f5070686","机翻辅助：

咦咦，难道说……

啊，难道……

咦，难不成……"
"balloon#cb6e49989c118f85bcc9fe1fb64d25bc","你在怀疑[emb exp='tf.names.NPC.me']吗？","balloon#cb6e49989c118f85bcc9fe1fb64d25bc","机翻辅助：

你在怀疑[emb exp='tf.names.NPC.me']吗？"
"balloon#16ff1461acefde8a0fd58347793aa3d7","[emb exp='tf.names.NPC.itsuki']，[emb exp='tf.names.NPC.me']才不会做那种奇怪的事！","balloon#16ff1461acefde8a0fd58347793aa3d7","机翻辅助：

[emb exp='tf.names.NPC.itsuki']，[emb exp='tf.names.NPC.me']才不会做那种奇怪的事！

[emb exp='tf.names.NPC.itsuki']，[emb exp='tf.names.NPC.me']才不会做那种奇怪的事呢！

[emb exp='tf.names.NPC.itsuki']，[emb exp='tf.names.NPC.me']不会做那种奇怪的事的！"
"balloon#65e213c6c123a43525b2978c745f9616","可是，有人亲眼看到……","balloon#65e213c6c123a43525b2978c745f9616","机翻辅助：

可是，有人亲眼看到……

不，但是实际看到的人……

不，但是实际见过的人……"
"balloon#6ab37bf19f70ea4320d780f5a0da1035","你看你看！","balloon#6ab37bf19f70ea4320d780f5a0da1035","机翻辅助：

你看你看！

你看！

快看快看！"
"balloon#2cc07d1cfbf45b4829c407fbedc129d8","你看[emb exp='tf.names.NPC.me']的脸！？","balloon#2cc07d1cfbf45b4829c407fbedc129d8","机翻辅助：

你看[emb exp='tf.names.NPC.me']的脸！？

看着[emb exp='tf.names.NPC.me']的脸？"
"balloon#025271c2352ebadad327c30986133450","脸上没有沾到东西吧？对吧？","balloon#025271c2352ebadad327c30986133450","机翻辅助：

脸上没有沾到东西吧？对吧？

那样的事不走运吧，对吧？

那不走运吧，对吧？"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#ccb0f4c78899e3631c8448d4aa76dcf6","嗯……[emb exp='tf.names.itsuki.NPC']嘴边现在确实什么都没有……","balloon#ccb0f4c78899e3631c8448d4aa76dcf6","机翻辅助：

嗯……[emb exp='tf.names.itsuki.NPC']嘴边现在确实什么都没有……

嗯，[emb exp='tf.names.itsuki.NPC']的嘴角现在确实什么都没有……

嗯，[emb exp='tf.names.itsuki.NPC']的嘴角现在确实什么都没沾……"
"speaker_主人公","主人公","speaker_主人公",""
