"source","target","id","developer_comments"
"balloon#b397da6ff0b6b5089eeb845668f29389","小窗子吗……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]为了保险起见，[emb exp='tf.names.NPC.me']也直接确认看看吧。","balloon#b397da6ff0b6b5089eeb845668f29389","机翻辅助：

小窗子吗……[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]为了保险起见，[emb exp='tf.names.NPC.me']也直接确认看看吧。

小窗啊……慎重起见，[emb exp='tf.names.NPC.me']也要亲自确认一下。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]

为了慎重起见，[emb exp='tf.names.NPC.me']也亲自确认一下。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]"
"balloon#e066fd98c3399fd6a772a005983928cf","[emb exp='tf.names.NPC.itsuki']也一起来吧！","balloon#e066fd98c3399fd6a772a005983928cf","机翻辅助：

[emb exp='tf.names.NPC.itsuki']也一起来吧！"
"balloon#bbbfb6b2f97032b70530fa5eb213f042","嗯、嗯！","balloon#bbbfb6b2f97032b70530fa5eb213f042","机翻辅助：

嗯、嗯！"
"balloon#9caa02dc8befecc6390e018f088dfbe8","咦，这是什么？","balloon#9caa02dc8befecc6390e018f088dfbe8","机翻辅助：

咦，这是什么？"
"balloon#3c708ade8aeaf469cc61622bf9c01d86","[emb exp='tf.names.itsuki.NPC']，怎么了？","balloon#3c708ade8aeaf469cc61622bf9c01d86","机翻辅助：

[emb exp='tf.names.itsuki.NPC']，怎么了？

[emb exp='tf.names.itsuki.NPC']，你怎么啦？"
"balloon#bef340abf608b0adb451b81036a1c95a","喂喂，这是……","balloon#bef340abf608b0adb451b81036a1c95a","机翻辅助：

喂喂，这是……

喂喂，这个……"
"balloon#a5d13caab1a62ac7447dd2f6b157330d","是脚印吧。","balloon#a5d13caab1a62ac7447dd2f6b157330d","机翻辅助：

是脚印吧。

脚印吧。"
"balloon#2baae7af2d2258a1cb041841d4c09a2c","而且不管怎么看……","balloon#2baae7af2d2258a1cb041841d4c09a2c","机翻辅助：

而且不管怎么看……

而且，怎么看都……

而且，不管怎么看……"
"balloon#b21ae6ab7bcd37bfe8c7274ed2289fd3","[font color=@3]都像是有人从小窗进出的脚印[resetfont]！","balloon#b21ae6ab7bcd37bfe8c7274ed2289fd3","机翻辅助：

[font color=@3]都像是有人从小窗进出的脚印[resetfont]！

[font color=@3]只能看到小窗户上人来人往的脚印！[resetfont]

[font color=@3]小窗口只看到人来人往的脚印！[resetfont]"
"balloon#9d04d3282c1eae51eceaaf956bd5bd02","这些脚印看起来[font color=@3]确实像是有人从小窗进出[resetfont]。","balloon#9d04d3282c1eae51eceaaf956bd5bd02","机翻辅助：

这些脚印看起来[font color=@3]确实像是有人从小窗进出[resetfont]。

确实，这个脚印看起来像[font color=@3]在小窗外有人来来往往之后。[resetfont]

确实，这个脚印看起来像是人在小窗外来回走动之后的样子。[font color=@3][resetfont]"
"speaker_主人公","主人公","speaker_主人公",""
