"source","target","id","developer_comments"
"[0]/title","【　推理部分·攻略流程　】","[0]/title","机翻辅助：

【推理部分·攻略流程】

【神秘部分·攻略流程】"
"[0]/text","在推理阶段，要按照顺序攻略三个阶段。<br>1.<font color=""@3"">调查</font>阶段　　……通过对话，接近事件的真相。<br>2.<font color=""@3"">全体讨论</font>阶段　　……所有嫌疑人互相发表推理。<br>3.<font color=""@3"">投票</font>阶段　　……所有嫌疑人进行投票，决定犯人。","[0]/text","机翻辅助：

在推理阶段，要按照顺序攻略三个阶段。<br>1.<font color=""@3"">调查</font>阶段　……通过对话，接近事件的真相。<br>2.<font color=""@3"">集体讨论</font>阶段　……所有嫌疑人互相发表推理。<br>3.<font color=""@3"">投票</font>阶段　……所有嫌疑人进行投票，决定犯人。

在推理部分，按顺序攻略3个阶段。<br>1.<font color=""@3"">调查</font>阶段……通过对话了解事件真相。<br>2.<font color=""@3"">集体讨论</font>阶段……嫌疑人所有人互相展示推理。<br>3.<font color=""@3"">投票</font>阶段……嫌疑人全体进行犯人投票。

在推理部分，按照顺序攻略3个阶段。<br>1.<font color=""@3"">调查</font>阶段……通过对话，揭开事件的真相。<br>2.<font color=""@3"">集体讨论</font>阶段……所有嫌疑人互相展示推理。<br>3.投票<font color=""@3"">阶段……全体嫌疑人进行犯人投票。</font>"
"[1]/title","【　调查阶段　】","[1]/title","机翻辅助：

【　调查阶段　】

【调查阶段】"
"[1]/text","在“调查阶段”，会有<font color=""@3"">找到事件真相的机会</font>。<br>为了在阶段内找到真相，<br>请进行攻略。","[1]/text","机翻辅助：

在“调查阶段”，会给予<font color=""@3"">接近事件真相的机会</font>。<br>请在阶段内<br>一定要找到真相，进行攻略。

在“调查阶段”，会有<font color=""@3"">找到事件真相的机会。</font>为了一定能在阶段内到达真相，请进行<br>攻略。<br>

在“调查阶段”中，<font color=""@3"">有机会找到事件的真相</font>。<br>为了一定能在阶段内到达真相，请进行攻略。<br>"
"[2]/title","【　调查阶段　】","[2]/title","机翻辅助：

【　调查阶段　】

【调查阶段】"
"[2]/text","首先，通过两个人单独进行的对话<font color=""@3"">“密谈”</font>，<br>试着找出对方<font color=""@3"">对事件持有的疑问吧</font>！","[2]/text","机翻辅助：

首先，<font color=""@3"">两个人</font><br>单独进行对话<font color=""@3"">，</font>试着找出对方<br>对事件抱持的疑问吧！

首先通过两个人的对话<font color=""@3"">“密谈”</font>来探索<br>对方对<font color=""@3"">事件抱有的疑问</font><br>吧！

首先通过两个人的对话<font color=""@3"">“密谈”</font>，<br>试探对方对<font color=""@3"">事件抱有的疑问</font>！<br>"
"[3]/title","【　密谈　】","[3]/title","机翻辅助：

【　密谈　】

【密谈】"
"[3]/text","密谈中，可以选择以下<font color=""@3"">4种行动</font>。<br>寻找疑问／推理／告知推理／提问","[3]/text","机翻辅助：

密谈中，可以选择以下<font color=""@3"">四种行动</font>。<br>试探疑问／推理／告知推理／提问

密谈中，可以选择以下<font color=""@3"">4种行动</font>。<br>试探疑问/推理/告知推理/提问

在密谈中，可以选择以下四种行为。<font color=""@3"">试探疑问/推理/告知推理/提问</font><br>"
"[4]/title","【　密谈　】","[4]/title","机翻辅助：

【　密谈　】

【密谈】"
"[4]/text","对于密谈对象，可以通过<font color=""@3"">红色图标上的数字</font><br>来确认此时可以采取的有效行动有几种。","[4]/text","机翻辅助：

密谈对象此时可以采取的有效行动有几个，可以从<br><font color=""@3"">红色图示上的数字</font>确认。

对于密谈对象，那个时候有几个有效的行动，可以用红色图标上的数字来确认。<br><font color=""@3""></font>

对于密谈对象，可以通过红色图标上的数字<br><font color=""@3"">来确认当时有效的行动。</font>"
