"source","target","id","developer_comments"
"jname#5ef67d75703d86474a0cb332a15c5f56","佐倉 千世","jname#5ef67d75703d86474a0cb332a15c5f56",""
"jname#2741331a30fa8692c7b6e5021f2e500a","佐倉 久美子","jname#2741331a30fa8692c7b6e5021f2e500a",""
"jname#306dabdefad24ea1133de463a5defb6c","佐倉 大助","jname#306dabdefad24ea1133de463a5defb6c",""
"jname#1f78329f4a0a98018548aa09b2b7f423","影山 稔","jname#1f78329f4a0a98018548aa09b2b7f423",""
"jname#02cba00c6b5e37cfe1ce468caab7d5ac","佐倉 陽平","jname#02cba00c6b5e37cfe1ce468caab7d5ac",""
"balloon#52708254bf2a6fe9ea7cab23ccde39b6","そろそろ、日も暮れてきましたね。","balloon#52708254bf2a6fe9ea7cab23ccde39b6","神代"
"balloon#ee3ee64c8eda7a3197b164240616962b","[emb exp='tf.names.yuuki_3.me']たちが戻らないままだと、みなさんに心配をかけてしまうかもしれません。","balloon#ee3ee64c8eda7a3197b164240616962b","結城"
"balloon#59f2f2e7c306c320f76326c88d159cbd","冬の山の夜道を歩くのは、少し危険です。","balloon#59f2f2e7c306c320f76326c88d159cbd","真島"
"balloon#b244ba93c95ea787bb8baab34b1c6af3","一度、町に戻りましょう。","balloon#b244ba93c95ea787bb8baab34b1c6af3","真島"
"balloon#48b7972a1d54cbf65a67552bf655f695","ああ、賛成だ……[l][chara_mod time=""@f1"" name=""海老原"" face=""normal"" position=""right""][emb exp='tf.names.ebihara_3.itsuki']、ついて来いよ！","balloon#48b7972a1d54cbf65a67552bf655f695","海老原"
"balloon#bc0a68faa174e88b64196418c1bdc3e1","……は、はい！","balloon#bc0a68faa174e88b64196418c1bdc3e1","主人公"
"balloon#1bee67d5eacfeac87406307678060170","あっ、帰ってきたわよ！","balloon#1bee67d5eacfeac87406307678060170","佐倉 久美子"
"balloon#58f6a193403a630670f78bc337c304ef","か、母さん！？","balloon#58f6a193403a630670f78bc337c304ef","主人公"
