"source","target","id","developer_comments"
"balloon#5687935569b9e1f3841c3b4c4e5e5227","[emb exp='tf.names.NPC.iroha']まで、こんなことになるなんて……。","balloon#5687935569b9e1f3841c3b4c4e5e5227","NPC"
"balloon#698911678bca84157994d885f7dfb797","[emb exp='tf.names.NPC.utaha']が、本当に気の毒だわ……。","balloon#698911678bca84157994d885f7dfb797","NPC"
"balloon#4b39f26f0fa7f2b0376be014f93f7ee0","[emb exp='tf.names.itsuki.me']だって、こんなに悲しいのに……","balloon#4b39f26f0fa7f2b0376be014f93f7ee0","主人公"
"balloon#93ecd33bee6507073486e69d83311f74","[emb exp='tf.names.itsuki.utaha']は、もっと辛いはずだ。","balloon#93ecd33bee6507073486e69d83311f74","主人公"
"balloon#df4d9df087a85e32bb4946e0f920d6a7","絶対に、このままでは終わらせない。","balloon#df4d9df087a85e32bb4946e0f920d6a7","主人公"
"balloon#a49f909484a6f411ed885ad74c7b0edc","実は今朝、[emb exp='tf.names.NPC.iroha']が見つかる前のことなんだけど……","balloon#a49f909484a6f411ed885ad74c7b0edc","NPC"
"balloon#a08c52bba294d8b929fcb4aca56d5625","[emb exp='tf.names.NPC.utaha']が、気になることを話していたの。","balloon#a08c52bba294d8b929fcb4aca56d5625","NPC"
"balloon#e4a8b6bdc10a5f250e6af566cc8193ff","気になること……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]なんでしょう？","balloon#e4a8b6bdc10a5f250e6af566cc8193ff","主人公"
"balloon#b6f109acef6f5dee4c713a3596f167bf","[emb exp='tf.names.NPC.utaha']は昨夜、写真館に迎えにいこうか[emb exp='tf.names.NPC.iroha']に提案したそうなの。","balloon#b6f109acef6f5dee4c713a3596f167bf","NPC"
"balloon#686e566e9d2a694284d74cb13153d838","でも、[emb exp='tf.names.NPC.utaha']が22:30に『迎えに行こうか？』とメールしたら……","balloon#686e566e9d2a694284d74cb13153d838","NPC"
"balloon#41e4b0c250fe459843b52135e2ed57a7","[font color=@3]『絶対に、来ないで』[resetfont]と、すぐに返事がきたらしいわ。","balloon#41e4b0c250fe459843b52135e2ed57a7","NPC"
"balloon#d79ba04186d61fc595716866ab8b8323","あまりにも強く拒否されたから、驚いたと[emb exp='tf.names.NPC.utaha']は言っていたの。","balloon#d79ba04186d61fc595716866ab8b8323","NPC"
"balloon#5e427cdffdad65697a34039afb7bfa66","[font color=@3][emb exp='tf.names.itsuki.iroha']は写真館への迎えを強く拒んだ[resetfont]のか。","balloon#5e427cdffdad65697a34039afb7bfa66","主人公"
"balloon#4ea5798e163c688484d11e80d1bf7824","普段なら、気に留める必要もないことだけど……","balloon#4ea5798e163c688484d11e80d1bf7824","NPC"
"balloon#8068169361e42fec6cca76d11f682a2c","これが亡くなる前の出来事と思うと、見逃せないわ。","balloon#8068169361e42fec6cca76d11f682a2c","NPC"
"balloon#7ee627b4ad637ace944d3e098315fb93","[emb exp='tf.names.NPC.iroha']には、[font color=@3]写真館に来られたら困る理由[resetfont]でもあったのかしら？","balloon#7ee627b4ad637ace944d3e098315fb93","NPC"
"balloon#897b4cf9f464c08ece981ba7146a45df","[font color=@3][emb exp='tf.names.itsuki.iroha']が、写真館への迎えを拒む理由[resetfont]か……。","balloon#897b4cf9f464c08ece981ba7146a45df","主人公"
"balloon#7cccd5fe3f9dac88bff02b7c1f95a418","あなたのこと、まだなにも信用していないけど……","balloon#7cccd5fe3f9dac88bff02b7c1f95a418","NPC"
"balloon#13daa6a5009f477232a999fe50191df9","犯人じゃないというのなら、答えてみて。","balloon#13daa6a5009f477232a999fe50191df9","NPC"
"balloon#691f7e42d1c441c2b5c7c36ba356a140","はい……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""][emb exp='tf.names.itsuki.iroha']のためにも、かならず解き明かしてみせます。","balloon#691f7e42d1c441c2b5c7c36ba356a140","主人公"
"balloon#d4a74cd6bba16c0f8e423c8a4db675c8","……少しだけ、期待して待ってるわ。","balloon#d4a74cd6bba16c0f8e423c8a4db675c8","NPC"
"balloon#58e895fa2d47500750926841a867c311","たしかに[emb exp='tf.names.itsuki.iroha']の行動は、気になる……。","balloon#58e895fa2d47500750926841a867c311","主人公"
"balloon#aa84f47e2b51f6eb0a22cc113adef208","どうして[emb exp='tf.names.itsuki.iroha']は[font color=@3]写真館に来てほしくなかった[resetfont]んだろう？","balloon#aa84f47e2b51f6eb0a22cc113adef208","主人公"
"speaker_主人公","主人公","speaker_主人公",""
