"source","target","id","developer_comments"
"balloon#1cfbdc49a02c3458e16bc0d888802db4","喂喂，[emb exp='tf.names.NPC.itsuki']！","balloon#1cfbdc49a02c3458e16bc0d888802db4","机翻辅助：

欸欸，[emb exp='tf.names.NPC.itsuki']！

喂，[emb exp='tf.names.NPC.itsuki']！

喂喂，[emb exp='tf.names.NPC.itsuki']！"
"balloon#3ba93990e5f7263adf986777a9ef86b7","我有件事想确认一下，可以吗？","balloon#3ba93990e5f7263adf986777a9ef86b7","机翻辅助：

我有件事想确认一下，可以吗？

我想确认一下，可以吗？"
"balloon#8b14e119f10064e4bc5817f653f4ace6","可以是可以……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]确认？","balloon#8b14e119f10064e4bc5817f653f4ace6","机翻辅助：

可以是可以……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]确认？

好是好……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]确认？

可以……[l][chara_mod time=""@f1"" name=""主人公"" face=""confused""]确认？"
"balloon#ebe4f78b5641e4ba89b78d42365e0346","对对对，没错！","balloon#ebe4f78b5641e4ba89b78d42365e0346","机翻辅助：

对对对，没错！

对了对了！

对了对了，对了！"
"balloon#08cbc742472ed4c5a37e7d549d808c46","Let's 确认！","balloon#08cbc742472ed4c5a37e7d549d808c46","机翻辅助：

Let's　确认！

雷兹，卡克宁！

来，确认！"
"balloon#80d53046adeca7abc0e9dd822e098c04","Check it now！！","balloon#80d53046adeca7abc0e9dd822e098c04","机翻辅助：

Check　it　now！！

切克伊特瑙！！

检查一下！！"
"balloon#49531d17e5fd8528e3e8edd5aa907848","英、英文？！","balloon#49531d17e5fd8528e3e8edd5aa907848","机翻辅助：

英、英文？！

啊，英语！？"
"balloon#447a5f2648a04a185c6f55da69ac73f4","呃、呃，之前在学校学过哦……！！","balloon#447a5f2648a04a185c6f55da69ac73f4","机翻辅助：

呃、呃，之前在学校学过哦……！

诶、诶，上次在学校学的……！！

那个，那个，之前在学校学过的……！！"
"balloon#e81677f0739e65d319f046aecf571dc9","O、OK，I can talk to you！","balloon#e81677f0739e65d319f046aecf571dc9","机翻辅助：

O、OK，I　can't　talk　to　you！

哦，好的，糖果尤图！

哦，好了，我爱你！"
"speaker_主人公","主人公","speaker_主人公",""
